config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
9,0.0001,0.4,0.4,0.1,506,0.3011977344751358,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.8843195,0.88092434,20.0,6.0,0.0,39.0,0.3302720844745636,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.85457194,0.84947765,23.2,8.8,0.0,48.8
8,0.0001,0.4,0.4,0.1,506,0.33111484050750734,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.86213017,0.8646267,18.6,7.4,0.0,39.0,0.31211801171302794,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.8840388,0.8944772,23.8,8.2,0.0,48.8
7,0.0001,0.4,0.4,0.1,506,0.3215075612068176,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8731756,0.8724798,19.0,7.0,0.0,39.0,0.29570409655570984,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8839737,0.8779833,24.4,7.6,0.0,48.8
6,0.0001,0.4,0.4,0.1,506,0.3377658724784851,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8605523,0.8599126,18.4,7.6,0.0,39.0,0.3148731827735901,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87724006,0.8825525,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.4,0.1,506,0.3408300518989563,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8349112,0.8363719,18.4,7.6,0.0,39.0,0.3156719386577606,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.8588289,0.8508226,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.4,0.1,506,0.31992306411266325,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.85660744,0.84657365,19.2,6.8,0.0,39.0,0.31804142594337464,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8642591,0.8560559,23.6,8.4,0.0,48.8
3,0.0001,0.4,0.4,0.1,506,0.30176103115081787,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.905424,0.89609945,19.6,6.4,0.0,39.0,0.29659149050712585,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89683783,0.8953292,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.4,0.1,506,0.3270534574985504,0.8892307758331299,0.8451411,1.0,0.72307694,0.9158109,0.7814561,0.8581854,0.8533572,18.8,7.2,0.0,39.0,0.3211361289024353,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8690728,0.8704575,23.4,8.6,0.0,48.8
1,0.0001,0.4,0.4,0.1,506,0.31179305016994474,0.9015384674072265,0.86112976,1.0,0.75384617,0.9248233,0.8052598,0.8678501,0.8632432,19.6,6.4,0.0,39.0,0.3209669589996338,0.8960185289382935,0.8546916,1.0,0.7375,0.92121774,0.7936142,0.8590814,0.8523299,23.6,8.4,0.0,48.8
0,0.0001,0.4,0.4,0.1,506,0.31292471289634705,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.89339256,0.9026745,19.2,6.8,0.0,39.0,0.3046947121620178,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86876595,0.87202835,24.2,7.8,0.0,48.8
9,0.0001,0.4,0.2,0.1,506,0.3019117772579193,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.88372785,0.88101846,20.0,6.0,0.0,39.0,0.33060468435287477,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.85482436,0.8501811,23.2,8.8,0.0,48.8
8,0.0001,0.4,0.2,0.1,506,0.3313725352287292,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8627219,0.86572486,18.6,7.4,0.0,39.0,0.31234552562236784,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.88414514,0.89761496,23.8,8.2,0.0,48.8
7,0.0001,0.4,0.2,0.1,506,0.3217628329992294,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87376726,0.87355435,19.0,7.0,0.0,39.0,0.29603564739227295,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8847391,0.87977695,24.4,7.6,0.0,48.8
6,0.0001,0.4,0.2,0.1,506,0.3379552781581879,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8623274,0.86341476,18.4,7.6,0.0,39.0,0.3152368277311325,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87723744,0.88401014,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.2,0.1,506,0.34063475728034975,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.83727807,0.8407837,18.4,7.6,0.0,39.0,0.31598910689353943,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.85881823,0.84921473,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.2,0.1,506,0.32048055827617644,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.85779095,0.8460287,19.2,6.8,0.0,39.0,0.31830962300300597,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.86349124,0.8536526,23.6,8.4,0.0,48.8
3,0.0001,0.4,0.2,0.1,506,0.30226091146469114,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9040434,0.89371336,19.6,6.4,0.0,39.0,0.2973201751708984,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89489794,0.89253587,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.2,0.1,506,0.3274449646472931,0.8892307758331299,0.8451411,1.0,0.72307694,0.9158109,0.7814561,0.8583827,0.8544418,18.8,7.2,0.0,39.0,0.321318244934082,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8691951,0.872808,23.4,8.6,0.0,48.8
1,0.0001,0.4,0.2,0.1,506,0.31216144263744355,0.9015384674072265,0.86112976,1.0,0.75384617,0.9248233,0.8052598,0.8674556,0.86172616,19.6,6.4,0.0,39.0,0.3213168829679489,0.8960185289382935,0.8546916,1.0,0.7375,0.92121774,0.7936142,0.86189544,0.8563223,23.6,8.4,0.0,48.8
0,0.0001,0.4,0.2,0.1,506,0.31321391463279724,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8935898,0.9033332,19.2,6.8,0.0,39.0,0.30496453642845156,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.86966145,0.87342787,24.2,7.8,0.0,48.8
9,0.0001,0.4,0.0,0.1,506,0.3022954076528549,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.8803749,0.8776946,20.0,6.0,0.0,39.0,0.3307090699672699,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.8548217,0.850414,23.2,8.8,0.0,48.8
8,0.0001,0.4,0.0,0.1,506,0.3314472079277039,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8613413,0.86408293,18.6,7.4,0.0,39.0,0.3127002090215683,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.883239,0.8967713,23.8,8.2,0.0,48.8
7,0.0001,0.4,0.0,0.1,506,0.3218480199575424,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.87554246,0.87441254,19.0,7.0,0.0,39.0,0.2963867962360382,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8843564,0.88001186,24.4,7.6,0.0,48.8
6,0.0001,0.4,0.0,0.1,506,0.33803688287734984,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.86410254,0.86411846,18.4,7.6,0.0,39.0,0.3155097126960754,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8767007,0.88281024,23.8,8.2,0.0,48.8
5,0.0001,0.4,0.0,0.1,506,0.340883857011795,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8353057,0.83608377,18.4,7.6,0.0,39.0,0.316483873128891,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.85894585,0.84793985,23.8,8.2,0.0,48.8
4,0.0001,0.4,0.0,0.1,506,0.32076422572135926,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208829,0.79395276,0.8575937,0.84828264,19.2,6.8,0.0,39.0,0.3186142981052399,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8642672,0.8538688,23.6,8.4,0.0,48.8
3,0.0001,0.4,0.0,0.1,506,0.30252079367637635,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.9042406,0.8937885,19.6,6.4,0.0,39.0,0.29731832146644593,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89656144,0.89174384,24.4,7.6,0.0,48.8
2,0.0001,0.4,0.0,0.1,506,0.3276760458946228,0.8892307758331299,0.8451411,1.0,0.72307694,0.9158109,0.7814561,0.85877717,0.8559284,18.8,7.2,0.0,39.0,0.3215094059705734,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.86907023,0.872893,23.4,8.6,0.0,48.8
1,0.0001,0.4,0.0,0.1,506,0.3125691831111908,0.9015384674072265,0.86112976,1.0,0.75384617,0.9248233,0.8052598,0.868639,0.86585104,19.6,6.4,0.0,39.0,0.32115470468997953,0.8960185289382935,0.8546916,1.0,0.7375,0.92121774,0.7936142,0.8611115,0.8535889,23.6,8.4,0.0,48.8
0,0.0001,0.4,0.0,0.1,506,0.31349199414253237,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.89319533,0.9014805,19.2,6.8,0.0,39.0,0.30525082945823667,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8695339,0.8732851,24.2,7.8,0.0,48.8
9,0.0001,0.2,0.4,0.1,506,0.3011050194501877,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.88274175,0.8812606,20.0,6.0,0.0,39.0,0.33012586236000063,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.8550795,0.84936774,23.2,8.8,0.0,48.8
8,0.0001,0.2,0.4,0.1,506,0.33098786473274233,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.86213017,0.86569625,18.6,7.4,0.0,39.0,0.31184138655662536,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.88375986,0.8971019,23.8,8.2,0.0,48.8
7,0.0001,0.2,0.4,0.1,506,0.32139491736888887,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8741617,0.87319696,19.0,7.0,0.0,39.0,0.29551995992660524,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8851137,0.880267,24.4,7.6,0.0,48.8
6,0.0001,0.2,0.4,0.1,506,0.3378211081027985,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8609468,0.8612248,18.4,7.6,0.0,39.0,0.3147556632757187,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.87813824,0.88605946,23.8,8.2,0.0,48.8
5,0.0001,0.2,0.4,0.1,506,0.3406050741672516,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.83688354,0.8403468,18.4,7.6,0.0,39.0,0.31569523811340333,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984568,0.8586934,0.848975,23.8,8.2,0.0,48.8
4,0.0001,0.2,0.4,0.1,506,0.3512744903564453,0.8769230842590332,0.8309659,1.0,0.6923077,0.9073536,0.7581803,0.82495064,0.8120329,18.0,8.0,0.0,39.0,0.3093261048197746,0.9010030925273895,0.86020374,1.0,0.75,0.92457473,0.80297387,0.87002754,0.85145044,24.0,8.0,0.0,48.75
3,0.0001,0.2,0.4,0.1,506,0.3017737627029419,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.90463513,0.89677346,19.6,6.4,0.0,39.0,0.29641295671463014,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8973586,0.895646,24.4,7.6,0.0,48.8
2,0.0001,0.2,0.4,0.1,506,0.3269416272640228,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.85877717,0.855353,18.8,7.2,0.0,39.0,0.3209013730287552,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.86945283,0.87210953,23.4,8.6,0.0,48.8
1,0.0001,0.2,0.4,0.1,506,0.3118379384279251,0.9015384674072265,0.86112976,1.0,0.75384617,0.9248233,0.8052598,0.8676528,0.86447763,19.6,6.4,0.0,39.0,0.32065056562423705,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.85893786,0.8515066,23.6,8.4,0.0,48.8
0,0.0001,0.2,0.4,0.1,506,0.3126848876476288,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8931953,0.9023675,19.2,6.8,0.0,39.0,0.3046648234128952,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8686411,0.87238216,24.2,7.8,0.0,48.8
9,0.0001,0.2,0.2,0.1,506,0.30175534784793856,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.8827416,0.88160485,20.0,6.0,0.0,39.0,0.33040345907211305,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.85572255,0.8513174,23.2,8.8,0.0,48.8
8,0.0001,0.2,0.2,0.1,506,0.33120172619819643,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8615385,0.86510026,18.6,7.4,0.0,39.0,0.3123715102672577,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.88452256,0.89786434,23.8,8.2,0.0,48.8
7,0.0001,0.2,0.2,0.1,506,0.32160340547561644,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8757397,0.8744504,19.0,7.0,0.0,39.0,0.29595387578010557,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.88434315,0.87922347,24.4,7.6,0.0,48.8
6,0.0001,0.2,0.2,0.1,506,0.3378057301044464,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8625246,0.8637152,18.4,7.6,0.0,39.0,0.31508551836013793,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8777424,0.88405144,23.8,8.2,0.0,48.8
5,0.0001,0.2,0.2,0.1,506,0.34053494334220885,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8374753,0.84123003,18.4,7.6,0.0,39.0,0.3159208714962006,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.8585526,0.84802854,23.8,8.2,0.0,48.8
