config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,0.1,506,0.29784985780715945,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.889645,0.89509135,19.2,6.8,0.0,39.0,0.28920159935951234,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8920334,0.890977,24.2,7.8,0.0,48.8
1,0.01,0.4,0.0,0.01,506,0.28233115673065184,0.9015384674072265,0.86112976,1.0,0.75384617,0.9248233,0.8052598,0.8769232,0.8705147,19.6,6.4,0.0,39.0,0.30607529878616335,0.8960185289382935,0.8546916,1.0,0.7375,0.92121774,0.7936142,0.88271016,0.8934997,23.6,8.4,0.0,48.8
2,0.01,0.0,0.4,0.1,506,0.3140340089797974,0.8861538529396057,0.84453505,0.9948718,0.72307694,0.91322917,0.77394927,0.88402367,0.8833164,18.8,7.2,0.2,38.8,0.31393038630485537,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.8883809,0.8937315,23.4,8.6,0.0,48.8
3,0.01,0.4,0.4,0.1,506,0.28374057710170747,0.9015384674072265,0.859944,1.0,0.7538461,0.92445767,0.80494374,0.8922092,0.892138,19.6,6.4,0.0,39.0,0.2819530487060547,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.9038744,0.91278887,24.4,7.6,0.0,48.8
4,0.01,0.4,0.2,0.001,506,0.2862058639526367,0.8984615445137024,0.8584741,1.0,0.74615383,0.9229678,0.79976624,0.8717949,0.87145185,19.4,6.6,0.0,39.0,0.32411072552204134,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8787309,0.8755032,23.6,8.4,0.0,48.8
5,0.01,0.2,0.4,0.1,506,0.3274317741394043,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.8459565,0.8380337,18.4,7.6,0.0,39.0,0.30271897315979,0.8985802412033081,0.8584255,1.0,0.74375,0.92325133,0.7984567,0.89272296,0.8882431,23.8,8.2,0.0,48.8
6,0.01,0.2,0.2,0.001,506,0.3148201733827591,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8769231,0.88283694,18.4,7.6,0.0,39.0,0.30023334324359896,0.8959568023681641,0.85740346,0.9958334,0.74375,0.92095864,0.7918681,0.8911645,0.8978265,23.8,8.2,0.2,48.6
7,0.01,0.4,0.2,0.01,506,0.2966190427541733,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8846153,0.8804902,19.0,7.0,0.0,39.0,0.2793836921453476,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.90513915,0.9122156,24.4,7.6,0.0,48.8
8,0.01,0.4,0.4,0.001,506,0.3027318775653839,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8863905,0.8944656,18.6,7.4,0.0,39.0,0.29680910110473635,0.8985185265541077,0.8585774,1.0,0.74375,0.9232437,0.7986049,0.90001726,0.9051825,23.8,8.2,0.0,48.8
9,0.01,0.0,0.4,0.1,506,0.2740465223789215,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.8169371,0.90601575,0.897556,20.0,6.0,0.0,39.0,0.32453001737594606,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.7839439,0.87197465,0.8714236,23.2,8.8,0.0,48.8
