config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
5,0.01,0.0,0.001,506,0.5552795827388763,0.7138461709022522,0.69552267,1.0,0.28461537,0.81492484,0.33939448,0.73412234,0.7450191,7.4,18.6,0.0,39.0,0.5623415410518646,0.7158641934394836,0.6988052,1.0,0.28125,0.8171196,0.33559257,0.6811131,0.7123045,9.0,23.0,0.0,48.8
4,0.01,0.0,0.001,506,0.41274434328079224,0.8430769324302674,0.81251657,1.0,0.60769236,0.8915725,0.6583063,0.82998025,0.8245322,15.8,10.2,0.0,39.0,0.42645910382270813,0.8368209958076477,0.80596304,0.9958333,0.59375,0.8866674,0.64128125,0.81715566,0.8193488,19.0,13.0,0.2,48.6
2,0.01,0.0,0.001,506,0.4767122983932495,0.7846153974533081,0.75999993,1.0,0.46153846,0.8571428,0.5101527,0.72386587,0.75227743,12.0,14.0,0.0,39.0,0.4932596445083618,0.7743209958076477,0.748191,1.0,0.43125,0.85039884,0.4862799,0.73432845,0.74999493,13.8,18.2,0.0,48.8
3,0.01,0.0,0.001,506,0.4796703815460205,0.7723077058792114,0.7457301,1.0,0.43076926,0.8486575,0.48683876,0.759073,0.7957775,11.2,14.8,0.0,39.0,0.49503124952316285,0.7800308704376221,0.7548541,1.0,0.44375,0.8544294,0.4960002,0.7309922,0.74498975,14.2,17.8,0.0,48.8
0,0.01,0.0,0.001,506,0.3698688387870789,0.8953846216201782,0.85223645,1.0,0.73846155,0.92003524,0.7931458,0.8452662,0.83674943,19.2,6.8,0.0,39.0,0.36553152799606325,0.9009259223937989,0.8598239,1.0,0.75,0.92441225,0.8028903,0.84917355,0.84717417,24.0,8.0,0.0,48.8
1,0.01,0.0,0.001,506,0.6260000228881836,0.6492307901382446,0.6391837,1.0,0.12307693,0.7772727,0.18048039,0.65680474,0.6977563,3.2,22.8,0.0,39.0,0.6092166781425477,0.6614506125450135,0.6523717,1.0,0.14375,0.7859341,0.19375864,0.6216132,0.66772646,4.6,27.4,0.0,48.8
9,0.0001,0.4,0.0001,506,0.6569133996963501,0.6061538696289063,0.6045901,0.9948718,0.023076924,0.752,0.07709916,0.6515779,0.6891289,0.6,25.4,0.2,38.8,0.6597924947738647,0.6138271689414978,0.6102357,1.0,0.025,0.7578632,0.09415731,0.5925555,0.6466258,0.8,31.2,0.0,48.8
8,0.0001,0.4,0.0001,506,0.6625687837600708,0.6061538696289063,0.60380954,1.0,0.015384616,0.7529412,0.08415314,0.5956607,0.6487099,0.4,25.6,0.0,39.0,0.6615630269050599,0.6113580226898193,0.608604,1.0,0.01875,0.7566384,0.08628597,0.5892657,0.6396749,0.6,31.4,0.0,48.8
7,0.0001,0.4,0.0001,506,0.665101146697998,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5712031,0.6325585,0.0,26.0,0.0,39.0,0.668934679031372,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5740992,0.63209516,0.0,32.0,0.0,48.8
5,0.0001,0.4,0.0001,506,0.652422308921814,0.6061538696289063,0.60380954,1.0,0.015384616,0.7529412,0.08415314,0.68264294,0.71788836,0.4,25.6,0.0,39.0,0.6524279952049256,0.6138271689414978,0.6102357,1.0,0.025,0.7578632,0.09415731,0.672724,0.7087073,0.8,31.2,0.0,48.8
6,0.0001,0.4,0.0001,506,0.6731721758842468,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4948718,0.57111585,0.0,26.0,0.0,39.0,0.671350622177124,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.51138127,0.5926153,0.0,32.0,0.0,48.8
4,0.0001,0.4,0.0001,506,0.6560829520225525,0.6092307925224304,0.6066667,0.9948718,0.030769233,0.7535354,0.087650016,0.6179487,0.6739688,0.8,25.2,0.2,38.8,0.6625216722488403,0.6138271689414978,0.6102357,1.0,0.025,0.7578632,0.09415731,0.59947914,0.6407911,0.8,31.2,0.0,48.8
3,0.0001,0.4,0.0001,506,0.651663887500763,0.6123077154159546,0.60768145,1.0,0.030769233,0.7559117,0.11488239,0.6271204,0.6832481,0.8,25.2,0.0,39.0,0.6504688739776612,0.6064197540283203,0.60546297,1.0,0.00625,0.75424564,0.06541963,0.65917575,0.70415735,0.2,31.8,0.0,48.8
0,0.0001,0.4,0.0001,506,0.6317238688468934,0.6646154046058654,0.64645547,1.0,0.16153845,0.7837757,0.24513455,0.66459566,0.6965269,4.2,21.8,0.0,39.0,0.6421633005142212,0.6582716107368469,0.64432824,0.9918367,0.15,0.77974355,0.21711096,0.6614026,0.6991817,4.8,27.2,0.4,48.4
2,0.0001,0.4,0.0001,506,0.6732249617576599,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.48599607,0.57141536,0.0,26.0,0.0,39.0,0.6712353229522705,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.52810776,0.6026184,0.0,32.0,0.0,48.8
1,0.0001,0.4,0.0001,506,0.6720162630081177,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.6030572,0.66365784,0.0,26.0,0.0,39.0,0.6711305260658265,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5271697,0.59440035,0.0,32.0,0.0,48.8
9,0.0001,0.2,0.0001,506,0.6266820549964904,0.655384635925293,0.64709234,0.9948718,0.14615385,0.7802798,0.20461652,0.68471396,0.7095529,3.8,22.2,0.2,38.8,0.6378168225288391,0.6459259271621705,0.63582146,0.9959184,0.1125,0.7746494,0.17278929,0.6430684,0.6945217,3.6,28.4,0.2,48.6
7,0.0001,0.2,0.0001,506,0.6493644475936889,0.636923098564148,0.6271698,1.0,0.092307694,0.7695652,0.15706387,0.5816568,0.6445857,2.4,23.6,0.0,39.0,0.660650086402893,0.6212345719337463,0.6162963,0.9959184,0.05,0.7609854,0.10917827,0.5913159,0.64494073,1.6,30.4,0.2,48.6
5,0.0001,0.2,0.0001,506,0.5906192064285278,0.7384615540504456,0.70958555,1.0,0.34615386,0.82641,0.42236716,0.71183425,0.74258536,9.0,17.0,0.0,39.0,0.5878988742828369,0.7471605062484741,0.72343135,0.9918367,0.375,0.8317331,0.43127126,0.73420095,0.75659645,12.0,20.0,0.4,48.4
8,0.0001,0.2,0.0001,506,0.6724743366241455,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5654832,0.62381977,0.0,26.0,0.0,39.0,0.6712164640426636,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.53606105,0.603603,0.0,32.0,0.0,48.8
6,0.0001,0.2,0.0001,506,0.6731804490089417,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4947732,0.5709075,0.0,26.0,0.0,39.0,0.6713542461395263,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.510042,0.59139407,0.0,32.0,0.0,48.8
4,0.0001,0.2,0.0001,506,0.6383989095687866,0.6430769443511963,0.6351021,0.9948718,0.115384616,0.7727273,0.16590011,0.6203157,0.6753467,3.0,23.0,0.2,38.8,0.6537812948226929,0.6311111092567444,0.6281243,0.98367345,0.09375,0.76446986,0.12707469,0.6040763,0.6435952,3.0,29.0,0.8,48.0
3,0.0001,0.2,0.0001,506,0.637632554769516,0.6584615588188172,0.6495652,1.0,0.14615384,0.7835294,0.1979345,0.5760355,0.6453328,3.8,22.2,0.0,39.0,0.637453019618988,0.6582716107368469,0.64906466,1.0,0.1375,0.78378916,0.18887542,0.6203949,0.6753404,4.4,27.6,0.0,48.8
0,0.0001,0.2,0.0001,506,0.594981336593628,0.7138461709022522,0.6986847,0.9948718,0.2923077,0.81452787,0.33776197,0.66627216,0.6962577,7.6,18.4,0.2,38.8,0.6163791358470917,0.692839515209198,0.68061936,0.98367345,0.25,0.7996866,0.28503895,0.6703338,0.70319784,8.0,24.0,0.8,48.0
2,0.0001,0.2,0.0001,506,0.6732342600822449,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.48560157,0.57091725,0.0,26.0,0.0,39.0,0.6712257862091064,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.52733976,0.60190195,0.0,32.0,0.0,48.8
9,0.0001,0.0,0.0001,506,0.589245182275772,0.6707692503929138,0.66571426,1.0,0.17692307,0.79259264,0.22177498,0.6845167,0.70792246,4.6,21.4,0.0,39.0,0.6038082063198089,0.668148148059845,0.6611448,1.0,0.1625,0.7907692,0.20791006,0.6268641,0.67521673,5.2,26.8,0.0,48.8
1,0.0001,0.2,0.0001,506,0.6720035314559937,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.60335314,0.6649516,0.0,26.0,0.0,39.0,0.6711264252662659,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5269146,0.5941318,0.0,32.0,0.0,48.8
8,0.0001,0.0,0.0001,506,0.6345342576503754,0.6461538672447205,0.636,1.0,0.115384616,0.7752809,0.17467363,0.5873767,0.63990355,3.0,23.0,0.0,39.0,0.5938980340957641,0.673086428642273,0.6678686,1.0,0.175,0.7944646,0.21763435,0.62994653,0.68604946,5.6,26.4,0.0,48.8
7,0.0001,0.0,0.0001,506,0.591221421957016,0.6646154046058654,0.6572727,1.0,0.16153845,0.7879518,0.20973238,0.5952662,0.65462214,4.2,21.8,0.0,39.0,0.6008466064929963,0.668148148059845,0.6611448,1.0,0.1625,0.7907692,0.20791006,0.6292013,0.67578685,5.2,26.8,0.0,48.8
5,0.0001,0.0,0.0001,506,0.5996080875396729,0.6615384817123413,0.6533333,1.0,0.15384616,0.78571427,0.20380887,0.657002,0.69489205,4.0,22.0,0.0,39.0,0.5874141454696655,0.6706172823905945,0.66444445,1.0,0.16875,0.79259896,0.21274969,0.6395528,0.68091506,5.4,26.6,0.0,48.8
4,0.0001,0.0,0.0001,506,0.5768408328294754,0.673846173286438,0.67024386,1.0,0.18461539,0.79499996,0.2279181,0.6276134,0.6792731,4.8,21.2,0.0,39.0,0.6131813526153564,0.6582716107368469,0.64906466,1.0,0.1375,0.78378916,0.18887542,0.61951,0.654333,4.4,27.6,0.0,48.8
3,0.0001,0.0,0.0001,506,0.5950947582721711,0.6646154046058654,0.6572727,1.0,0.16153845,0.7879518,0.20973238,0.5776134,0.6398833,4.2,21.8,0.0,39.0,0.593217271566391,0.6656790137290954,0.657963,1.0,0.15625,0.7889744,0.20310917,0.6244792,0.67812073,5.0,27.0,0.0,48.8
6,0.0001,0.0,0.0001,506,0.6732027173042298,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.49546352,0.5715066,0.0,26.0,0.0,39.0,0.671366286277771,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.511267,0.5923549,0.0,32.0,0.0,48.8
1,0.0001,0.0,0.0001,506,0.5885389268398284,0.6707692503929138,0.66571426,1.0,0.17692307,0.79259264,0.22177498,0.66252464,0.7128817,4.6,21.4,0.0,39.0,0.6151526987552642,0.6558024764060975,0.6462963,1.0,0.13125,0.7821242,0.18416521,0.5895448,0.64422315,4.2,27.8,0.0,48.8
3,0.01,0.4,0.0001,506,0.5176176249980926,0.8030769348144531,0.7846534,0.92820513,0.61538464,0.85019624,0.5864395,0.80581856,0.81567365,16.0,10.0,2.8,36.2,0.5121900796890259,0.8019444584846497,0.7853606,0.92602044,0.6125,0.84951305,0.5838002,0.81434155,0.8229166,19.6,12.4,3.6,45.2
0,0.0001,0.0,0.0001,506,0.5380204439163208,0.7200000166893006,0.7032302,1.0,0.3,0.8193472,0.35119238,0.6612426,0.68633854,7.8,18.2,0.0,39.0,0.5495774507522583,0.7200000047683716,0.70287067,1.0,0.29375,0.8196217,0.344649,0.6972444,0.71162593,9.4,22.6,0.0,48.8
