config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.33106406331062316,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.85295856,0.83835185,19.2,6.8,0.0,39.0,0.32761387526988983,0.9009259223937989,0.8623496,0.9959184,0.75625,0.92412776,0.8013399,0.85477525,0.8415492,24.2,7.8,0.2,48.6
1,0.01,0.0,0.0,506,0.3371053278446198,0.9015384674072265,0.86404765,0.9948718,0.7615385,0.92444813,0.80264556,0.8447732,0.8353335,19.8,6.2,0.2,38.8,0.3461926460266113,0.8861111283302308,0.849974,0.9876701,0.73125,0.9132787,0.76983845,0.8605987,0.8503103,23.4,8.6,0.6,48.2
2,0.01,0.0,0.0001,506,0.35289226770401,0.8861538529396057,0.84195745,1.0,0.7153846,0.91381913,0.77564937,0.84437865,0.8298566,18.6,7.4,0.0,39.0,0.34678764939308165,0.888703715801239,0.84862834,0.9958334,0.725,0.9158114,0.77836615,0.8579892,0.85332155,23.2,8.8,0.2,48.6
3,0.01,0.0,0.0001,506,0.3190888285636902,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.8738658,0.85469496,19.6,6.4,0.0,39.0,0.32556397318840025,0.9034876585006714,0.8656918,0.9958334,0.7625,0.9259551,0.8065332,0.87305224,0.8647908,24.4,7.6,0.2,48.6
4,0.01,0.0,0.0001,506,0.3366206049919128,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.7939527,0.85404336,0.849552,19.2,6.8,0.0,39.0,0.35740057229995725,0.8911419868469238,0.8510771,0.9958334,0.73125,0.9173797,0.78286666,0.85706043,0.8410535,23.4,8.6,0.2,48.6
5,0.01,0.0,0.0001,506,0.3619956970214844,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.83254445,0.84685385,18.4,7.6,0.0,39.0,0.35240880250930784,0.8961111068725586,0.8579709,0.9959184,0.74375,0.9212,0.7924389,0.85205287,0.8420221,23.8,8.2,0.2,48.6
6,0.01,0.0,0.0,506,0.34867551922798157,0.8800000071525573,0.8373968,0.9948718,0.7076923,0.90908444,0.76136553,0.8467456,0.83872175,18.4,7.6,0.2,38.8,0.33458481431007386,0.8934876680374145,0.8543333,0.9958334,0.7375,0.91919756,0.78709966,0.86485445,0.85809404,23.6,8.4,0.2,48.6
7,0.01,0.0,0.0001,506,0.34012972712516787,0.8861538529396057,0.8415443,1.0,0.7153846,0.91367877,0.77563083,0.85956603,0.855718,18.6,7.4,0.0,39.0,0.3222005307674408,0.9034876585006714,0.86268866,1.0,0.75625,0.9261621,0.8076127,0.8755022,0.86081475,24.2,7.8,0.0,48.8
8,0.01,0.0,0.0,506,0.35404738783836365,0.8830769300460816,0.8386713,1.0,0.70769227,0.91178674,0.76988494,0.8353058,0.8114672,18.4,7.6,0.0,39.0,0.33895922899246217,0.8960493922233581,0.8550215,1.0,0.7375,0.92134124,0.793669,0.86175996,0.8590811,23.6,8.4,0.0,48.8
9,0.01,0.0,0.0001,506,0.32054001092910767,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.87998027,0.8524664,20.0,6.0,0.0,39.0,0.351474267244339,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8631072,0.8560381,23.2,8.8,0.0,48.8
