config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.2901875227689743,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.90167654,0.9075999,19.2,6.8,0.0,39.0,0.29301954209804537,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8676046,0.8671659,24.2,7.8,0.0,48.8
1,0.01,0.0,0.001,506,0.27395343482494355,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.89112425,0.88869125,19.6,6.4,0.0,39.0,0.3274813681840897,0.8910185337066651,0.8535433,0.9916667,0.7375,0.91700125,0.78114223,0.8484839,0.8423867,23.6,8.4,0.4,48.4
2,0.01,0.0,0.001,506,0.30172534584999083,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8631164,0.8516275,18.8,7.2,0.0,39.0,0.3048060566186905,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8752883,0.8756957,23.4,8.6,0.0,48.8
3,0.01,0.0,0.001,506,0.2735556274652481,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9196253,0.9197421,19.6,6.4,0.0,39.0,0.2843707978725433,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.89240015,0.8891865,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.2899529367685318,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8690335,0.8548175,19.2,6.8,0.0,39.0,0.32066850960254667,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8609799,0.852393,23.6,8.4,0.0,48.8
5,0.01,0.0,0.001,506,0.31808428168296815,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.852071,0.8587244,18.4,7.6,0.0,39.0,0.29852322340011594,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8656662,0.84937465,23.8,8.2,0.0,48.8
6,0.01,0.0,0.001,506,0.3101252824068069,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8832347,0.87474525,18.4,7.6,0.0,39.0,0.2997069746255875,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.87881595,0.8735979,23.8,8.2,0.0,48.8
7,0.01,0.0,0.001,506,0.2924843400716782,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8828403,0.8845674,19.0,7.0,0.0,39.0,0.2829808831214905,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.88638926,0.8937734,24.4,7.6,0.0,48.8
8,0.01,0.0,0.001,506,0.305954048037529,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8660749,0.8671942,18.6,7.4,0.0,39.0,0.30737139880657194,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.89041644,0.8907956,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.26998631060123446,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8811637,0.86886156,20.0,6.0,0.0,39.0,0.3097465932369232,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.84779847,0.8467498,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.29093926548957827,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.90167654,0.9100825,19.2,6.8,0.0,39.0,0.29032230079174043,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8652104,0.86401385,24.2,7.8,0.0,48.8
