config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.3035391360521317,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.88076925,0.88161516,19.2,6.8,0.0,39.0,0.3034955054521561,0.8984259247779847,0.8619397,0.9917517,0.75625,0.92203283,0.79538584,0.8752099,0.87698174,24.2,7.8,0.4,48.4
1,0.01,0.0,0.0,506,0.28385199010372164,0.8984615445137024,0.86027956,0.9948718,0.75384617,0.92226315,0.79677117,0.89625245,0.8870249,19.6,6.4,0.2,38.8,0.3246390849351883,0.8935185313224793,0.8541277,0.9958334,0.7375,0.9191297,0.78723776,0.8803371,0.87486905,23.6,8.4,0.2,48.6
2,0.01,0.2,0.0,506,0.31094964146614074,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8842209,0.8879121,18.8,7.2,0.0,39.0,0.3106566905975342,0.8936728477478028,0.85166883,1.0,0.73125,0.9195452,0.7888578,0.8831353,0.8769375,23.4,8.6,0.0,48.8
3,0.01,0.4,0.0001,506,0.27672486901283266,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.8049437,0.9030572,0.8915249,19.6,6.4,0.0,39.0,0.28748654425144193,0.9059876561164856,0.8661111,1.0,0.7625,0.92805177,0.8124612,0.8920042,0.89136714,24.4,7.6,0.0,48.8
4,0.01,0.4,0.0001,506,0.2886781930923462,0.8953846216201782,0.8550166,1.0,0.73846155,0.9208828,0.7939527,0.8842209,0.88603985,19.2,6.8,0.0,39.0,0.30888295769691465,0.8961111187934876,0.8542646,1.0,0.7375,0.92114127,0.79350483,0.8741921,0.87278587,23.6,8.4,0.0,48.8
5,0.01,0.2,0.0,506,0.3186637401580811,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.769775,0.8646943,0.87358296,18.4,7.6,0.0,39.0,0.29938909113407136,0.8985802412033081,0.85842544,1.0,0.74375,0.92325133,0.7984567,0.88120615,0.8749715,23.8,8.2,0.0,48.8
6,0.01,0.4,0.0,506,0.31298263669013976,0.8830769300460816,0.8382472,1.0,0.7076923,0.91164446,0.7698541,0.8863905,0.8840855,18.4,7.6,0.0,39.0,0.30006066262722014,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.89641,0.8993182,23.8,8.2,0.0,48.8
7,0.001,0.4,0.0001,506,0.29956082105636594,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8682445,0.8691805,19.0,7.0,0.0,39.0,0.2829736590385437,0.9059567928314209,0.8655524,1.0,0.7625,0.9278582,0.8123356,0.8902503,0.88374597,24.4,7.6,0.0,48.8
8,0.01,0.4,0.0001,506,0.3143530488014221,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8617357,0.8528603,18.6,7.4,0.0,39.0,0.30177355408668516,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.79860497,0.88484937,0.88673484,23.8,8.2,0.0,48.8
9,0.01,0.2,0.0,506,0.2690950483083725,0.9076923131942749,0.8682143,1.0,0.7692307,0.9290458,0.81693715,0.8999014,0.8910502,20.0,6.0,0.0,39.0,0.3098594665527344,0.8910802364349365,0.84852695,1.0,0.725,0.9177066,0.78394395,0.8791679,0.8898649,23.2,8.8,0.0,48.8
