config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,506,0.28565371632575987,0.9011419653892517,0.86444867,0.9959184,0.75625,0.92493486,0.8014768,0.89181817,0.8859819,24.2,7.8,0.2,48.6,0.32937363982200624,0.8843137264251709,0.8401332,1.0,0.70500004,0.9131154,0.76959914,0.8648387,0.85482347,28.2,11.8,0.0,62.0
1,0.01,0.0,0.0,506,0.2964694410562515,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.893649,0.8884867,23.6,8.4,0.0,48.8,0.27778649926185606,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.89572585,0.89192516,31.0,9.0,0.0,62.0
2,0.01,0.2,0.0,506,0.29839865267276766,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.89022243,0.89678,23.4,8.6,0.0,48.8,0.26533631682395936,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.88891125,0.8798526,32.0,8.0,0.0,62.0
3,0.01,0.4,0.0001,506,0.2765059232711792,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.88424605,0.8834969,24.4,7.6,0.0,48.8,0.3493820011615753,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.83451617,0.84927255,27.0,13.0,0.0,62.0
4,0.01,0.4,0.0001,506,0.29591167271137236,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.86852807,0.8575308,23.6,8.4,0.0,48.8,0.2643112003803253,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.90923387,0.92055905,31.0,9.0,0.0,62.0
5,0.01,0.2,0.0,506,0.29009046256542204,0.8985493898391723,0.8569559,1.0,0.74375,0.92276907,0.79816014,0.88497686,0.8756124,23.8,8.2,0.0,48.8,0.2886811554431915,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8818952,0.88780534,30.0,10.0,0.0,62.0
6,0.01,0.4,0.0,506,0.29092658758163453,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8975871,0.9034549,23.8,8.2,0.0,48.8,0.30241175889968874,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.85645163,0.8413183,30.0,10.0,0.0,62.0
7,0.001,0.4,0.0001,506,0.2782755017280579,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.8886466,0.88492316,24.4,7.6,0.0,48.8,0.3534835159778595,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8339919,0.8324687,27.0,13.0,0.0,62.0
8,0.01,0.4,0.0001,506,0.2901380866765976,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8867321,0.89058095,23.8,8.2,0.0,48.8,0.29183751344680786,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8668145,0.87075365,30.0,10.0,0.0,62.0
9,0.01,0.2,0.0,506,0.3000204712152481,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8824512,0.8916451,23.2,8.8,0.0,48.8,0.2482866257429123,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.89383066,0.86253613,33.0,7.0,0.0,62.0
