config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.001,506,0.2878289371728897,0.9011419773101806,0.86460316,0.9959184,0.75625,0.9249214,0.802132,0.8825229,0.8899061,24.2,7.8,0.2,48.6,0.3358237981796265,0.8803921580314636,0.83739346,0.9967742,0.7,0.91015244,0.76069605,0.8687097,0.8727201,28.0,12.0,0.2,61.8
1,0.001,0.2,0.01,506,0.2930193543434143,0.8960493683815003,0.8546047,1.0,0.7375,0.92122585,0.7934718,0.8844919,0.89079314,23.6,8.4,0.0,48.8,0.27420774102211,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.87983876,0.8818159,31.0,9.0,0.0,62.0
2,0.01,0.2,0.0001,506,0.30210764706134796,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.87429714,0.86940175,23.4,8.6,0.0,48.8,0.2660554230213165,0.9196078419685364,0.885383,0.9967742,0.8,0.93777466,0.8370269,0.89076614,0.8809813,32.0,8.0,0.2,61.8
3,0.01,0.2,0.001,506,0.27052092254161836,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.9089645,0.91623306,24.4,7.6,0.0,48.8,0.38069585561752317,0.8647058725357055,0.82475376,0.9870968,0.675,0.8985969,0.7266471,0.8047581,0.80844057,27.0,13.0,0.8,61.2
4,0.001,0.4,0.0001,506,0.2959371775388718,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.86922693,0.8669289,23.6,8.4,0.0,48.8,0.26954725980758665,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.917379,0.9228385,31.0,9.0,0.0,62.0
5,0.01,0.0,0.0001,506,0.3041028678417206,0.8911419868469238,0.8552631,0.9877551,0.74375,0.9165146,0.7800158,0.8815197,0.8878729,23.8,8.2,0.6,48.2,0.2945976138114929,0.9,0.8628019,0.9935484,0.755,0.92350465,0.79793876,0.8892339,0.8883074,30.2,9.8,0.4,61.6
6,0.001,0.2,0.001,506,0.294978940486908,0.8985185146331787,0.8566917,1.0,0.74375,0.92267096,0.79808223,0.8773225,0.8795083,23.8,8.2,0.0,48.8,0.29175660014152527,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.8676613,0.8607297,30.0,10.0,0.0,62.0
7,0.001,0.0,0.01,506,0.27295497357845305,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.90294826,0.91543305,24.4,7.6,0.0,48.8,0.3673945128917694,0.870588219165802,0.8261982,0.9967742,0.675,0.9034993,0.7417606,0.81794345,0.7899715,27.0,13.0,0.2,61.8
8,0.001,0.0,0.0001,506,0.2905121475458145,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.8876993,0.8968871,23.8,8.2,0.0,48.8,0.3090121686458588,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036375,0.83479834,0.8017715,30.0,10.0,0.0,62.0
9,0.001,0.4,0.0001,506,0.30427083373069763,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.86029446,0.85707253,23.2,8.8,0.0,48.8,0.2301625430583954,0.9313725233078003,0.8985508,1.0,0.825,0.94656485,0.86099035,0.9256048,0.93116474,33.0,7.0,0.0,62.0
