config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.0,0.4,0.001,506,0.30467124879360197,0.9011419653892517,0.8625132,1.0,0.75,0.9253647,0.80359095,0.89063835,0.9025644,24.0,8.0,0.0,48.8,0.36533471941947937,0.8823529481887817,0.8378378,1.0,0.7,0.91176474,0.765824,0.8445161,0.83694804,28.0,12.0,0.0,62.0
1,0.01,0.0,0.4,0.0001,506,0.30711196064949037,0.8911110997200012,0.85351324,0.9918367,0.7375,0.91714096,0.78059095,0.87888765,0.884112,23.6,8.4,0.4,48.4,0.2848941028118134,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.883629,0.89790106,31.0,9.0,0.0,62.0
2,0.001,0.0,0.2,0.0,506,0.31435432136058805,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.8724157,0.8761679,23.4,8.6,0.0,48.8,0.2740296483039856,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.88745964,0.8725395,32.0,8.0,0.0,62.0
3,0.01,0.0,0.4,0.0,506,0.35540823042392733,0.8660185217857361,0.8455473,0.95008504,0.7375,0.8936682,0.7273549,0.8519438,0.8512084,23.6,8.4,2.4,46.4,0.3919546604156494,0.8450980186462402,0.812058,0.96774197,0.65500003,0.8828662,0.6839467,0.83169353,0.84932345,26.2,13.8,2.0,60.0
4,0.01,0.4,0.4,0.0,506,0.32479970455169677,0.8961419820785522,0.85432625,1.0,0.7375,0.9211763,0.7935352,0.8706805,0.86983615,23.6,8.4,0.0,48.8,0.28198261857032775,0.9117646813392639,0.8732394,1.0,0.775,0.9323309,0.82265455,0.90697575,0.913276,31.0,9.0,0.0,62.0
5,0.1,0.0,0.0,0.0,506,0.43416300415992737,0.8315740823745728,0.79202014,0.9877551,0.59375,0.8776814,0.6647264,0.8382534,0.8206031,19.0,13.0,0.6,48.2,0.39598195552825927,0.870588231086731,0.8298586,0.9935484,0.68,0.90378267,0.741021,0.8767339,0.88816625,27.2,12.8,0.4,61.6
6,0.1,0.0,0.4,0.0001,506,0.5374304175376892,0.7397530913352967,0.71582776,1.0,0.34375,0.8293708,0.42935604,0.7131258,0.7633795,11.0,21.0,0.0,48.8,0.5638746380805969,0.7156862854957581,0.6970407,0.9935484,0.285,0.8149171,0.35393983,0.69645154,0.7536151,11.4,28.6,0.4,61.6
7,0.1,0.0,0.0,0.0001,506,0.3441746950149536,0.8687962889671326,0.8323871,0.9958333,0.675,0.9046208,0.7375023,0.8820034,0.87965584,21.6,10.4,0.2,48.6,0.4078009605407715,0.82941175699234,0.78832453,1.0,0.56499994,0.87973785,0.6560842,0.8602823,0.88116044,22.6,17.4,0.0,62.0
8,0.1,0.0,0.4,0.0,506,0.49275986552238465,0.7528395056724548,0.7285875,0.9877551,0.39375,0.83435524,0.46089822,0.79091203,0.81392634,12.6,19.4,0.6,48.2,0.4829218924045563,0.7803921580314637,0.75062746,0.9935484,0.45,0.85115767,0.5265319,0.7797178,0.8037677,18.0,22.0,0.4,61.6
9,0.1,0.2,0.2,0.001,506,0.4548285186290741,0.792345666885376,0.7719931,0.9591837,0.5375,0.85159147,0.5571649,0.78622717,0.81764233,17.2,14.8,2.0,46.8,0.4062817096710205,0.8313725352287292,0.8158981,0.96129036,0.63,0.8782263,0.6429895,0.8478629,0.86214304,25.2,14.8,2.4,59.6
