config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,0.001,506,0.28422001004219055,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.90562135,0.9189542,19.2,6.8,0.0,39.0,0.29535544514656065,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8862484,0.8917446,24.2,7.8,0.0,48.8
1,0.01,0.0,0.0,0.001,506,0.28168403506278994,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.8895464,0.9014486,19.6,6.4,0.0,39.0,0.3197276830673218,0.8910185337066651,0.8535433,0.9916667,0.7375,0.91700125,0.78114223,0.8842381,0.8871578,23.6,8.4,0.4,48.4
2,0.01,0.0,0.0,0.001,506,0.3115777850151062,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8731755,0.8662227,18.8,7.2,0.0,39.0,0.3101403176784515,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8825747,0.8841299,23.4,8.6,0.0,48.8
3,0.01,0.0,0.0,0.001,506,0.2754390299320221,0.9046153903007508,0.8664295,0.9948718,0.7692307,0.9261557,0.80866003,0.9071992,0.88868827,20.0,6.0,0.2,38.8,0.30310340523719786,0.9035185217857361,0.86565655,0.9959184,0.7625,0.9260005,0.8064434,0.8921078,0.8963938,24.4,7.6,0.2,48.6
4,0.01,0.0,0.0,0.001,506,0.2818079248070717,0.8984615445137024,0.8584741,1.0,0.74615383,0.9229678,0.79976624,0.8895464,0.897991,19.4,6.6,0.0,39.0,0.3260148406028748,0.893641984462738,0.8538607,0.9959184,0.7375,0.9190875,0.7876302,0.8775856,0.8810797,23.6,8.4,0.2,48.6
5,0.01,0.0,0.0,0.001,506,0.33218529224395754,0.8830769300460816,0.84123075,0.9948718,0.7153846,0.9113182,0.766925,0.8522682,0.8656157,18.6,7.4,0.2,38.8,0.29861790835857394,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.87676585,0.875031,23.8,8.2,0.0,48.8
6,0.01,0.0,0.0,0.001,506,0.32305602431297303,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8660749,0.8745125,18.4,7.6,0.0,39.0,0.3122102528810501,0.8910493969917297,0.856449,0.9877551,0.74375,0.9167782,0.7806717,0.884585,0.896049,23.8,8.2,0.6,48.2
7,0.01,0.0,0.0,0.001,506,0.30309301018714907,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8650888,0.8644034,19.0,7.0,0.0,39.0,0.2814912021160126,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8989503,0.9028044,24.4,7.6,0.0,48.8
8,0.01,0.0,0.0,0.001,506,0.3095710754394531,0.8769230842590332,0.84271735,0.9794871,0.72307694,0.9057371,0.749121,0.8889545,0.9074851,18.8,7.2,0.8,38.2,0.30989225804805753,0.8911111116409302,0.85761464,0.9877551,0.74375,0.9170348,0.78170764,0.8885722,0.88278276,23.8,8.2,0.6,48.2
9,0.01,0.0,0.0,0.001,506,0.26363022029399874,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.9095661,0.9030215,20.0,6.0,0.0,39.0,0.33322287201881406,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.86149156,0.8674375,23.2,8.8,0.0,48.8
0,0.01,0.0,0.2,0.001,506,0.28731720745563505,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.902071,0.91108,19.2,6.8,0.0,39.0,0.2979522258043289,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8829028,0.886048,24.2,7.8,0.0,48.8
1,0.01,0.0,0.2,0.001,506,0.2832355409860611,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.88816565,0.8938112,19.6,6.4,0.0,39.0,0.31835237741470335,0.8935185313224793,0.8541277,0.9958333,0.7375,0.9191297,0.78723776,0.8818971,0.8885142,23.6,8.4,0.2,48.6
2,0.01,0.0,0.2,0.001,506,0.3076392114162445,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8779093,0.8764652,18.8,7.2,0.0,39.0,0.3079757630825043,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.88909036,0.89529735,23.4,8.6,0.0,48.8
3,0.01,0.0,0.2,0.001,506,0.29114612340927126,0.8953846216201782,0.85856056,0.9897436,0.75384617,0.91924155,0.7898808,0.8949704,0.8844271,19.6,6.4,0.4,38.6,0.2827937722206116,0.9035185217857361,0.86548966,0.9959184,0.7625,0.9260131,0.8058159,0.90393007,0.91071475,24.4,7.6,0.2,48.6
4,0.01,0.0,0.2,0.001,506,0.28444369286298754,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.88698226,0.8957923,19.2,6.8,0.0,39.0,0.3191474348306656,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8761532,0.87821734,23.6,8.4,0.0,48.8
