config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.32115512490272524,0.892307698726654,0.8484683,1.0,0.7307692,0.9178504,0.7872714,0.85315573,0.84915954,19.0,7.0,0.0,39.0,0.3247819125652313,0.9009259223937989,0.8623496,0.9959184,0.75625,0.92412776,0.80134,0.8616842,0.86268014,24.2,7.8,0.2,48.6
1,0.01,0.2,0.0,506,0.3309179902076721,0.892307698726654,0.8590392,0.98461545,0.75384617,0.9170367,0.7821328,0.87455624,0.8719784,19.6,6.4,0.6,38.4,0.34244738817214965,0.8935493946075439,0.85419023,0.9959184,0.7375,0.9191691,0.7874487,0.87019694,0.8728464,23.6,8.4,0.2,48.6
2,0.01,0.2,0.0001,506,0.36736181378364563,0.8830769300460816,0.8406967,0.9948718,0.7153846,0.91104907,0.7678479,0.84437865,0.83475244,18.6,7.4,0.2,38.8,0.36553465127944945,0.8763888955116272,0.83222437,1.0,0.6875,0.9078785,0.75578594,0.86801255,0.862412,22.0,10.0,0.0,48.8
3,0.01,0.0,0.0,506,0.3159505307674408,0.8953846216201782,0.85846984,0.9897436,0.75384617,0.9193145,0.7889875,0.86124265,0.8435276,19.6,6.4,0.4,38.6,0.3125285983085632,0.9034876585006714,0.8656918,0.9958334,0.7625,0.9259551,0.80653334,0.8794457,0.872542,24.4,7.6,0.2,48.6
4,0.01,0.2,0.0001,506,0.34922953844070437,0.8892307758331299,0.85145634,0.9948718,0.7307692,0.9162502,0.78148043,0.87041426,0.8750144,19.0,7.0,0.2,38.8,0.36579362750053407,0.8861419796943665,0.8473034,0.9916666,0.725,0.91341925,0.77207464,0.86467373,0.8588091,23.2,8.8,0.4,48.4
5,0.01,0.2,0.0,506,0.34369649887084963,0.8830769300460816,0.8381893,1.0,0.7076923,0.91163427,0.76977503,0.85759366,0.8711815,18.4,7.6,0.0,39.0,0.33388557434082033,0.8961111068725586,0.8579709,0.9959184,0.74375,0.9212,0.7924389,0.86300623,0.85640275,23.8,8.2,0.2,48.6
6,0.01,0.4,0.0001,506,0.36557450890541077,0.8830769300460816,0.8382472,1.0,0.7076923,0.9116446,0.7698541,0.8274161,0.81730795,18.4,7.6,0.0,39.0,0.34465771317481997,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984055,0.8689944,0.8696314,23.8,8.2,0.0,48.8
7,0.01,0.0,0.0001,506,0.3333758175373077,0.8861538529396057,0.8415443,1.0,0.7153846,0.91367877,0.77563083,0.87021697,0.8715521,18.6,7.4,0.0,39.0,0.3198357284069061,0.9034876585006714,0.86268866,1.0,0.75625,0.9261621,0.8076127,0.87643766,0.86555624,24.2,7.8,0.0,48.8
8,0.01,0.2,0.0001,506,0.3569043159484863,0.8861538529396057,0.8424395,1.0,0.7153846,0.9139716,0.77575934,0.8416174,0.8357686,18.6,7.4,0.0,39.0,0.34149054288864134,0.8960493922233581,0.8580761,0.9959184,0.74375,0.9211952,0.7924394,0.8807703,0.8785825,23.8,8.2,0.2,48.6
9,0.01,0.0,0.001,506,0.3262418806552887,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.87978303,0.85217667,20.0,6.0,0.0,39.0,0.3575573921203613,0.888611102104187,0.8453452,1.0,0.71875,0.9159117,0.77914304,0.8567376,0.8505025,23.0,9.0,0.0,48.8
