config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,506,0.3100711852312088,0.8962037086486816,0.86354494,0.9877551,0.75625,0.920705,0.7905637,0.8782579,0.8769336,24.2,7.8,0.6,48.2,0.35784897208213806,0.8803921580314636,0.8392323,0.9935484,0.705,0.909867,0.75953376,0.8420162,0.8378862,28.2,11.8,0.4,61.6
1,0.01,0.2,0.0,506,0.38205347061157224,0.8713580131530761,0.83655053,0.97959185,0.70625,0.90206766,0.73913604,0.8547698,0.8557051,22.6,9.4,1.0,47.8,0.34603347778320315,0.8882352828979492,0.856404,0.9806452,0.74500006,0.9143058,0.7702655,0.88411295,0.87716913,29.8,10.2,1.2,60.8
2,0.01,0.2,0.0001,506,0.3367383599281311,0.8935185313224793,0.8523793,1.0,0.73125,0.91966707,0.78907,0.86793554,0.87000924,23.4,8.6,0.0,48.8,0.29411361217498777,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8854435,0.86596406,32.0,8.0,0.0,62.0
3,0.01,0.0,0.0,506,0.3043694138526917,0.9059876561164856,0.8664626,1.0,0.7625,0.9281562,0.8125782,0.8747994,0.864769,24.4,7.6,0.0,48.8,0.39563676714897156,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.8060484,0.8171775,27.0,13.0,0.0,62.0
4,0.01,0.2,0.0001,506,0.36274251341819763,0.883765435218811,0.8462922,0.9877551,0.725,0.91137314,0.76538,0.85759056,0.8567581,23.2,8.8,0.6,48.2,0.345524662733078,0.9058823347091675,0.8679969,0.9967742,0.765,0.9279318,0.8101195,0.8543145,0.85697997,30.6,9.4,0.2,61.8
5,0.01,0.2,0.0,506,0.3213046729564667,0.8960802555084229,0.85655195,0.9959184,0.74375,0.9207152,0.79228544,0.8695698,0.85701305,23.8,8.2,0.2,48.6,0.318416166305542,0.9,0.86071986,0.9967742,0.75,0.9237572,0.7987094,0.86745965,0.8713628,30.0,10.0,0.2,61.8
6,0.01,0.4,0.0001,506,0.37024582028388975,0.8960493803024292,0.8536216,1.0,0.7375,0.9209099,0.79331374,0.8617851,0.86070997,23.6,8.4,0.0,48.8,0.3538193881511688,0.8980392098426819,0.8563927,1.0,0.73999995,0.92263126,0.79606235,0.8780645,0.89577043,29.6,10.4,0.0,62.0
7,0.01,0.0,0.0001,506,0.3128185361623764,0.9058641910552978,0.86584634,1.0,0.7625,0.92789936,0.8123884,0.87682694,0.8658471,24.4,7.6,0.0,48.8,0.4101576030254364,0.8725489974021912,0.82666665,1.0,0.675,0.9051095,0.74699396,0.7985081,0.80100554,27.0,13.0,0.0,62.0
8,0.01,0.2,0.0001,506,0.3236928105354309,0.8985185146331787,0.8568033,1.0,0.74375,0.9227048,0.79811466,0.867408,0.8679679,23.8,8.2,0.0,48.8,0.31147001385688783,0.9019607901573181,0.86111104,1.0,0.75,0.9253732,0.8036376,0.88665324,0.90775764,30.0,10.0,0.0,62.0
9,0.01,0.0,0.001,506,0.35611281394958494,0.8911110997200012,0.8485702,1.0,0.725,0.9177367,0.78396094,0.8555379,0.8564997,23.2,8.8,0.0,48.8,0.31120720505714417,0.9215686321258545,0.8879832,0.9967742,0.805,0.93920743,0.84096223,0.8779435,0.8437785,32.2,7.8,0.2,61.8
