config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.2910659283399582,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8965483,0.90797156,19.2,6.8,0.0,39.0,0.2944103181362152,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.8627019,0.85288143,24.2,7.8,0.0,48.8
1,0.01,0.0,0.001,506,0.274499836564064,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.9017752,0.8985863,19.6,6.4,0.0,39.0,0.326462858915329,0.8910493850708008,0.8538374,0.9917517,0.7375,0.91707194,0.7816385,0.8483883,0.84895027,23.6,8.4,0.4,48.4
2,0.01,0.0,0.001,506,0.31026206612586976,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.85877717,0.8602993,18.8,7.2,0.0,39.0,0.308290508389473,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8651799,0.86786425,23.4,8.6,0.0,48.8
3,0.01,0.0,0.001,506,0.2810283571481705,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.9050296,0.9088213,19.6,6.4,0.0,39.0,0.2846611559391022,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8777796,0.8815311,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.28988488018512726,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8688363,0.85579175,19.2,6.8,0.0,39.0,0.317995098233223,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.85713226,0.85030043,23.6,8.4,0.0,48.8
5,0.01,0.0,0.001,506,0.3199701488018036,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.85286,0.8511132,18.4,7.6,0.0,39.0,0.3062211453914642,0.8936419725418091,0.8574996,0.9918367,0.74375,0.91910887,0.78666866,0.8651692,0.85602033,23.8,8.2,0.4,48.4
6,0.01,0.0,0.001,506,0.31566600501537323,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8771203,0.8739606,18.4,7.6,0.0,39.0,0.31617850959300997,0.8959876656532287,0.8575072,0.9959184,0.74375,0.9209946,0.79224,0.8643389,0.86449397,23.8,8.2,0.2,48.6
7,0.01,0.0,0.001,506,0.29640518724918363,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8820513,0.8689038,19.0,7.0,0.0,39.0,0.28410732448101045,0.9034567832946777,0.865081,0.9958333,0.7625,0.9257642,0.8062631,0.8831978,0.87915766,24.4,7.6,0.2,48.6
8,0.01,0.0,0.001,506,0.3104402482509613,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.864497,0.8582884,18.6,7.4,0.0,39.0,0.3074775904417038,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.87835217,0.8748171,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.2740879416465759,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8939842,0.8858241,20.0,6.0,0.0,39.0,0.31977880001068115,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.8489358,0.84584045,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.29018165469169616,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.8999014,0.9210175,19.2,6.8,0.0,39.0,0.2957222491502762,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.861801,0.8624647,24.2,7.8,0.0,48.8
1,0.01,0.2,0.001,506,0.27283545434474943,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.90591717,0.9146453,19.6,6.4,0.0,39.0,0.35082829296588897,0.8935185313224793,0.8541277,0.9958333,0.7375,0.9191297,0.78723776,0.852276,0.8526106,23.6,8.4,0.2,48.6
2,0.01,0.2,0.001,506,0.3091649770736694,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8710059,0.8748868,18.8,7.2,0.0,39.0,0.3094979524612427,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8589326,0.8668035,23.4,8.6,0.0,48.8
3,0.01,0.2,0.001,506,0.28373424112796786,0.8984615445137024,0.8592676,0.9948718,0.75384617,0.9218806,0.7972098,0.9093689,0.91539687,19.6,6.4,0.2,38.8,0.28300452828407285,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.881149,0.8852993,24.4,7.6,0.0,48.8
4,0.01,0.2,0.001,506,0.2885143980383873,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.8741617,0.8674747,19.2,6.8,0.0,39.0,0.32228368520736694,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8569462,0.8494123,23.6,8.4,0.0,48.8
5,0.01,0.2,0.001,506,0.32039068937301635,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.85246545,0.8507125,18.4,7.6,0.0,39.0,0.3056990563869476,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.8683341,0.8560417,23.8,8.2,0.0,48.8
6,0.01,0.2,0.001,506,0.3168894976377487,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.87376726,0.86730516,18.4,7.6,0.0,39.0,0.30350880026817323,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8656303,0.8685986,23.8,8.2,0.0,48.8
