config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.2847262382507324,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.9062131,0.9206053,19.2,6.8,0.0,39.0,0.31083950996398924,0.9008950591087341,0.86228913,0.9958333,0.75625,0.9240888,0.80112123,0.8697093,0.871226,24.2,7.8,0.2,48.6
1,0.01,0.0,0.001,506,0.2758118599653244,0.8984615445137024,0.86027944,0.9948718,0.75384617,0.92226326,0.7967712,0.8976332,0.9029934,19.6,6.4,0.2,38.8,0.3215948700904846,0.8885185360908509,0.8529372,0.9875,0.7375,0.91483104,0.77529824,0.8543726,0.84942436,23.6,8.4,0.6,48.2
2,0.01,0.0,0.001,506,0.30302774310112,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8727811,0.8672088,18.8,7.2,0.0,39.0,0.30598830580711367,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8692934,0.8661249,23.4,8.6,0.0,48.8
3,0.01,0.0,0.001,506,0.269215726852417,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.91725844,0.91829836,19.6,6.4,0.0,39.0,0.2828503966331482,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.88475764,0.88023883,24.4,7.6,0.0,48.8
4,0.01,0.0,0.001,506,0.28548410832881926,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.87593687,0.86701584,19.2,6.8,0.0,39.0,0.3182739853858948,0.8986111164093018,0.857619,1.0,0.74375,0.923005,0.79836893,0.86520517,0.8546971,23.8,8.2,0.0,48.8
5,0.01,0.0,0.001,506,0.3200738787651062,0.8830769300460816,0.8381893,1.0,0.70769227,0.91163427,0.769775,0.8538462,0.8607397,18.4,7.6,0.0,39.0,0.29973756372928617,0.8985802412033081,0.8584255,1.0,0.74375,0.9232513,0.7984567,0.86972654,0.85874903,23.8,8.2,0.0,48.8
6,0.01,0.0,0.001,506,0.3120591789484024,0.8830769300460816,0.8382472,1.0,0.70769227,0.9116446,0.7698541,0.8790927,0.8730134,18.4,7.6,0.0,39.0,0.3048566341400146,0.8984567999839783,0.8580085,1.0,0.74375,0.9230431,0.7984056,0.8881297,0.8946263,23.8,8.2,0.0,48.8
7,0.01,0.0,0.001,506,0.2971504181623459,0.892307698726654,0.84943503,1.0,0.7307693,0.91815567,0.78748995,0.8710059,0.8730604,19.0,7.0,0.0,39.0,0.2874659031629562,0.9059567928314209,0.8655524,1.0,0.7625,0.92785823,0.8123356,0.8769903,0.8746859,24.4,7.6,0.0,48.8
8,0.01,0.0,0.001,506,0.304354140162468,0.8861538529396057,0.84243935,1.0,0.7153846,0.9139716,0.77575934,0.8668639,0.868999,18.6,7.4,0.0,39.0,0.3037692725658417,0.8985185265541077,0.8585774,1.0,0.74375,0.9232438,0.7986049,0.8835872,0.8900409,23.8,8.2,0.0,48.8
9,0.01,0.0,0.001,506,0.2674339532852173,0.9076923131942749,0.8682143,1.0,0.7692308,0.9290458,0.81693715,0.8898422,0.88494855,20.0,6.0,0.0,39.0,0.31643436551094056,0.8910802364349365,0.8485271,1.0,0.725,0.9177066,0.78394395,0.84296477,0.8205224,23.2,8.8,0.0,48.8
0,0.01,0.2,0.001,506,0.2876750320196152,0.8953846216201782,0.85223645,1.0,0.7384615,0.92003524,0.7931458,0.90483236,0.91483116,19.2,6.8,0.0,39.0,0.29248700439929964,0.9033950567245483,0.86289406,1.0,0.75625,0.9261732,0.8076587,0.866021,0.8677909,24.2,7.8,0.0,48.8
1,0.01,0.2,0.001,506,0.27476853132247925,0.9015384674072265,0.8611299,1.0,0.75384617,0.9248233,0.8052598,0.89211047,0.90025175,19.6,6.4,0.0,39.0,0.316291818022728,0.8960185289382935,0.8546916,1.0,0.7375,0.9212176,0.79361427,0.8640639,0.86065215,23.6,8.4,0.0,48.8
2,0.01,0.2,0.001,506,0.3044936776161194,0.8892307758331299,0.8451411,1.0,0.72307694,0.91581094,0.7814561,0.8668639,0.8613087,18.8,7.2,0.0,39.0,0.30196253657341005,0.8936728477478028,0.8516687,1.0,0.73125,0.9195452,0.7888578,0.8751501,0.8785254,23.4,8.6,0.0,48.8
3,0.01,0.2,0.001,506,0.27134581804275515,0.9015384674072265,0.859944,1.0,0.75384617,0.92445767,0.80494374,0.92929,0.9314839,19.6,6.4,0.0,39.0,0.28767784833908083,0.9059876561164856,0.8661111,1.0,0.7625,0.9280518,0.8124612,0.8904629,0.8998558,24.4,7.6,0.0,48.8
4,0.01,0.2,0.001,506,0.2900191187858582,0.8953846216201782,0.8550166,1.0,0.7384616,0.9208828,0.7939527,0.87159765,0.8610697,19.2,6.8,0.0,39.0,0.308936619758606,0.8961111187934876,0.85426474,1.0,0.7375,0.92114127,0.79350483,0.8579507,0.8428999,23.6,8.4,0.0,48.8
