config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0,506,0.3179901361465454,0.8830769300460816,0.84971845,0.9794871,0.73846155,0.9096514,0.7632874,0.9054241,0.9110962,19.2,6.8,0.8,38.2,0.33028441071510317,0.8860802531242371,0.85947895,0.97134364,0.75625,0.9116643,0.76556677,0.89383763,0.9009181,24.2,7.8,1.4,47.4
1,0.01,0.0,0.0,506,0.34395545721054077,0.8800000071525573,0.85589916,0.96410257,0.75384617,0.90631694,0.7530754,0.8777121,0.8701399,19.6,6.4,1.4,37.6,0.37096964120864867,0.8737654447555542,0.8484621,0.9672619,0.73125,0.9026004,0.7436228,0.8727452,0.8719837,23.4,8.6,1.6,47.2
2,0.01,0.0,0.0,506,0.3929343521595001,0.8646153926849365,0.842583,0.95384616,0.7307693,0.8945204,0.7190354,0.85147923,0.8511736,19.0,7.0,1.8,37.2,0.36795697212219236,0.8738271713256835,0.85209733,0.9589286,0.74375,0.9019802,0.7381152,0.8731226,0.88187474,23.8,8.2,2.0,46.8
3,0.01,0.0,0.0,506,0.30292242765426636,0.8953846216201782,0.86170214,0.98461545,0.7615385,0.9189129,0.787582,0.9075937,0.92032784,19.8,6.2,0.6,38.4,0.3319380939006805,0.8886728405952453,0.8671733,0.96318036,0.775,0.9126111,0.7686845,0.8803359,0.8691312,24.8,7.2,1.8,47.0
4,0.01,0.4,0.0,506,0.32785271406173705,0.8830769300460816,0.8523444,0.97948724,0.73846155,0.910529,0.7630938,0.87672585,0.8794349,19.2,6.8,0.8,38.2,0.36358640193939207,0.8712962985038757,0.84876376,0.9588436,0.7375,0.89984787,0.734935,0.8615514,0.84786665,23.6,8.4,2.0,46.8
5,0.01,0.2,0.0,506,0.3533100426197052,0.8738461613655091,0.8360511,0.98461545,0.7076923,0.9038541,0.74636304,0.85029584,0.8671066,18.4,7.6,0.6,38.4,0.3572418034076691,0.8663580298423768,0.8522126,0.94659865,0.74375,0.8957151,0.7234871,0.87886506,0.8749603,23.8,8.2,2.6,46.2
6,0.01,0.0,0.0,506,0.36268370151519774,0.8676923155784607,0.8394554,0.96410257,0.72307694,0.89741075,0.727521,0.856213,0.8563231,18.8,7.2,1.4,37.6,0.36072397232055664,0.8686728477478027,0.8520479,0.95059526,0.74375,0.89753693,0.72912014,0.86942226,0.8553125,23.8,8.2,2.4,46.4
7,0.01,0.4,0.0,506,0.3369804173707962,0.8800000071525573,0.84663963,0.9794871,0.7307693,0.907792,0.75674456,0.8729783,0.8802207,19.0,7.0,0.8,38.2,0.31169935762882234,0.8935802459716797,0.8605072,0.9835884,0.75625,0.9178575,0.78299797,0.89079237,0.8824108,24.2,7.8,0.8,48.0
8,0.01,0.4,0.0,506,0.3889168679714203,0.8584615468978882,0.8378537,0.9487179,0.72307694,0.8896464,0.70554787,0.8516766,0.8512823,18.8,7.2,2.0,37.0,0.37229244112968446,0.8812037110328674,0.85745174,0.9672619,0.75,0.9083606,0.7548853,0.8778101,0.876613,24.0,8.0,1.6,47.2
9,0.01,0.2,0.0,506,0.2965099513530731,0.8953846216201782,0.8651083,0.97948724,0.7692307,0.91858226,0.78613096,0.89812624,0.8862895,20.0,6.0,0.8,38.2,0.35662299394607544,0.8787345647811889,0.8460137,0.97959185,0.725,0.90743065,0.753091,0.8582071,0.85175276,23.2,8.8,1.0,47.8
