config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
7,0.0001,0.2,0.001,506,0.6171640753746033,0.6492307901382446,0.64744186,0.9846153,0.14615384,0.7756098,0.17589718,0.5852071,0.68087876,3.8,22.2,0.6,38.4,0.616679048538208,0.6533333420753479,0.6527743,0.98367345,0.15,0.77877825,0.17515431,0.59052134,0.6934282,4.8,27.2,0.8,48.0
9,0.0001,0.2,0.001,506,0.49121329188346863,0.781538474559784,0.770676,0.97948724,0.4846154,0.8534622,0.500885,0.7513807,0.81130886,12.6,13.4,0.8,38.2,0.52948499917984,0.7601234674453735,0.750983,0.9672619,0.44375,0.83726424,0.4509472,0.69393206,0.74078476,14.2,17.8,1.6,47.2
9,0.0001,0.4,0.001,506,0.6732417225837708,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.48116368,0.62515223,0.0,26.0,0.0,39.0,0.6717276453971863,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.48651814,0.62834984,0.0,32.0,0.0,48.8
4,0.0001,0.2,0.001,506,0.6126037240028381,0.6584615588188172,0.66888887,0.9743589,0.18461539,0.7813333,0.19718316,0.6053254,0.7052628,4.8,21.2,1.0,38.0,0.6337994039058685,0.6508641958236694,0.6472487,0.9877551,0.1375,0.7775458,0.17030725,0.5744579,0.68020135,4.4,27.6,0.6,48.2
8,0.0001,0.4,0.001,506,0.6730342388153077,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.49980274,0.6210766,0.0,26.0,0.0,39.0,0.671525526046753,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4896564,0.6224805,0.0,32.0,0.0,48.8
7,0.0001,0.4,0.001,506,0.6732568502426147,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.49881655,0.6406823,0.0,26.0,0.0,39.0,0.6718201875686646,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5094627,0.645735,0.0,32.0,0.0,48.8
6,0.0001,0.2,0.001,506,0.6173895001411438,0.6615384817123413,0.6533333,1.0,0.15384616,0.78571427,0.20380887,0.60236686,0.7000486,4.0,22.0,0.0,39.0,0.6341907501220703,0.643950617313385,0.6454891,0.975,0.1375,0.7710769,0.15371065,0.548852,0.6702296,4.4,27.6,1.2,47.6
2,0.0001,0.4,0.001,506,0.6732147216796875,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.47830373,0.604078,0.0,26.0,0.0,39.0,0.6715597867965698,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4970079,0.6229549,0.0,32.0,0.0,48.8
3,0.0001,0.2,0.001,506,0.6191247344017029,0.6523077130317688,0.6514285,0.9846153,0.15384616,0.7777778,0.18236944,0.56341225,0.66901374,4.0,22.0,0.6,38.4,0.6085035085678101,0.6607407450675964,0.6570371,0.9918367,0.15625,0.784832,0.19132113,0.58201265,0.6924126,5.0,27.0,0.4,48.4
4,0.0001,0.4,0.001,506,0.6729282379150391,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5205128,0.6365036,0.0,26.0,0.0,39.0,0.671472680568695,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.50214976,0.64158916,0.0,32.0,0.0,48.8
3,0.0001,0.4,0.001,506,0.6732421517372131,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.45848125,0.5989469,0.0,26.0,0.0,39.0,0.6716533184051514,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.47825256,0.616148,0.0,32.0,0.0,48.8
6,0.0001,0.4,0.001,506,0.6732400178909301,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4856016,0.6375593,0.0,26.0,0.0,39.0,0.6718238115310669,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4716704,0.6118437,0.0,32.0,0.0,48.8
5,0.0001,0.2,0.001,506,0.5762278974056244,0.6953846335411071,0.6911111,0.9692308,0.28461537,0.79902995,0.29518968,0.57751477,0.67476404,7.4,18.6,1.2,37.8,0.5871438980102539,0.7009259223937988,0.69562966,0.97517014,0.28125,0.8043766,0.29955858,0.5913731,0.6690591,9.0,23.0,1.2,47.6
5,0.0001,0.4,0.001,506,0.6735651016235351,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4234714,0.5832024,0.0,26.0,0.0,39.0,0.6715425968170166,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.49423495,0.6276325,0.0,32.0,0.0,48.8
8,0.0001,0.2,0.001,506,0.6730170011520386,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.50256413,0.6250013,0.0,26.0,0.0,39.0,0.6715604782104492,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.49734133,0.6284261,0.0,32.0,0.0,48.8
1,0.0001,0.4,0.001,506,0.6729500770568848,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.5240631,0.648823,0.0,26.0,0.0,39.0,0.6713608622550964,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.5253906,0.65888083,0.0,32.0,0.0,48.8
