config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.3303451597690582,0.8769230842590332,0.85112524,0.96410257,0.74615383,0.90394276,0.746264,0.8902367,0.90118456,19.4,6.6,1.4,37.6,0.3496801912784576,0.8737037181854248,0.85764825,0.95093536,0.75625,0.90100557,0.7386305,0.88265574,0.87904704,24.2,7.8,2.4,46.4
1,0.01,0.4,0.0,506,0.33207994401454927,0.8861538529396057,0.85430545,0.97948724,0.74615383,0.91216135,0.7686223,0.8642999,0.85749704,19.4,6.6,0.8,38.2,0.34413017630577086,0.8762345790863038,0.84900653,0.9713435,0.73125,0.9046458,0.7499415,0.8747941,0.8820257,23.4,8.6,1.4,47.4
2,0.01,0.2,0.0,506,0.38979079723358157,0.8707692384719848,0.84103996,0.9692308,0.72307694,0.9001608,0.7360496,0.8386587,0.8370158,18.8,7.2,1.2,37.8,0.36851474046707156,0.8713888883590698,0.84419394,0.9671768,0.725,0.9011425,0.7347209,0.8683872,0.865837,23.2,8.8,1.6,47.2
3,0.01,0.2,0.0,506,0.28869964778423307,0.8953846216201782,0.8618657,0.98461545,0.7615385,0.9188343,0.7886728,0.91923076,0.93691146,19.8,6.2,0.6,38.4,0.32968207001686095,0.8886419653892517,0.8624175,0.9712585,0.7625,0.91348237,0.76979584,0.88704026,0.8873867,24.4,7.6,1.4,47.4
4,0.001,0.0,0.0,506,0.36668606102466583,0.8615384697914124,0.8478087,0.9435898,0.73846155,0.8917925,0.713922,0.86627215,0.8599574,19.2,6.8,2.2,36.8,0.3903164744377136,0.8663580179214477,0.85341406,0.94243205,0.75,0.89500904,0.72155017,0.86107045,0.86071026,24.0,8.0,2.8,46.0
5,0.01,0.2,0.0,506,0.3513523995876312,0.8738461613655091,0.836167,0.98461545,0.7076923,0.90390366,0.7465626,0.8510849,0.8554182,18.4,7.6,0.6,38.4,0.3559535384178162,0.8761728405952454,0.8543509,0.9627551,0.74375,0.9038211,0.74826133,0.87446195,0.86599493,23.8,8.2,1.8,47.0
6,0.01,0.4,0.0,506,0.3455522954463959,0.8738461613655091,0.8328887,0.9897436,0.7,0.9043277,0.74751955,0.85483235,0.85369194,18.2,7.8,0.4,38.6,0.3439371228218079,0.8835493803024292,0.8550811,0.97525513,0.74375,0.9104602,0.7626551,0.8744048,0.88039285,23.8,8.2,1.2,47.6
7,0.01,0.2,0.0,506,0.32335345447063446,0.8738461613655091,0.84562826,0.96923083,0.7307693,0.90255165,0.7427398,0.89447725,0.9080095,19.0,7.0,1.2,37.8,0.31827778816223146,0.8985493898391723,0.86916256,0.97959185,0.775,0.9208499,0.79300135,0.89356405,0.88420373,24.8,7.2,1.0,47.8
8,0.01,0.4,0.0,506,0.38270028829574587,0.8646153926849365,0.83692825,0.96410257,0.7153846,0.8956299,0.72141325,0.848718,0.8543975,18.6,7.4,1.4,37.6,0.3283736050128937,0.8861728429794311,0.8556843,0.97959185,0.74375,0.91287106,0.767575,0.88242847,0.879917,23.8,8.2,1.0,47.8
9,0.01,0.0,0.0001,506,0.4300490468740463,0.8184615492820739,0.8004753,0.96410257,0.59999996,0.86995566,0.61359775,0.8789941,0.8756962,15.6,10.4,1.4,37.6,0.4579176425933838,0.8069444417953491,0.78728646,0.9550171,0.58125,0.8594831,0.60256296,0.85632575,0.85907733,18.6,13.4,2.2,46.6
