config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.001,506,0.3214112460613251,0.8830769300460816,0.84957063,0.97948724,0.7384615,0.90966034,0.7628421,0.8874753,0.90383804,19.2,6.8,0.8,38.2,0.32088173031806944,0.8860802531242371,0.85707635,0.9754251,0.75,0.9120199,0.7668499,0.8908615,0.9006076,24.0,8.0,1.2,47.6
1,0.01,0.2,0.0001,506,0.32687756717205046,0.8800000071525573,0.8529948,0.9692308,0.7461539,0.9069397,0.7537569,0.88303745,0.8887426,19.4,6.6,1.2,37.8,0.3566102147102356,0.8737963080406189,0.8486109,0.96734697,0.73125,0.90237635,0.74542093,0.8603648,0.8571021,23.4,8.6,1.6,47.2
2,0.01,0.2,0.001,506,0.36653417348861694,0.8707692384719848,0.8411457,0.9692308,0.72307694,0.90008783,0.7368897,0.86725825,0.8717133,18.8,7.2,1.2,37.8,0.34356933236122134,0.8763888955116272,0.845387,0.97551024,0.725,0.90550804,0.7462712,0.8774912,0.8880876,23.2,8.8,1.2,47.6
3,0.01,0.0,0.0001,506,0.297801873087883,0.8984615445137024,0.86257756,0.9897436,0.7615384,0.9214748,0.7960226,0.90226823,0.91420114,19.8,6.2,0.4,38.6,0.32553657293319704,0.8911419749259949,0.86261827,0.9754251,0.7625,0.9155159,0.7757236,0.8791002,0.8733819,24.4,7.6,1.2,47.6
4,0.001,0.4,0.01,506,0.34806402325630187,0.8707692384719848,0.8504917,0.95897436,0.7384616,0.89998484,0.7350819,0.865286,0.8653289,19.2,6.8,1.6,37.4,0.3620085895061493,0.8737962961196899,0.8467908,0.96709186,0.73125,0.9026014,0.740075,0.8635737,0.8642008,23.4,8.6,1.6,47.2
5,0.01,0.0,0.0001,506,0.37149221301078794,0.855384624004364,0.83078957,0.95384616,0.70769227,0.88773984,0.70192254,0.8457594,0.84247524,18.4,7.6,1.8,37.2,0.35126711130142213,0.8786728382110596,0.8524636,0.9710034,0.7375,0.9065282,0.75444835,0.86946356,0.86230004,23.6,8.4,1.4,47.4
6,0.01,0.4,0.01,506,0.35890819430351256,0.8738461613655091,0.83571243,0.98461545,0.70769227,0.9038986,0.7451766,0.83806705,0.8197912,18.4,7.6,0.6,38.4,0.3479439377784729,0.8761728525161743,0.85392463,0.9630953,0.74375,0.904257,0.7455877,0.8764402,0.88390714,23.8,8.2,1.8,47.0
7,0.01,0.0,0.001,506,0.33829343914985655,0.8738461613655091,0.84594643,0.9692308,0.7307693,0.9023982,0.7444886,0.8684419,0.878554,19.0,7.0,1.2,37.8,0.32305942177772523,0.8861419796943665,0.8614925,0.9671769,0.7625,0.9112233,0.76408833,0.88216674,0.8835009,24.4,7.6,1.6,47.2
8,0.01,0.4,0.001,506,0.37554159462451936,0.8584615468978882,0.83776295,0.94871795,0.72307694,0.8894504,0.7065455,0.84714013,0.851885,18.8,7.2,2.0,37.0,0.3608113944530487,0.8787345647811889,0.8546575,0.9672619,0.74375,0.90670586,0.7498091,0.87708473,0.88364804,23.8,8.2,1.6,47.2
9,0.01,0.2,0.0001,506,0.29173608422279357,0.892307698726654,0.86843413,0.9692308,0.77692306,0.9157486,0.7777196,0.90641034,0.8956796,20.2,5.8,1.2,37.8,0.3587117552757263,0.8712962985038757,0.8443041,0.9672619,0.725,0.9011388,0.7346516,0.86185026,0.86367196,23.2,8.8,1.6,47.2
