config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.001,506,0.32229494452476504,0.8912654280662536,0.86450833,0.97551024,0.7625,0.91625655,0.77561206,0.86498463,0.8518883,24.4,7.6,1.2,47.6,0.38967257738113403,0.8627450942993165,0.8332942,0.96774197,0.7,0.895448,0.7160045,0.8153226,0.7953409,28.0,12.0,2.0,60.0
1,0.01,0.2,0.0001,506,0.3239775538444519,0.8812345623970032,0.8513276,0.97551024,0.7375,0.9088848,0.75587183,0.88349545,0.89524233,23.6,8.4,1.2,47.6,0.32601099014282225,0.9019607901573181,0.8714286,0.983871,0.775,0.9242424,0.7984905,0.8583871,0.823974,31.0,9.0,1.0,61.0
2,0.01,0.2,0.001,506,0.33181536197662354,0.8786728620529175,0.84927094,0.9754251,0.73125,0.9072264,0.7524444,0.872033,0.8752182,23.4,8.6,1.2,47.6,0.30419474840164185,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8793951,0.85622805,32.0,8.0,0.0,62.0
3,0.01,0.0,0.0001,506,0.303937104344368,0.8960802555084229,0.86453307,0.9835884,0.7625,0.91987485,0.7883839,0.89152986,0.8993357,24.4,7.6,0.8,48.0,0.46762180924415586,0.8078431367874146,0.8098656,0.89354837,0.675,0.8495678,0.5911516,0.8073387,0.8000331,27.0,13.0,6.6,55.4
4,0.001,0.4,0.01,506,0.3381387948989868,0.8763888955116272,0.84719485,0.9714286,0.73125,0.90491664,0.7453219,0.87210226,0.8761622,23.4,8.6,1.4,47.4,0.34964367747306824,0.8725490212440491,0.8656477,0.9354838,0.775,0.8991718,0.73090494,0.86125004,0.84036636,31.0,9.0,4.0,58.0
5,0.01,0.0,0.0001,506,0.33834256529808043,0.8837036967277527,0.85385245,0.9754251,0.74375,0.9103662,0.76128376,0.8661685,0.8633297,23.8,8.2,1.2,47.6,0.3427164316177368,0.8803921580314636,0.86305034,0.95483863,0.76500005,0.90655833,0.74923515,0.86770165,0.86582214,30.6,9.4,2.8,59.2
6,0.01,0.4,0.01,506,0.3482155501842499,0.8762962937355041,0.8516715,0.9632653,0.74375,0.9039529,0.7434164,0.8528513,0.83989966,23.8,8.2,1.8,47.0,0.3455307185649872,0.8823529362678528,0.8571312,0.96774197,0.75,0.9090659,0.7553719,0.8560484,0.85241985,30.0,10.0,2.0,60.0
7,0.01,0.0,0.001,506,0.2999714434146881,0.8861111164093017,0.86200035,0.96734697,0.7625,0.91130084,0.7650657,0.8973333,0.90609074,24.4,7.6,1.6,47.2,0.45191438794136046,0.8392156839370728,0.8184272,0.9451612,0.675,0.87723035,0.6620647,0.820121,0.81237423,27.0,13.0,3.4,58.6
8,0.01,0.4,0.001,506,0.32537250518798827,0.8787037134170532,0.8499004,0.9712585,0.7375,0.90637505,0.7503524,0.8788239,0.88507175,23.6,8.4,1.4,47.4,0.35150583982467654,0.8823529362678528,0.85710734,0.96774197,0.75,0.9090152,0.7556747,0.85358876,0.8243831,30.0,10.0,2.0,60.0
9,0.01,0.2,0.0001,506,0.34028148651123047,0.8812036991119385,0.8464581,0.9835884,0.725,0.9095122,0.7586928,0.84668905,0.84018886,23.2,8.8,0.8,48.0,0.27601565718650817,0.9215686202049256,0.89021933,0.9935484,0.81000006,0.93902236,0.8400669,0.90681446,0.88399804,32.4,7.6,0.4,61.6
