config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0,0.0,506,0.43264445662498474,0.8220370411872864,0.8191403,0.9466837,0.63125,0.87201357,0.6016361,0.7996519,0.82208985,20.2,11.8,2.6,46.2,0.4602590262889862,0.8039215564727783,0.78283525,0.96774197,0.55,0.8616521,0.5640086,0.78370965,0.8139839,22.0,18.0,2.0,60.0
1,0.01,0.2,0.0,0.0001,506,0.472425776720047,0.7891358256340026,0.77938986,0.94285715,0.55625,0.8485149,0.53288746,0.79564995,0.82187307,17.8,14.2,2.8,46.0,0.45501532554626467,0.8058823585510254,0.79860866,0.9451612,0.59000003,0.86064434,0.56413203,0.81080645,0.8219328,23.6,16.4,3.4,58.6
2,0.001,0.0,0.0,0.0,506,0.5170186638832093,0.7748148083686829,0.7684846,0.9382653,0.525,0.8394124,0.5006751,0.7499403,0.7883888,16.8,15.2,3.0,45.8,0.47489133477211,0.7901960730552673,0.780574,0.9451612,0.55,0.85014457,0.53176534,0.75963706,0.79541606,22.0,18.0,3.4,58.6
3,0.01,0.0,0.0,0.0,506,0.4639220297336578,0.8070370554924011,0.79352117,0.954847,0.58125,0.8618199,0.57185334,0.8066738,0.8298767,18.6,13.4,2.2,46.6,0.5590034902095795,0.7627451062202454,0.76837885,0.9064516,0.54,0.8258832,0.4729166,0.77072585,0.794267,21.6,18.4,5.8,56.2
4,0.01,0.4,0.0,0.0,506,0.44903320670127866,0.8145987629890442,0.7995913,0.9427721,0.61875,0.8630606,0.60355914,0.8251953,0.8484112,19.8,12.2,2.8,46.0,0.47125084400177003,0.7921568512916565,0.81194574,0.88064516,0.65500003,0.84123117,0.54639155,0.8158468,0.85678494,26.2,13.8,7.4,54.6
5,0.01,0.2,0.0,0.0,506,0.5196537852287293,0.7496296405792237,0.7400597,0.9632653,0.425,0.8298723,0.4269728,0.72274,0.7927159,13.6,18.4,1.8,47.0,0.5187665820121765,0.7607843160629273,0.7550279,0.96129036,0.45,0.8377594,0.4441126,0.6684274,0.7243713,18.0,22.0,2.4,59.6
6,0.01,0.0,0.0,0.0,506,0.4661839962005615,0.794444453716278,0.7851757,0.94659865,0.5625,0.8531151,0.54292977,0.7923495,0.83884513,18.0,14.0,2.6,46.2,0.5254049599170685,0.786274516582489,0.7880726,0.9225806,0.575,0.8445665,0.5212072,0.7316935,0.7530807,23.0,17.0,4.8,57.2
7,0.01,0.0,0.2,0.0,506,0.444113951921463,0.8039506316184998,0.7938243,0.9510204,0.58125,0.859804,0.5655742,0.8108219,0.8464266,18.6,13.4,2.4,46.4,0.601249361038208,0.7607843041419983,0.75381523,0.9290322,0.5,0.8282634,0.46722564,0.6953629,0.73357165,20.0,20.0,4.4,57.6
8,0.01,0.0,0.0,0.0,506,0.4030489921569824,0.8564814805984498,0.84248793,0.9386905,0.73125,0.8876511,0.6997184,0.8639084,0.87958145,23.4,8.6,3.0,45.8,0.44570024609565734,0.8372548937797546,0.82343227,0.932258,0.69,0.8743761,0.656387,0.8470564,0.8571005,27.6,12.4,4.2,57.8
9,0.01,0.4,0.0,0.0,506,0.41779001951217654,0.8514506101608277,0.83968055,0.9344388,0.725,0.88398075,0.68867546,0.85685855,0.85836047,23.2,8.8,3.2,45.6,0.4151735305786133,0.8450980424880982,0.83666116,0.9258064,0.71999997,0.87869024,0.6737778,0.85479844,0.8441189,28.8,11.2,4.6,57.4
