config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.2,0.4,0.1,506,0.404707795381546,0.8838271617889404,0.86326516,0.96318024,0.7625,0.9099356,0.7586912,0.8704507,0.8688815,24.4,7.6,1.8,47.0,0.42716214060783386,0.8647058844566345,0.83378994,0.97096765,0.7,0.8971586,0.72043407,0.8465322,0.84823465,28.0,12.0,1.8,60.2
1,0.01,0.4,0.2,0.1,506,0.37847185134887695,0.8737654328346253,0.8522107,0.95901364,0.74375,0.9021778,0.736888,0.86643016,0.87339276,23.8,8.2,2.0,46.8,0.35221258401870725,0.8921568393707275,0.8695652,0.96774185,0.775,0.9160305,0.7751438,0.8662096,0.8551439,31.0,9.0,2.0,60.0
2,0.01,0.4,0.2,0.001,506,0.34951198399066924,0.8762345790863038,0.84901905,0.9714286,0.73125,0.9051712,0.7470705,0.85475266,0.8423892,23.4,8.6,1.4,47.4,0.2980367660522461,0.9196078419685364,0.885383,0.9967742,0.8,0.93777466,0.8370269,0.87713706,0.8600976,32.0,8.0,0.2,61.8
3,0.01,0.0,0.4,0.01,506,0.3226239025592804,0.888611114025116,0.8658366,0.96709186,0.76875,0.9130947,0.77084047,0.8687725,0.8807373,24.6,7.4,1.6,47.2,0.45632925629615784,0.8176470518112182,0.81263983,0.9096774,0.675,0.8583789,0.612494,0.83088714,0.840608,27.0,13.0,5.6,56.4
4,0.01,0.4,0.0,0.1,506,0.369047087430954,0.8813271641731262,0.853446,0.9714286,0.74375,0.90838754,0.75550646,0.86034364,0.8522752,23.8,8.2,1.4,47.4,0.39932196140289306,0.8627451062202454,0.8636364,0.9193548,0.775,0.890625,0.70938843,0.8582662,0.8499161,31.0,9.0,5.0,57.0
5,0.01,0.0,0.2,0.001,506,0.3402237296104431,0.8837036967277527,0.85385245,0.9754251,0.74375,0.9103662,0.76128376,0.8745416,0.88220346,23.8,8.2,1.2,47.6,0.36485289335250853,0.8803921461105346,0.8630296,0.95483875,0.76500005,0.9063734,0.7503828,0.8606049,0.8564321,30.6,9.4,2.8,59.2
6,0.01,0.2,0.4,0.01,506,0.3523171186447144,0.8812345623970032,0.8526455,0.9714286,0.74375,0.90809214,0.7553367,0.8476616,0.8347036,23.8,8.2,1.4,47.4,0.3561128795146942,0.8725490093231201,0.85498667,0.95161295,0.75,0.90058345,0.73322594,0.86604846,0.871174,30.0,10.0,3.0,59.0
7,0.001,0.0,0.4,0.1,506,0.3868356704711914,0.8910493850708008,0.86586916,0.9714286,0.76875,0.9152149,0.7759261,0.8849131,0.8779786,24.6,7.4,1.4,47.4,0.4670106291770935,0.8333333134651184,0.8169014,0.9354838,0.675,0.87218046,0.64802235,0.80649203,0.81860495,27.0,13.0,4.0,58.0
8,0.01,0.0,0.0,0.01,506,0.33852905631065366,0.8762345790863038,0.8548852,0.95901364,0.75,0.9036487,0.7430201,0.87921447,0.8848742,24.0,8.0,2.0,46.8,0.3625286281108856,0.8823529481887817,0.8571428,0.96774185,0.75,0.9090909,0.75521415,0.8647178,0.85414964,30.0,10.0,2.0,60.0
9,0.01,0.4,0.0,0.01,506,0.35955402851104734,0.8737654328346253,0.84763706,0.9671769,0.73125,0.9028633,0.7402613,0.84806013,0.8470303,23.4,8.6,1.6,47.2,0.29528931975364686,0.9215686321258545,0.8947899,0.9870968,0.82,0.93864805,0.8385483,0.89375,0.87485665,32.8,7.2,0.8,61.2
