config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.4817550778388977,0.7938461661338806,0.7716497,0.96410257,0.5384615,0.8533535,0.5492233,0.7785996,0.7954118,14.0,12.0,1.4,37.6,0.4612374484539032,0.8064197659492492,0.80122995,0.9469388,0.59375,0.8613518,0.5721288,0.77300173,0.81732976,19.0,13.0,2.6,46.2
1,0.01,0.0,0.0,506,0.48082918524742124,0.7969230890274048,0.79113215,0.9384615,0.58461535,0.852718,0.552356,0.8072978,0.84831035,15.2,10.8,2.4,36.6,0.4945477545261383,0.7871604919433594,0.77401245,0.95476186,0.53125,0.84871614,0.53653294,0.77356106,0.8049518,17.0,15.0,2.2,46.6
2,0.01,0.0,0.0,506,0.5293385446071625,0.7353846311569214,0.7270707,0.95384616,0.40769228,0.8183018,0.40094844,0.73668635,0.7905986,10.6,15.4,1.8,37.2,0.5470174729824067,0.7298765540122986,0.722109,0.9551021,0.3875,0.8160678,0.38293543,0.6828005,0.7475507,12.4,19.6,2.2,46.6
3,0.01,0.0,0.0,506,0.443942791223526,0.8153846263885498,0.8039072,0.95384616,0.6076923,0.8671268,0.59153306,0.80818546,0.83788407,15.8,10.2,1.8,37.2,0.4857123613357544,0.7916049599647522,0.78790313,0.93469393,0.575,0.8493357,0.5379528,0.7754305,0.8038824,18.4,13.6,3.2,45.6
4,0.01,0.0,0.0,506,0.5003416001796722,0.7692307829856873,0.77041066,0.9179487,0.54615384,0.83174306,0.49174777,0.77001965,0.790949,14.2,11.8,3.2,35.8,0.4933225095272064,0.7871913552284241,0.7803036,0.93818027,0.55625,0.84638083,0.5299152,0.79081374,0.828735,17.8,14.2,3.0,45.8
5,0.01,0.0,0.0,506,0.6375702977180481,0.6461538672447205,0.6436364,0.9846153,0.13846155,0.77349395,0.16944125,0.50236684,0.63906866,3.6,22.4,0.6,38.4,0.6268365502357482,0.6409876585006714,0.6362963,0.9877551,0.1125,0.771115,0.14958894,0.53686625,0.6634607,3.6,28.4,0.6,48.2
6,0.01,0.0,0.0,506,0.6204304158687591,0.6523077130317688,0.6481818,0.9897436,0.14615384,0.7783133,0.18287161,0.56627214,0.6846104,3.8,22.2,0.4,38.6,0.6173137307167054,0.6533333420753479,0.6478752,0.9918367,0.1375,0.7796662,0.17621848,0.56229544,0.67285854,4.4,27.6,0.4,48.4
7,0.01,0.0,0.0,506,0.528298282623291,0.7415384769439697,0.7376442,0.94871795,0.43076926,0.8218859,0.41347486,0.72544384,0.76559424,11.2,14.8,2.0,37.0,0.5199391126632691,0.7348148226737976,0.73166734,0.9469388,0.4125,0.8178732,0.3940871,0.67773974,0.75866586,13.2,18.8,2.6,46.2
8,0.01,0.0,0.0,506,0.6199438214302063,0.6400000214576721,0.6365217,0.9846153,0.12307693,0.76941174,0.15650688,0.5915187,0.6887415,3.2,22.8,0.6,38.4,0.6367094457149506,0.6360493898391724,0.6346871,0.97959185,0.1125,0.76679367,0.13759239,0.5438763,0.64903,3.6,28.4,1.0,47.8
9,0.01,0.0,0.0,506,0.390611070394516,0.8646153926849365,0.84162533,0.95384616,0.7307692,0.8940733,0.72009623,0.88925046,0.88427085,19.0,7.0,1.8,37.2,0.4412009656429291,0.8340740919113159,0.8234825,0.9261905,0.69375,0.87135506,0.65012467,0.8486594,0.8518484,22.2,9.8,3.6,45.2
0,0.01,0.2,0.0,506,0.5214148938655854,0.7446153998374939,0.72214663,0.98461545,0.3846154,0.8282156,0.42805314,0.7464497,0.7965476,10.0,16.0,0.6,38.4,0.5105684340000153,0.7545678973197937,0.7416729,0.97551024,0.41875,0.83516705,0.44161573,0.7607475,0.8045772,13.4,18.6,1.2,47.6
1,0.01,0.2,0.0,506,0.6255054354667664,0.6492307901382446,0.6507317,0.97948724,0.15384616,0.775,0.17586015,0.64408284,0.732071,4.0,22.0,0.8,38.2,0.6467625260353088,0.6335802555084229,0.6262466,0.9959184,0.08125,0.76782495,0.13752222,0.58517617,0.68343306,2.6,29.4,0.2,48.6
2,0.01,0.2,0.0,506,0.5815807223320008,0.6953846335411071,0.6824792,0.9846153,0.26153845,0.8008071,0.29796687,0.64299804,0.7225166,6.8,19.2,0.6,38.4,0.597337394952774,0.6854321002960205,0.67463064,0.97959185,0.2375,0.7944199,0.26846343,0.6033256,0.6936303,7.6,24.4,1.0,47.8
