config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0001,506,0.32465726137161255,0.8830769300460816,0.84950703,0.97948724,0.7384615,0.90953386,0.7636016,0.8823471,0.90103644,19.2,6.8,0.8,38.2,0.33959746956825254,0.8761728525161743,0.8574176,0.95493203,0.75625,0.9031843,0.74243224,0.8739583,0.8740026,24.2,7.8,2.2,46.6
1,0.01,0.4,0.001,506,0.33103986382484435,0.8861538529396057,0.85430545,0.97948724,0.7461539,0.91216147,0.7686223,0.87968445,0.8814562,19.4,6.6,0.8,38.2,0.34777489900588987,0.878734576702118,0.85192984,0.9714286,0.7375,0.90638113,0.7548817,0.86328256,0.8638384,23.6,8.4,1.4,47.4
2,0.01,0.2,0.001,506,0.36665643453598024,0.8615384697914124,0.83898866,0.95384616,0.72307694,0.89217645,0.7146151,0.8710059,0.8757105,18.8,7.2,1.8,37.2,0.35389013290405275,0.8763888955116272,0.8453102,0.97551024,0.725,0.9055163,0.7459985,0.8737124,0.8750572,23.2,8.8,1.2,47.6
3,0.0001,0.0,0.0001,506,0.3188652753829956,0.892307698726654,0.8610679,0.9794871,0.7615384,0.91626817,0.7804505,0.8732742,0.85725796,19.8,6.2,0.8,38.2,0.3314261853694916,0.8936111092567444,0.8657352,0.9754251,0.76875,0.9172742,0.78063977,0.87173414,0.8784872,24.6,7.4,1.2,47.6
4,0.0001,0.4,0.001,506,0.3619611620903015,0.8646153926849365,0.8493377,0.94871795,0.7384616,0.8944933,0.7218625,0.8524655,0.84578896,19.2,6.8,2.0,37.0,0.3596189618110657,0.8787345647811889,0.85327226,0.96709186,0.74375,0.906226,0.7497155,0.85814464,0.85494596,23.8,8.2,1.6,47.2
5,0.001,0.2,0.0001,506,0.3821485936641693,0.8615384697914124,0.8336609,0.96410257,0.70769227,0.8932551,0.7186343,0.8366863,0.83106405,18.4,7.6,1.4,37.6,0.36531305909156797,0.8811728358268738,0.8549212,0.9710884,0.74375,0.9084832,0.7565601,0.8624774,0.8560789,23.8,8.2,1.4,47.4
6,0.01,0.4,0.0001,506,0.35497303009033204,0.8738461613655091,0.8382656,0.97948724,0.7153846,0.9032342,0.74413544,0.8360947,0.8067439,18.6,7.4,0.8,38.2,0.35285263061523436,0.8761419773101806,0.8558027,0.9589286,0.75,0.90377825,0.743448,0.8671981,0.8608799,24.0,8.0,2.0,46.8
7,0.0001,0.2,0.001,506,0.36743722558021547,0.8707692384719848,0.8452064,0.96410257,0.7307693,0.8998264,0.736517,0.8499014,0.83857346,19.0,7.0,1.4,37.6,0.32978240847587587,0.8911111116409302,0.86521167,0.9713435,0.76875,0.91515046,0.77484614,0.8758025,0.86659783,24.6,7.4,1.4,47.4
8,0.001,0.2,0.01,506,0.3801199972629547,0.8584615468978882,0.838123,0.94871795,0.72307694,0.88961375,0.7061697,0.85147935,0.85339034,18.8,7.2,2.0,37.0,0.3550635576248169,0.8861728429794311,0.858284,0.9754251,0.75,0.91265565,0.7654778,0.8709728,0.8633765,24.0,8.0,1.2,47.6
9,0.001,0.2,0.0001,506,0.3039699375629425,0.892307698726654,0.8652217,0.9743589,0.7692308,0.91607875,0.7796982,0.8928008,0.8902855,20.0,6.0,1.0,38.0,0.3581332564353943,0.8762654304504395,0.84752333,0.9714286,0.73125,0.90482366,0.7460782,0.8515638,0.83815145,23.4,8.6,1.4,47.4
