config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.001,0.0,0.001,506,0.31699584424495697,0.8861538529396057,0.850247,0.98461545,0.7384615,0.91223735,0.77057606,0.89635116,0.9150783,19.2,6.8,0.6,38.4,0.3288287311792374,0.8811728477478027,0.8562826,0.96734697,0.75,0.90761554,0.7573667,0.88444674,0.8858167,24.0,8.0,1.6,47.2
1,0.001,0.0,0.1,506,0.3638504922389984,0.8861538529396057,0.85430545,0.9794871,0.74615383,0.91216147,0.7686223,0.86390525,0.85510224,19.4,6.6,0.8,38.2,0.37052737474441527,0.8812037110328674,0.8523737,0.97551024,0.7375,0.90864354,0.75975925,0.860604,0.86125505,23.6,8.4,1.2,47.6
2,0.001,0.4,0.001,506,0.350276792049408,0.8707692384719848,0.8411457,0.9692308,0.72307694,0.90008795,0.7368897,0.87692297,0.8881534,18.8,7.2,1.2,37.8,0.3323478698730469,0.8763888955116272,0.8451597,0.97551024,0.725,0.9054869,0.74583757,0.87938595,0.87539876,23.2,8.8,1.2,47.6
3,0.001,0.4,0.001,506,0.2965605705976486,0.8953846216201782,0.85866165,0.9897436,0.75384617,0.9192988,0.7897029,0.89674556,0.90499485,19.6,6.4,0.4,38.6,0.3042644619941711,0.8886728405952453,0.8597361,0.9754251,0.75625,0.9138627,0.7705737,0.88578606,0.8912977,24.2,7.8,1.2,47.6
4,0.001,0.4,0.1,506,0.37461737990379335,0.8738461613655091,0.85180295,0.96410257,0.73846155,0.9023148,0.7456392,0.86706126,0.8720644,19.2,6.8,1.4,37.6,0.37484183311462405,0.8812037110328674,0.8511837,0.97525513,0.7375,0.90855896,0.75726545,0.8644823,0.86358356,23.6,8.4,1.2,47.6
5,1e-05,0.2,0.1,506,0.39996160864830016,0.8615384697914124,0.8336609,0.96410257,0.70769227,0.8932551,0.7186343,0.8402368,0.85450906,18.4,7.6,1.4,37.6,0.38003196120262145,0.8811728358268738,0.8549212,0.9710884,0.74375,0.9084832,0.7565601,0.86740667,0.8667493,23.8,8.2,1.4,47.4
6,0.001,0.4,0.1,506,0.3851882517337799,0.8738461613655091,0.83571243,0.98461545,0.7076923,0.9038986,0.7451766,0.84102565,0.8181065,18.4,7.6,0.6,38.4,0.37177356481552126,0.8786419749259948,0.8540541,0.9671768,0.74375,0.90645444,0.7497356,0.8674877,0.86298054,23.8,8.2,1.6,47.2
7,1e-05,0.2,0.001,506,0.3583531379699707,0.8738461613655091,0.8458708,0.9692308,0.7307693,0.9025365,0.7433181,0.8593688,0.84554815,19.0,7.0,1.2,37.8,0.32424578070640564,0.8935802459716797,0.8657756,0.9754251,0.76875,0.917235,0.7808845,0.88309413,0.88371027,24.6,7.4,1.2,47.6
8,0.001,0.4,0.01,506,0.3605392098426819,0.8584615468978882,0.83286256,0.95897436,0.7076923,0.8908206,0.70883477,0.8552268,0.8549943,18.4,7.6,1.6,37.4,0.3261468470096588,0.888611114025116,0.85631645,0.9835884,0.74375,0.91502684,0.7729185,0.87576133,0.87743425,23.8,8.2,0.8,48.0
9,1e-05,0.4,0.1,506,0.3623955547809601,0.8953846216201782,0.86582774,0.97948724,0.7692308,0.9186605,0.7872051,0.89812624,0.8905641,20.0,6.0,0.8,38.2,0.39488195776939394,0.8712962985038757,0.8440708,0.9672619,0.725,0.9010806,0.7345118,0.85523355,0.85020655,23.2,8.8,1.6,47.2
