config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.0,0.001,506,0.31694093346595764,0.8937345743179321,0.86309516,0.98367345,0.75625,0.9187374,0.7838766,0.87663424,0.87870246,24.2,7.8,0.8,48.0,0.38914406299591064,0.8627450942993165,0.8332952,0.96774197,0.7,0.89544916,0.7160357,0.81935483,0.8096447,28.0,12.0,2.0,60.0
1,0.001,0.0,0.1,506,0.367684531211853,0.8787345647811889,0.8504777,0.9713435,0.7375,0.9067408,0.7492193,0.86893594,0.8705269,23.6,8.4,1.4,47.4,0.34006927013397215,0.9019607901573181,0.8714286,0.983871,0.775,0.9242424,0.7984905,0.87306464,0.88302153,31.0,9.0,1.0,61.0
2,0.001,0.4,0.001,506,0.3194444477558136,0.8836111307144165,0.8471101,0.98767006,0.725,0.91155005,0.7652396,0.86016023,0.8602009,23.2,8.8,0.6,48.2,0.2759269058704376,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.857621,0.81930363,32.0,8.0,0.0,62.0
3,0.001,0.4,0.001,506,0.2920249491930008,0.8960185170173645,0.8647009,0.98341835,0.7625,0.91968775,0.78945625,0.8889575,0.8920881,24.4,7.6,0.8,48.0,0.43832825422286986,0.8392156839370728,0.8184272,0.9451612,0.675,0.87723047,0.6620647,0.79790324,0.78374547,27.0,13.0,3.4,58.6
4,0.001,0.4,0.1,506,0.36976033449172974,0.8788580298423767,0.8503485,0.9714286,0.7375,0.9066698,0.7503537,0.86559975,0.8651245,23.6,8.4,1.4,47.4,0.3776685893535614,0.8647058844566345,0.8640434,0.9225806,0.775,0.89234495,0.7136405,0.86254036,0.833783,31.0,9.0,4.8,57.2
5,1e-05,0.2,0.1,506,0.36954386830329894,0.8812345623970032,0.85341704,0.9713435,0.74375,0.9082306,0.75585425,0.86413825,0.8620394,23.8,8.2,1.4,47.4,0.37007813453674315,0.8823529481887817,0.8571428,0.96774185,0.75,0.9090909,0.75521415,0.87278235,0.86389863,30.0,10.0,2.0,60.0
6,0.001,0.4,0.1,506,0.37215028405189515,0.8787654280662537,0.852126,0.96734697,0.74375,0.90600413,0.74943423,0.8594095,0.8530961,23.8,8.2,1.6,47.2,0.36995280981063844,0.8901960611343384,0.85875255,0.9806452,0.75,0.91565275,0.7742401,0.85217744,0.84383583,30.0,10.0,1.2,60.8
7,1e-05,0.2,0.001,506,0.30931586027145386,0.8910493850708008,0.86298877,0.97551024,0.7625,0.9154793,0.77672756,0.8811185,0.88552046,24.4,7.6,1.2,47.6,0.43763997554779055,0.843137264251709,0.8194445,0.95161283,0.675,0.880597,0.67142624,0.8233468,0.82362807,27.0,13.0,3.0,59.0
8,0.001,0.4,0.01,506,0.30904930233955386,0.8911111116409302,0.8526009,0.9918367,0.7375,0.9167735,0.78124577,0.88388604,0.8940465,23.6,8.4,0.4,48.4,0.3285368025302887,0.8960784196853637,0.85993737,0.9903226,0.75,0.9205252,0.788853,0.8447177,0.80797577,30.0,10.0,0.6,61.4
9,1e-05,0.4,0.1,506,0.38945128321647643,0.8737654328346253,0.84506464,0.9712585,0.725,0.90315056,0.7416638,0.8527051,0.8448623,23.2,8.8,1.4,47.4,0.3389297962188721,0.9215686321258545,0.89705884,0.983871,0.825,0.9384615,0.83774364,0.89116937,0.88305014,33.0,7.0,1.0,61.0
