config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
3,0.001,0.4,0.0,0.1,506,0.4261893033981323,0.892307698726654,0.8547222,0.9897436,0.74615383,0.9170613,0.7837794,0.8608481,0.85551244,19.4,6.6,0.4,38.6,0.4248964190483093,0.8961111068725586,0.8661544,0.97959185,0.76875,0.91937083,0.7865676,0.8671503,0.8754781,24.6,7.4,1.0,47.8
2,0.001,0.4,0.0,0.1,506,0.47006956338882444,0.8615384697914124,0.8358885,0.95897436,0.7153846,0.8926281,0.7161095,0.84142005,0.84859866,18.6,7.4,1.6,37.4,0.46222386956214906,0.8664814829826355,0.8403341,0.96318036,0.71875,0.8973584,0.7233141,0.85309446,0.85950613,23.0,9.0,1.8,47.0
1,0.001,0.4,0.0,0.1,506,0.44666690230369566,0.8800000071525573,0.8538076,0.9692308,0.74615383,0.9070296,0.754891,0.86706114,0.8732994,19.4,6.6,1.2,37.8,0.4511746048927307,0.8712963104248047,0.8478982,0.96318024,0.73125,0.9005159,0.7375844,0.85803443,0.85991603,23.4,8.6,1.8,47.0
0,0.001,0.4,0.0,0.1,506,0.43751728534698486,0.8738461613655091,0.85089475,0.95897436,0.74615383,0.9013938,0.73936194,0.8643985,0.8617136,19.4,6.6,1.6,37.4,0.4323202669620514,0.8835802555084229,0.8615529,0.9630953,0.7625,0.9090783,0.75940454,0.86725396,0.8704792,24.4,7.6,1.8,47.0
9,0.001,0.2,0.4,0.1,506,0.4478162944316864,0.9015384674072265,0.86697406,0.9897436,0.7692307,0.92381924,0.8022987,0.8902367,0.8894388,20.0,6.0,0.4,38.6,0.4739582121372223,0.8712962985038757,0.83970803,0.9754251,0.7125,0.9020268,0.73642474,0.8456725,0.8425929,22.8,9.2,1.2,47.6
8,0.001,0.2,0.4,0.1,506,0.45566341280937195,0.8584615468978882,0.83510697,0.95384616,0.7153846,0.8901988,0.7069935,0.8467455,0.86027277,18.6,7.4,1.8,37.2,0.43973390460014344,0.8762963056564331,0.8535126,0.96318036,0.74375,0.904603,0.7428666,0.86124706,0.86224616,23.8,8.2,1.8,47.0
7,0.001,0.2,0.4,0.1,506,0.43008212447166444,0.8738461613655091,0.8458708,0.96923083,0.7307693,0.9025365,0.7433181,0.8564102,0.85662067,19.0,7.0,1.2,37.8,0.41433231234550477,0.8911111116409302,0.86528635,0.97134364,0.76875,0.91510284,0.7753377,0.87519133,0.8721901,24.6,7.4,1.4,47.4
6,0.001,0.2,0.4,0.1,506,0.4590844213962555,0.8707692384719848,0.83743316,0.9743589,0.71538466,0.9006077,0.7363905,0.8424064,0.834723,18.6,7.4,1.0,38.0,0.4464716076850891,0.8786419868469239,0.85629445,0.9630953,0.75,0.9059944,0.7488455,0.863058,0.8648307,24.0,8.0,1.8,47.0
5,0.001,0.2,0.4,0.1,506,0.458800858259201,0.8646153926849365,0.8343253,0.9692308,0.7076923,0.8959651,0.7254354,0.83392507,0.8445835,18.4,7.6,1.2,37.8,0.4441168367862701,0.8762345671653747,0.8484398,0.9710884,0.73125,0.9048586,0.7469195,0.8608697,0.8683859,23.4,8.6,1.4,47.4
4,0.001,0.2,0.4,0.1,506,0.45141359567642214,0.8738461613655091,0.8472638,0.96923083,0.7307693,0.90277994,0.7443495,0.8597633,0.8641351,19.0,7.0,1.2,37.8,0.44349271059036255,0.8836728453636169,0.8544833,0.97525513,0.74375,0.91038865,0.7621051,0.86003935,0.8631121,23.8,8.2,1.2,47.6
3,0.001,0.2,0.4,0.1,506,0.42822272181510923,0.8953846216201782,0.8585607,0.9897436,0.75384617,0.9192414,0.7898808,0.86005914,0.8540352,19.6,6.4,0.4,38.6,0.42702028155326843,0.8961111068725586,0.8661544,0.97959185,0.76875,0.91937083,0.7865676,0.86816275,0.8768729,24.6,7.4,1.0,47.8
