config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.0,0.4,0.1,506,0.4353080868721008,0.8813271641731262,0.8595789,0.96318024,0.75625,0.9079978,0.7535895,0.86564887,0.86051416,24.2,7.8,1.8,47.0,0.45426344871520996,0.8627451062202454,0.8315315,0.97096765,0.695,0.8958297,0.71656275,0.8366129,0.8393208,27.8,12.2,1.8,60.2
1,0.001,0.2,0.2,0.1,506,0.45310919880867007,0.868858027458191,0.8431857,0.96318024,0.725,0.899008,0.7278186,0.8635071,0.8735881,23.2,8.8,1.8,47.0,0.4330753207206726,0.899999988079071,0.8710454,0.9806452,0.775,0.92257535,0.79398465,0.8590323,0.859008,31.0,9.0,1.2,60.8
2,0.01,0.2,0.4,0.1,506,0.47004066705703734,0.8737037301063537,0.8446727,0.9712585,0.725,0.90326375,0.7397002,0.8448647,0.8380295,23.2,8.8,1.4,47.4,0.4348670899868011,0.9078431248664856,0.8689148,1.0,0.765,0.9297118,0.8151673,0.9077016,0.9078816,30.6,9.4,0.0,62.0
3,0.001,0.0,0.2,0.01,506,0.3234918624162674,0.893549382686615,0.8665489,0.97525513,0.76875,0.9172473,0.7820902,0.870537,0.87833196,24.6,7.4,1.2,47.6,0.43813817501068114,0.8294117450714111,0.8157818,0.9290322,0.675,0.8686347,0.6397229,0.81411284,0.8128009,27.0,13.0,4.4,57.6
4,0.001,0.4,0.0,0.1,506,0.44278252124786377,0.8862654447555542,0.8546276,0.97959185,0.74375,0.91259277,0.76749635,0.8624722,0.8668561,23.8,8.2,1.0,47.8,0.44623427391052245,0.8627451062202454,0.8636364,0.9193548,0.775,0.890625,0.70938843,0.86447585,0.87281835,31.0,9.0,5.0,57.0
5,0.0001,0.4,0.4,0.001,506,0.3564451575279236,0.8812345623970032,0.85341704,0.9713435,0.74375,0.9082306,0.75585425,0.84728557,0.83418876,23.8,8.2,1.4,47.4,0.3579729676246643,0.8784313678741456,0.8668569,0.9451612,0.775,0.90430534,0.74378914,0.85318553,0.85347474,31.0,9.0,3.4,58.6
6,0.001,0.4,0.4,0.1,506,0.4514649987220764,0.8762962937355041,0.85150653,0.9632653,0.74375,0.90380037,0.7441576,0.85552454,0.8564167,23.8,8.2,1.8,47.0,0.4463182806968689,0.8823529481887817,0.8571428,0.96774185,0.75,0.9090909,0.75521415,0.86177427,0.87036514,30.0,10.0,2.0,60.0
7,0.01,0.4,0.4,0.001,506,0.31877618432044985,0.8861111164093017,0.86200035,0.96734697,0.7625,0.91130084,0.7650657,0.87682694,0.87097776,24.4,7.6,1.6,47.2,0.4638103425502777,0.8313725471496582,0.8163637,0.932258,0.675,0.8704461,0.64364827,0.81979847,0.8451826,27.0,13.0,4.2,57.8
8,0.01,0.0,0.0,0.01,506,0.34118626117706297,0.8836728453636169,0.85648215,0.9713435,0.75,0.90999717,0.7605468,0.87665284,0.8757065,24.0,8.0,1.4,47.4,0.3650316417217255,0.8764705896377564,0.8558885,0.95806444,0.75,0.90406877,0.741563,0.8554436,0.84541625,30.0,10.0,2.6,59.4
9,0.01,0.4,0.4,0.001,506,0.35705509781837463,0.8762345671653747,0.8480204,0.9712585,0.73125,0.90500176,0.74556166,0.8446083,0.8346882,23.4,8.6,1.4,47.4,0.28076237440109253,0.9235293984413147,0.8927865,0.9935484,0.81500006,0.94045657,0.84391165,0.89068544,0.8699263,32.6,7.4,0.4,61.6
