config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.0001,0.4,0.4,0.001,506,0.6734920382499695,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.41449708,0.5733622,0.0,26.0,0.0,39.0,0.6718011617660522,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.41498995,0.57193905,0.0,32.0,0.0,48.8
9,0.0001,0.4,0.2,0.001,506,0.6733195424079895,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.41844183,0.57817096,0.0,26.0,0.0,39.0,0.671700382232666,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4337147,0.58488506,0.0,32.0,0.0,48.8
7,0.0001,0.4,0.2,0.001,506,0.6733444929122925,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4280079,0.5883337,0.0,26.0,0.0,39.0,0.6716582655906678,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4431468,0.59462833,0.0,32.0,0.0,48.8
8,0.0001,0.4,0.2,0.001,506,0.6732125997543335,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.44812626,0.5824917,0.0,26.0,0.0,39.0,0.6717136383056641,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44917756,0.594567,0.0,32.0,0.0,48.8
6,0.0001,0.4,0.2,0.001,506,0.6732853412628174,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.44003946,0.6013638,0.0,26.0,0.0,39.0,0.6717095136642456,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.42927027,0.5766288,0.0,32.0,0.0,48.8
0,0.0001,0.4,0.2,0.001,506,0.6733129501342774,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.41370812,0.5709766,0.0,26.0,0.0,39.0,0.6717384219169616,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.41428837,0.57148886,0.0,32.0,0.0,48.8
5,0.0001,0.4,0.2,0.001,506,0.6735938191413879,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.38185403,0.56371045,0.0,26.0,0.0,39.0,0.6717304944992065,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44324112,0.59866667,0.0,32.0,0.0,48.8
4,0.0001,0.4,0.2,0.001,506,0.6733334064483643,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.43057197,0.56714475,0.0,26.0,0.0,39.0,0.671745753288269,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.42442068,0.5739814,0.0,32.0,0.0,48.8
3,0.0001,0.4,0.2,0.001,506,0.6733091831207275,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.42061147,0.56385165,0.0,26.0,0.0,39.0,0.671695601940155,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.43861073,0.58706135,0.0,32.0,0.0,48.8
2,0.0001,0.4,0.2,0.001,506,0.6733302235603332,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.439645,0.5762583,0.0,26.0,0.0,39.0,0.6717133045196533,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44698128,0.5931672,0.0,32.0,0.0,48.8
1,0.0001,0.4,0.2,0.001,506,0.6733262777328491,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.45177516,0.6024678,0.0,26.0,0.0,39.0,0.6717743635177612,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4356731,0.5932048,0.0,32.0,0.0,48.8
9,0.0001,0.4,0.0,0.001,506,0.6733502507209778,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4186391,0.5783682,0.0,26.0,0.0,39.0,0.6717227220535278,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.433906,0.584966,0.0,32.0,0.0,48.8
8,0.0001,0.4,0.0,0.001,506,0.6732036709785462,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.44812626,0.5824917,0.0,26.0,0.0,39.0,0.671708631515503,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44917756,0.5945147,0.0,32.0,0.0,48.8
7,0.0001,0.4,0.0,0.001,506,0.6733234524726868,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4282051,0.5883823,0.0,26.0,0.0,39.0,0.671636426448822,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44314414,0.59470296,0.0,32.0,0.0,48.8
6,0.0001,0.4,0.0,0.001,506,0.6732794404029846,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.44003946,0.6013638,0.0,26.0,0.0,39.0,0.6716957569122315,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.42927027,0.5766288,0.0,32.0,0.0,48.8
5,0.0001,0.4,0.0,0.001,506,0.6735743761062623,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.38165683,0.5636277,0.0,26.0,0.0,39.0,0.6717224717140198,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44324112,0.59866667,0.0,32.0,0.0,48.8
4,0.0001,0.4,0.0,0.001,506,0.6733286261558533,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.43057197,0.56714475,0.0,26.0,0.0,39.0,0.6717478156089782,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.42442068,0.5739814,0.0,32.0,0.0,48.8
1,0.0001,0.4,0.0,0.001,506,0.6732221841812134,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4514793,0.602317,0.0,26.0,0.0,39.0,0.6716875910758973,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4356731,0.5932147,0.0,32.0,0.0,48.8
2,0.0001,0.4,0.0,0.001,506,0.6733034491539002,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.43925053,0.5753413,0.0,26.0,0.0,39.0,0.6716919422149659,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.44653353,0.59290135,0.0,32.0,0.0,48.8
3,0.0001,0.4,0.0,0.001,506,0.6733080744743347,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.42120314,0.5645076,0.0,26.0,0.0,39.0,0.6716915726661682,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.438547,0.587058,0.0,32.0,0.0,48.8
0,0.0001,0.4,0.0,0.001,506,0.673340094089508,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4145957,0.5719309,0.0,26.0,0.0,39.0,0.6717260003089904,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4143548,0.57162917,0.0,32.0,0.0,48.8
9,0.0001,0.2,0.4,0.001,506,0.6733276605606079,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.4188363,0.57842195,0.0,26.0,0.0,39.0,0.6717111706733704,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.433906,0.584966,0.0,32.0,0.0,48.8
8,0.0001,0.2,0.4,0.001,506,0.6732131481170655,0.6000000238418579,0.6,1.0,0.0,0.75,0.05063696,0.44812626,0.5824917,0.0,26.0,0.0,39.0,0.6717227578163147,0.6039506196975708,0.6039506,1.0,0.0,0.7530769,0.047290023,0.4491776,0.5945147,0.0,32.0,0.0,48.8
