config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0001,506,0.3292589545249939,0.8800000071525573,0.8489785,0.97435904,0.7384615,0.9069479,0.75631297,0.877219,0.89038056,19.2,6.8,1.0,38.0,0.3386314332485199,0.8761728525161743,0.8574176,0.95493203,0.75625,0.9031843,0.74243224,0.86872876,0.8738848,24.2,7.8,2.2,46.6
1,0.01,0.0,0.0001,506,0.33155434429645536,0.8830769300460816,0.8536712,0.97435904,0.7461539,0.9095167,0.76149076,0.88599604,0.89787495,19.4,6.6,1.0,38.0,0.3650039315223694,0.878734576702118,0.85192984,0.9714286,0.7375,0.90638113,0.7548817,0.854386,0.858325,23.6,8.4,1.4,47.4
2,0.01,0.0,0.0001,506,0.3763835668563843,0.855384624004364,0.8373667,0.9435898,0.72307694,0.88671744,0.7005876,0.86370814,0.8663061,18.8,7.2,2.2,36.8,0.35860305428504946,0.8614506125450134,0.8447388,0.94659865,0.73125,0.89224017,0.71070766,0.8701836,0.87869805,23.4,8.6,2.6,46.2
3,0.01,0.0,0.0001,506,0.30903280675411227,0.892307698726654,0.8576372,0.98461545,0.75384617,0.91668785,0.7812425,0.8833333,0.8801112,19.6,6.4,0.6,38.4,0.35319326519966127,0.8861728310585022,0.8641958,0.9630953,0.76875,0.9109231,0.7632561,0.8592288,0.8600416,24.6,7.4,1.8,47.0
4,0.01,0.0,0.0001,506,0.34553561806678773,0.8676923155784607,0.84905946,0.9538461,0.7384616,0.8973999,0.7261257,0.85759366,0.8522088,19.2,6.8,1.8,37.2,0.41612703800201417,0.8712962985038757,0.8488971,0.9588435,0.7375,0.90008914,0.733407,0.84895027,0.83768594,23.6,8.4,2.0,46.8
5,0.01,0.0,0.0001,506,0.3783900856971741,0.8523077011108399,0.8308523,0.94871795,0.70769227,0.88541603,0.69395,0.8428008,0.84510314,18.4,7.6,2.0,37.0,0.37941205501556396,0.8762037038803101,0.85396004,0.9628402,0.74375,0.90411985,0.7456741,0.8619566,0.85837734,23.8,8.2,1.8,47.0
6,0.01,0.0,0.0001,506,0.35926557779312135,0.8707692384719848,0.8377371,0.9743589,0.7153846,0.9006483,0.7368468,0.8353058,0.80203515,18.6,7.4,1.0,38.0,0.3643377423286438,0.8712037086486817,0.8551361,0.9507653,0.75,0.8993629,0.7335597,0.86535656,0.85709065,24.0,8.0,2.4,46.4
7,0.01,0.0,0.0001,506,0.3664902687072754,0.8707692384719848,0.8452064,0.96410257,0.7307693,0.8998264,0.736517,0.8435898,0.8349751,19.0,7.0,1.4,37.6,0.33927046656608584,0.8861728429794311,0.8642079,0.96318024,0.76875,0.91093194,0.76341784,0.87319577,0.8601154,24.6,7.4,1.8,47.0
8,0.01,0.0,0.0001,506,0.38564937710762026,0.8584615468978882,0.83829135,0.94871795,0.72307694,0.8898056,0.70539033,0.856213,0.8524796,18.8,7.2,2.0,37.0,0.3850960612297058,0.8787654399871826,0.8547136,0.9672619,0.74375,0.90680635,0.74946916,0.8602745,0.8586332,23.8,8.2,1.6,47.2
9,0.01,0.0,0.0001,506,0.3044957369565964,0.892307698726654,0.86852676,0.9692308,0.77692306,0.9156715,0.7784902,0.89299804,0.89029086,20.2,5.8,1.2,37.8,0.37210426926612855,0.8688271641731262,0.84592044,0.95909864,0.73125,0.89856005,0.7278968,0.84913766,0.8328184,23.4,8.6,2.0,46.8
0,0.01,0.2,0.0001,506,0.32286626994609835,0.8830769300460816,0.84950703,0.97948724,0.7384615,0.90953386,0.7636016,0.8793885,0.8914981,19.2,6.8,0.8,38.2,0.34410160779953003,0.8786111116409302,0.8577775,0.9589286,0.75625,0.9052413,0.7479731,0.86165226,0.8560972,24.2,7.8,2.0,46.8
