config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0001,506,0.3292589545249939,0.8800000071525573,0.8489785,0.97435904,0.7384615,0.9069479,0.75631297,0.877219,0.89038056,19.2,6.8,1.0,38.0,0.3386314332485199,0.8761728525161743,0.8574176,0.95493203,0.75625,0.9031843,0.74243224,0.86872876,0.8738848,24.2,7.8,2.2,46.6
1,0.01,0.4,0.001,506,0.3354383111000061,0.8861538529396057,0.8580847,0.97435904,0.75384617,0.9118624,0.7677546,0.8682445,0.87709427,19.6,6.4,1.0,38.0,0.3575143277645111,0.8812037110328674,0.8525348,0.97551024,0.7375,0.90846187,0.76106036,0.8614251,0.8624505,23.6,8.4,1.2,47.6
2,0.01,0.4,0.01,506,0.3751817405223846,0.8646153926849365,0.8395947,0.95897436,0.72307694,0.8947582,0.722122,0.8605523,0.85682994,18.8,7.2,1.6,37.4,0.3523955285549164,0.8739197611808777,0.8469056,0.96734697,0.73125,0.90301627,0.73851836,0.8708931,0.87616384,23.4,8.6,1.6,47.2
3,0.0001,0.0,0.0001,506,0.32067922949790956,0.8984615445137024,0.86247176,0.9897436,0.7615384,0.921416,0.79617965,0.8738659,0.85853624,19.8,6.2,0.4,38.6,0.33251660466194155,0.8936419725418091,0.8656999,0.97551024,0.76875,0.9173196,0.7805499,0.8721301,0.87526834,24.6,7.4,1.2,47.6
4,0.0001,0.2,0.01,506,0.36482961773872374,0.8615384697914124,0.848505,0.9435898,0.7384616,0.8918668,0.7141175,0.85029584,0.85290337,19.2,6.8,2.2,36.8,0.36024888753890993,0.8787345647811889,0.85327226,0.96709186,0.74375,0.906226,0.7497155,0.8554554,0.8482375,23.8,8.2,1.6,47.2
5,0.01,0.2,0.0001,506,0.3789344847202301,0.855384624004364,0.8318275,0.95384616,0.70769227,0.8880892,0.70166093,0.83372784,0.83816254,18.4,7.6,1.8,37.2,0.37977601289749147,0.8811728358268738,0.85503435,0.9710884,0.74375,0.9084343,0.7572681,0.86617374,0.86808664,23.8,8.2,1.4,47.4
6,0.01,0.0,0.0001,506,0.35926557779312135,0.8707692384719848,0.8377371,0.9743589,0.7153846,0.9006483,0.7368468,0.8353058,0.80203515,18.6,7.4,1.0,38.0,0.3643377423286438,0.8712037086486817,0.8551361,0.9507653,0.75,0.8993629,0.7335597,0.86535656,0.85709065,24.0,8.0,2.4,46.4
6,0.01,0.4,0.01,506,0.35922000408172605,0.8769230842590332,0.83913517,0.98461545,0.7153846,0.90592325,0.75146747,0.8282051,0.79934794,18.6,7.4,0.6,38.4,0.35122016072273254,0.8786111116409302,0.85406035,0.96709186,0.74375,0.90632373,0.75058705,0.86535656,0.8645687,23.8,8.2,1.6,47.2
7,0.01,0.2,0.0001,506,0.3623243927955627,0.8646153926849365,0.84362525,0.95384616,0.7307693,0.8944968,0.72183293,0.8544378,0.8491766,19.0,7.0,1.8,37.2,0.3400195300579071,0.8837037086486816,0.86361855,0.95909864,0.76875,0.908806,0.75760967,0.8779575,0.87346184,24.6,7.4,2.0,46.8
8,0.01,0.4,0.01,506,0.377675199508667,0.855384624004364,0.8375945,0.9435898,0.72307694,0.88702786,0.6988811,0.85246545,0.8527052,18.8,7.2,2.2,36.8,0.3477032661437988,0.8861728429794311,0.858284,0.9754251,0.75,0.91265565,0.7654778,0.8743184,0.8708088,24.0,8.0,1.2,47.6
9,0.01,0.2,0.0001,506,0.3090240240097046,0.8953846216201782,0.8658559,0.97948724,0.7692308,0.91872346,0.7868297,0.8868836,0.8809289,20.0,6.0,0.8,38.2,0.36349687576293943,0.8762654304504395,0.8453692,0.97551024,0.725,0.9052752,0.7471936,0.8524567,0.8377061,23.2,8.8,1.2,47.6
