config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.0,0.0001,506,0.3287837147712708,0.8887962937355042,0.8639034,0.9714286,0.7625,0.9141758,0.7694334,0.8721062,0.86352146,24.4,7.6,1.4,47.4,0.40149217247962954,0.8588235259056092,0.83234185,0.96129036,0.7,0.8921011,0.7066375,0.8191129,0.8123328,28.0,12.0,2.4,59.6
1,0.01,0.4,0.001,506,0.33168972134590147,0.8812345623970032,0.85099715,0.97551024,0.7375,0.9088319,0.7554411,0.87392646,0.87386644,23.6,8.4,1.2,47.6,0.32431215047836304,0.9019607901573181,0.8714286,0.983871,0.775,0.9242424,0.7984905,0.85112906,0.8058349,31.0,9.0,1.0,61.0
2,0.01,0.4,0.01,506,0.3492692619562149,0.8736728549003601,0.8479579,0.96709186,0.73125,0.90302193,0.7393798,0.85693693,0.84134734,23.4,8.6,1.6,47.2,0.30636279582977294,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8627823,0.83173907,32.0,8.0,0.0,62.0
3,0.0001,0.0,0.0001,506,0.32549198567867277,0.8960185170173645,0.8670934,0.97933674,0.76875,0.9192928,0.7884089,0.87284887,0.8738847,24.6,7.4,1.0,47.8,0.46229998469352723,0.8156862616539001,0.8120394,0.9064516,0.675,0.8565383,0.60864836,0.801371,0.7926138,27.0,13.0,5.8,56.2
4,0.0001,0.2,0.01,506,0.3462423801422119,0.8813271760940552,0.85099125,0.97551024,0.7375,0.9087466,0.7566777,0.85692894,0.8463546,23.6,8.4,1.2,47.6,0.3654703855514526,0.8686274528503418,0.8648456,0.9290322,0.775,0.89575845,0.72227275,0.8589112,0.8467432,31.0,9.0,4.4,57.6
5,0.01,0.2,0.0001,506,0.3383885622024536,0.8837037086486816,0.8539314,0.9754251,0.74375,0.91035855,0.7615694,0.8543488,0.8499157,23.8,8.2,1.2,47.6,0.3508897483348846,0.8823529362678528,0.8655113,0.95483863,0.77,0.90789384,0.75348794,0.8596371,0.84441483,30.8,9.2,2.8,59.2
6,0.01,0.0,0.0001,506,0.35282139778137206,0.8787654280662537,0.85194796,0.96734697,0.74375,0.90593415,0.7495326,0.8530506,0.8524744,23.8,8.2,1.6,47.2,0.35590904355049136,0.8823529243469238,0.85711956,0.96774197,0.75,0.9090408,0.7555297,0.8462097,0.8325798,30.0,10.0,2.0,60.0
6,0.01,0.4,0.01,506,0.35411677360534666,0.8812345623970032,0.8526455,0.9714286,0.74375,0.90809214,0.7553367,0.8426817,0.8332081,23.8,8.2,1.4,47.4,0.34407147765159607,0.8862745046615601,0.8579477,0.9741936,0.75,0.9123718,0.7647271,0.84298384,0.83252656,30.0,10.0,1.6,60.4
7,0.01,0.2,0.0001,506,0.3134083330631256,0.8910493850708008,0.863004,0.97551024,0.7625,0.91551954,0.77649397,0.8760802,0.86714,24.4,7.6,1.2,47.6,0.46214981079101564,0.8392156839370728,0.8184272,0.9451612,0.675,0.87723035,0.6620647,0.8170565,0.8206024,27.0,13.0,3.4,58.6
8,0.01,0.4,0.01,506,0.32912455797195433,0.8861419796943665,0.8541404,0.9795068,0.74375,0.91238993,0.7670141,0.87396365,0.8775603,23.8,8.2,1.0,47.8,0.35581533908843993,0.8764705777168273,0.85587674,0.95806456,0.75,0.9040437,0.74172086,0.8502016,0.8361516,30.0,10.0,2.6,59.4
9,0.01,0.2,0.0001,506,0.34651659727096557,0.8737962961196899,0.84756196,0.9672619,0.73125,0.90282744,0.7406285,0.854087,0.8468183,23.4,8.6,1.6,47.2,0.29198360443115234,0.9294117450714111,0.8982523,0.9967742,0.825,0.9449442,0.85634106,0.8945564,0.86906135,33.0,7.0,0.2,61.8
