config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0001,506,0.47647116184234617,0.8061538577079773,0.7892941,0.9230769,0.63076925,0.85055983,0.5959033,0.8123274,0.83832777,16.4,9.6,3.0,36.0,0.4722212851047516,0.81169753074646,0.8007657,0.9221088,0.64375,0.856213,0.6025702,0.83856565,0.8517591,20.6,11.4,3.8,45.0
1,0.01,0.0,0.0,506,0.47955740690231324,0.7753846287727356,0.770511,0.92820513,0.5461539,0.8368746,0.50511354,0.7938856,0.83212364,14.2,11.8,2.8,36.2,0.5080764412879943,0.7841975331306458,0.7656024,0.9591837,0.51875,0.84715873,0.52753997,0.78284574,0.82959527,16.6,15.4,2.0,46.8
2,0.001,0.0,0.0,506,0.5915540993213654,0.7138461709022522,0.70555556,0.94871795,0.36153847,0.80361253,0.35449463,0.65562123,0.7220255,9.4,16.6,2.0,37.0,0.5727242588996887,0.7083024621009827,0.7085629,0.9343537,0.3625,0.7993232,0.33296278,0.6700402,0.7416856,11.6,20.4,3.2,45.6
3,0.001,0.2,0.0,506,0.6173024117946625,0.6584615588188172,0.6457039,0.9846153,0.16923077,0.77785474,0.22181919,0.6192308,0.71433485,4.4,21.6,0.6,38.4,0.6074259042739868,0.6854321002960205,0.6692462,0.9918367,0.21875,0.7959722,0.27320343,0.6370429,0.7234663,7.0,25.0,0.4,48.4
4,0.01,0.0,0.0001,506,0.517836719751358,0.7661538600921631,0.7538249,0.9384615,0.5076923,0.83192205,0.48694903,0.7405325,0.79435873,13.2,12.8,2.4,36.6,0.5129879474639892,0.7624691486358642,0.7521018,0.93818027,0.49375,0.83027047,0.47627097,0.7524687,0.8004819,15.8,16.2,3.0,45.8
5,0.01,0.0,0.0001,506,0.5462864935398102,0.7230769395828247,0.7163888,0.94871795,0.38461536,0.80962104,0.3750364,0.6727811,0.74905825,10.0,16.0,2.0,37.0,0.5424842953681945,0.7279629588127137,0.7208732,0.95450675,0.38125,0.81408596,0.38348207,0.697631,0.7601619,12.2,19.8,2.2,46.6
6,0.0001,0.0,0.0,506,0.6014961838722229,0.7015384793281555,0.68398726,0.96923083,0.3,0.798739,0.33489197,0.65197235,0.72628427,7.8,18.2,1.2,37.8,0.5817246735095978,0.712592601776123,0.7027502,0.9632653,0.33125,0.8068217,0.34900832,0.69131595,0.7603427,10.6,21.4,1.8,47.0
7,0.01,0.0,0.0001,506,0.5631146013736725,0.7046154022216797,0.70227927,0.9333334,0.36153847,0.7952293,0.33340305,0.7071006,0.75697744,9.4,16.6,2.6,36.4,0.5517037153244019,0.7249382853507995,0.7185009,0.9510204,0.38125,0.8121666,0.3725296,0.67942977,0.75606245,12.2,19.8,2.4,46.4
8,0.001,0.0,0.0,506,0.6245262622833252,0.673846173286438,0.6669388,0.9692308,0.23076923,0.78506494,0.24908659,0.5901381,0.68540716,6.0,20.0,1.2,37.8,0.5930340826511383,0.6734876513481141,0.66569024,0.97091836,0.21875,0.785326,0.24285679,0.6531662,0.7382425,7.0,25.0,1.4,47.4
9,0.01,0.0,0.0001,506,0.4876995921134949,0.781538474559784,0.7755801,0.9333334,0.5538462,0.84167004,0.5194639,0.8071992,0.8437988,14.4,11.6,2.6,36.4,0.5219969332218171,0.7471605062484741,0.7462411,0.9183674,0.4875,0.8175678,0.44488487,0.7538066,0.800832,15.6,16.4,4.0,44.8
