config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.2,0.0,506,0.3057904839515686,0.8861538529396057,0.850247,0.9846153,0.73846155,0.91223735,0.77057606,0.9137081,0.91049784,19.2,6.8,0.6,38.4,0.34705644845962524,0.8786419868469239,0.86121225,0.95493203,0.7625,0.90498865,0.7484177,0.8773252,0.87738293,24.4,7.6,2.2,46.6
1,0.001,0.2,0.0,506,0.35288832783699037,0.8707692384719848,0.84820414,0.95897436,0.7384616,0.89938366,0.73444456,0.8696253,0.85979956,19.2,6.8,1.6,37.4,0.3640539705753326,0.8836419820785523,0.85179806,0.97950685,0.7375,0.9105956,0.7640217,0.8645501,0.86160344,23.6,8.4,1.0,47.8
2,0.01,0.0,0.0,506,0.3837661504745483,0.8676923155784607,0.8429419,0.95897436,0.7307693,0.89692104,0.72724235,0.849507,0.8382958,19.0,7.0,1.6,37.4,0.3767695724964142,0.8738580346107483,0.8472252,0.9671768,0.73125,0.90290785,0.7393619,0.8639628,0.8584301,23.4,8.6,1.6,47.2
3,0.01,0.0,0.0,506,0.2890288710594177,0.8984615445137024,0.8625,0.9897436,0.7615385,0.92147905,0.7958043,0.91489154,0.92329186,19.8,6.2,0.4,38.6,0.32536365985870364,0.8787654280662537,0.86318,0.9508503,0.76875,0.9047464,0.74609715,0.88208705,0.8814354,24.6,7.4,2.4,46.4
4,0.01,0.2,0.0,506,0.33774181008338927,0.8800000071525573,0.8518505,0.9743589,0.73846155,0.9080035,0.7553279,0.8639053,0.86243665,19.2,6.8,1.0,38.0,0.3735073506832123,0.8663888931274414,0.84525996,0.954847,0.73125,0.8963782,0.72210836,0.87780875,0.88550854,23.4,8.6,2.2,46.6
5,0.01,0.2,0.0,506,0.35697211027145387,0.8584615468978882,0.8314541,0.95897436,0.7076923,0.8904499,0.70872355,0.8662723,0.8758873,18.4,7.6,1.6,37.4,0.3732577860355377,0.866327166557312,0.84941876,0.95059526,0.7375,0.8957432,0.725913,0.8748579,0.8776067,23.6,8.4,2.4,46.4
6,0.01,0.2,0.0,506,0.3565323770046234,0.8646153926849365,0.8334522,0.9692308,0.70769227,0.8958761,0.72362036,0.86114395,0.8629999,18.4,7.6,1.2,37.8,0.377637642621994,0.8761419773101806,0.85379475,0.9630102,0.74375,0.904179,0.7455208,0.8694515,0.8680746,23.8,8.2,1.8,47.0
7,0.01,0.2,0.0,506,0.3362753659486771,0.8769230842590332,0.84600544,0.9743589,0.7307693,0.90514725,0.7496131,0.8832347,0.8888296,19.0,7.0,1.0,38.0,0.32124389708042145,0.8787345647811889,0.8598283,0.95493203,0.7625,0.90484124,0.7469585,0.89537364,0.89788854,24.4,7.6,2.2,46.6
8,0.01,0.2,0.0,506,0.375222846865654,0.8400000095367431,0.83021677,0.9230769,0.7153846,0.87394494,0.664229,0.8682445,0.8718769,18.6,7.4,3.0,36.0,0.3874536991119385,0.8812345623970032,0.8603813,0.96318036,0.75625,0.908049,0.75455624,0.87473565,0.8767227,24.2,7.8,1.8,47.0
9,0.01,0.0,0.0001,506,0.31945104002952573,0.892307698726654,0.8708094,0.96410257,0.7846154,0.91501397,0.7767418,0.89339256,0.88076323,20.4,5.6,1.4,37.6,0.36719133853912356,0.8614197611808777,0.8419523,0.95093536,0.725,0.89264554,0.71132535,0.8622037,0.84671,23.2,8.8,2.4,46.4
