config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.01,506,0.3145681768655777,0.8830769300460816,0.84957063,0.97948724,0.7384615,0.90966034,0.7628421,0.89418143,0.90441436,19.2,6.8,0.8,38.2,0.33029565811157224,0.8786728501319885,0.8556776,0.96318024,0.75,0.9055311,0.7508293,0.8891848,0.8990036,24.0,8.0,1.8,47.0
1,0.0001,0.4,0.0001,506,0.34626583755016327,0.8861538529396057,0.85430545,0.9794871,0.74615383,0.91216147,0.7686223,0.8617357,0.8541626,19.4,6.6,0.8,38.2,0.3508890450000763,0.8762345790863038,0.85146964,0.9672619,0.7375,0.90432537,0.74851835,0.8657619,0.86245835,23.6,8.4,1.6,47.2
2,0.001,0.2,0.01,506,0.3651799201965332,0.8584615468978882,0.837988,0.94871795,0.72307694,0.88963336,0.7059263,0.8674556,0.86684,18.8,7.2,2.0,37.0,0.3502201080322266,0.8664197564125061,0.8435731,0.9589286,0.725,0.89701,0.7231023,0.8745283,0.8746346,23.2,8.8,2.0,46.8
3,0.001,0.2,0.001,506,0.30098221004009246,0.892307698726654,0.8614429,0.97948724,0.7615385,0.91630715,0.7812271,0.9042406,0.92152756,19.8,6.2,0.8,38.2,0.32727010846138,0.8862037062644958,0.8616923,0.9672619,0.7625,0.9113735,0.76393545,0.87831897,0.87764394,24.4,7.6,1.6,47.2
4,0.0001,0.2,0.01,506,0.34199712574481966,0.8676923155784607,0.85045135,0.95384616,0.7384616,0.8970987,0.7304777,0.8708086,0.8724004,19.2,6.8,1.8,37.2,0.36706933081150056,0.878734576702118,0.8532939,0.96709186,0.74375,0.9062656,0.7494481,0.85922086,0.85857475,23.8,8.2,1.6,47.2
5,0.0001,0.4,0.0001,506,0.3955111026763916,0.8615384697914124,0.8336609,0.96410257,0.7076923,0.89325505,0.7186343,0.8293885,0.8276499,18.4,7.6,1.4,37.6,0.35848714113235475,0.8836419701576232,0.85550565,0.97517014,0.74375,0.91052544,0.76303834,0.8690809,0.8734109,23.8,8.2,1.2,47.6
6,0.01,0.2,0.001,506,0.35725332498550416,0.8738461613655091,0.83571255,0.98461545,0.7076923,0.9038986,0.7451766,0.8378698,0.82910377,18.4,7.6,0.6,38.4,0.33724328875541687,0.8761728405952454,0.85358256,0.9630953,0.74375,0.90436333,0.7439653,0.8753454,0.8763625,23.8,8.2,1.8,47.0
7,0.01,0.2,0.01,506,0.3365274310112,0.8738461613655091,0.8452636,0.9692308,0.7307693,0.90251017,0.74185646,0.8674556,0.87157285,19.0,7.0,1.2,37.8,0.31837310194969176,0.8911111116409302,0.86238575,0.9754251,0.7625,0.9154126,0.77578765,0.8868915,0.8975142,24.4,7.6,1.2,47.6
8,0.01,0.0,0.01,506,0.37167912125587466,0.855384624004364,0.8371569,0.9435898,0.72307694,0.8868686,0.6990386,0.85660744,0.8679382,18.8,7.2,2.2,36.8,0.36103010177612305,0.8837036967277527,0.858342,0.9713435,0.75,0.91058314,0.7606486,0.8744513,0.8769925,24.0,8.0,1.4,47.4
9,0.0001,0.4,0.01,506,0.30477088689804077,0.8953846216201782,0.8658559,0.97948724,0.7692308,0.91872346,0.7868297,0.8939842,0.8890791,20.0,6.0,0.8,38.2,0.3603209614753723,0.8737962961196899,0.8446347,0.9714286,0.725,0.90316856,0.74088824,0.8565942,0.84502184,23.2,8.8,1.4,47.4
