config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.001,0.0,0.0,0.001,506,0.3827809989452362,0.8615384697914124,0.841342,0.94871795,0.7307692,0.8916661,0.71206254,0.86656797,0.85710365,19.0,7.0,2.0,37.0,0.39739192128181455,0.853827178478241,0.85494506,0.91377556,0.7625,0.8831334,0.6921026,0.86545485,0.85804033,24.4,7.6,4.2,44.6
1,0.01,0.4,0.0,0.0001,506,0.4953337609767914,0.7661538600921631,0.75618804,0.95384616,0.4846154,0.83698064,0.4856999,0.7583827,0.8091714,12.6,13.4,1.8,37.2,0.5278216361999511,0.7520987749099731,0.75326276,0.94685376,0.45625,0.8293339,0.43211666,0.743863,0.7849574,14.6,17.4,2.6,46.2
2,0.01,0.4,0.0,0.0,506,0.46987701654434205,0.8061538577079773,0.7951023,0.9487179,0.5923077,0.85975647,0.57352453,0.80552274,0.85247505,15.4,10.6,2.0,37.0,0.5213421046733856,0.7669135928153992,0.7629329,0.92653066,0.525,0.8319023,0.48356572,0.7335366,0.77506447,16.8,15.2,3.6,45.2
3,0.01,0.4,0.0,0.0001,506,0.38013449907302854,0.8646153926849365,0.84264773,0.95384616,0.7307693,0.8945732,0.7188348,0.87978303,0.878641,19.0,7.0,1.8,37.2,0.4265585243701935,0.8590123414993286,0.840078,0.94685376,0.725,0.8902052,0.7053684,0.84697855,0.8553603,23.2,8.8,2.6,46.2
4,0.01,0.0,0.0,0.0,506,0.39876787066459657,0.8307692408561707,0.8219883,0.9230769,0.69230765,0.8681976,0.64733887,0.86193293,0.87428653,18.0,8.0,3.0,36.0,0.4325162827968597,0.8514814972877502,0.84895533,0.9218537,0.74375,0.88266313,0.6890046,0.8554475,0.85887414,23.8,8.2,3.8,45.0
5,0.01,0.4,0.0,0.0,506,0.4462485671043396,0.8430769324302674,0.82575226,0.9384616,0.7,0.8772906,0.6780178,0.8311637,0.8343568,18.2,7.8,2.4,36.6,0.43671321868896484,0.8416666746139526,0.8256971,0.9384354,0.69375,0.8777679,0.6691319,0.8620097,0.87361324,22.2,9.8,3.0,45.8
6,0.01,0.4,0.0,0.0,506,0.4014085948467255,0.8338461637496948,0.8164274,0.9333334,0.6846153,0.8706932,0.65372205,0.87534523,0.8881835,17.8,8.2,2.6,36.4,0.432868492603302,0.8464506268501282,0.8337824,0.9343537,0.7125,0.8805833,0.67826307,0.85067225,0.8724276,22.8,9.2,3.2,45.6
7,0.01,0.4,0.0,0.0,506,0.4598611414432526,0.8030769348144531,0.7981597,0.9384615,0.6,0.85680723,0.5651368,0.8071006,0.8283159,15.6,10.4,2.4,36.6,0.45663559436798096,0.7990123510360718,0.78845555,0.9469388,0.575,0.8549935,0.5576432,0.76067173,0.79698133,18.4,13.6,2.6,46.2
8,0.01,0.4,0.0,0.0,506,0.47312169671058657,0.8061538577079773,0.7904457,0.95897424,0.5769231,0.86157835,0.5733009,0.7759369,0.7822102,15.0,11.0,1.6,37.4,0.496965217590332,0.7922839403152466,0.77591944,0.95493203,0.54375,0.85187685,0.54109645,0.7967966,0.82503235,17.4,14.6,2.2,46.6
9,0.001,0.0,0.0,0.001,506,0.3804917991161346,0.8738461613655091,0.8568199,0.94871795,0.7615384,0.9000912,0.7384328,0.89122283,0.9036953,19.8,6.2,2.0,37.0,0.4365732789039612,0.8318209767341613,0.8226221,0.92653066,0.6875,0.8696721,0.65030956,0.84297544,0.8438724,22.0,10.0,3.6,45.2
