config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.001,0.0,0.0,0.001,506,0.4386904060840607,0.8170987725257873,0.8069814,0.95493203,0.60625,0.86936295,0.5911988,0.7981664,0.8149414,19.4,12.6,2.2,46.6,0.46150760650634765,0.7980392217636109,0.7794517,0.96129024,0.545,0.85696554,0.55042696,0.7883064,0.83288705,21.8,18.2,2.4,59.6
1,0.01,0.4,0.0,0.0001,506,0.5153608918190002,0.7545679211616516,0.7481984,0.93469393,0.48125,0.8263906,0.45247516,0.74730283,0.78364646,15.4,16.6,3.2,45.6,0.5067615509033203,0.7745097994804382,0.77331626,0.9225807,0.54499996,0.8365513,0.49563995,0.77048385,0.7967474,21.8,18.2,4.8,57.2
2,0.01,0.4,0.0,0.0,506,0.5392407536506653,0.7279938220977783,0.72183925,0.9712585,0.35625,0.8195108,0.39617962,0.748973,0.7909497,11.4,20.6,1.4,47.4,0.5293501079082489,0.7176470518112182,0.7120186,0.96129024,0.34,0.8121618,0.34150538,0.7232662,0.7798454,13.6,26.4,2.4,59.6
3,0.01,0.4,0.0,0.0001,506,0.46548134088516235,0.8095370411872864,0.79890764,0.9507653,0.59375,0.8631841,0.57565457,0.80777663,0.8238099,19.0,13.0,2.4,46.4,0.522063022851944,0.7666666746139527,0.75894773,0.932258,0.51000005,0.8325938,0.47996044,0.7825807,0.81526583,20.4,19.6,4.2,57.8
4,0.01,0.0,0.0,0.0,506,0.5188381254673005,0.7720061898231506,0.7564737,0.9507653,0.5,0.83844936,0.5178356,0.76609933,0.7870002,16.0,16.0,2.4,46.4,0.5393607795238495,0.7215686440467834,0.75387204,0.8451613,0.53000003,0.79183817,0.3778153,0.7447178,0.80570143,21.2,18.8,9.6,52.4
5,0.01,0.4,0.0,0.0,506,0.508433336019516,0.7595061898231507,0.7446914,0.97551024,0.43125,0.8379005,0.44952488,0.7227559,0.79190165,13.8,18.2,1.2,47.6,0.510244733095169,0.7666666746139527,0.75828844,0.96774197,0.455,0.84256375,0.45665973,0.66673386,0.72938806,18.2,21.8,2.0,60.0
6,0.01,0.4,0.0,0.0,506,0.48219411373138427,0.7750617265701294,0.75829947,0.97959185,0.4625,0.8487236,0.47316098,0.77771044,0.82153046,14.8,17.2,1.0,47.8,0.524054080247879,0.7588235259056091,0.75211656,0.95483863,0.455,0.8347942,0.4459962,0.70725805,0.74812,18.2,21.8,2.8,59.2
7,0.01,0.4,0.0,0.0,506,0.4216158866882324,0.8113580346107483,0.8045843,0.9469388,0.60625,0.86393195,0.5821368,0.81740665,0.8545643,19.4,12.6,2.6,46.2,0.604979419708252,0.7529411792755127,0.75329405,0.9129032,0.505,0.8209287,0.44883242,0.6911693,0.71905965,20.2,19.8,5.4,56.6
8,0.01,0.4,0.0,0.0,506,0.4074153006076813,0.8565123558044434,0.8402003,0.94268715,0.725,0.8882694,0.6994661,0.8564254,0.8578347,23.2,8.8,2.8,46.0,0.4453421413898468,0.8431372523307801,0.81943053,0.95161283,0.675,0.880572,0.6715938,0.8460081,0.8515769,27.0,13.0,3.0,59.0
9,0.001,0.0,0.0,0.001,506,0.4988640308380127,0.7527160525321961,0.7458632,0.9589286,0.4375,0.8314781,0.4312722,0.7395595,0.79735744,14.0,18.0,2.0,46.8,0.47406739592552183,0.7764705896377564,0.77350104,0.96451616,0.48499998,0.8492829,0.4770077,0.7702822,0.8022478,19.4,20.6,2.2,59.8
