config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.4,0.0,0.1,506,0.37092061042785646,0.8738461613655091,0.85089475,0.95897436,0.74615383,0.9013938,0.73936194,0.8675543,0.8636694,19.4,6.6,1.6,37.4,0.36445302963256837,0.8835802555084229,0.861553,0.9630953,0.7625,0.9090783,0.75940454,0.870945,0.87224257,24.4,7.6,1.8,47.0
1,0.01,0.4,0.2,0.1,506,0.3746560990810394,0.8769230842590332,0.8525303,0.96410257,0.7461539,0.90428543,0.7470062,0.8729783,0.8757076,19.4,6.6,1.4,37.6,0.3836123526096344,0.8762345790863038,0.85371846,0.96318024,0.74375,0.90390253,0.7473261,0.86006194,0.86172426,23.8,8.2,1.8,47.0
2,0.01,0.2,0.4,0.001,506,0.38071579337120054,0.8615384697914124,0.83866966,0.95384616,0.72307694,0.89207697,0.7146037,0.8556212,0.85044193,18.8,7.2,1.8,37.2,0.36888955235481263,0.8664506196975708,0.8455391,0.95493203,0.73125,0.89665544,0.7212543,0.8652277,0.8629321,23.4,8.6,2.2,46.6
3,0.01,0.2,0.2,0.1,506,0.3643069684505463,0.8984615445137024,0.8625,0.9897436,0.7615384,0.92147905,0.7958043,0.85788953,0.8488771,19.8,6.2,0.4,38.6,0.3646608769893646,0.8911110997200012,0.8652997,0.9712585,0.76875,0.91513556,0.77494574,0.8741444,0.8787257,24.6,7.4,1.4,47.4
4,0.01,0.4,0.2,0.001,506,0.36091735363006594,0.8676923155784607,0.84965914,0.95384616,0.73846155,0.8973583,0.727337,0.84852064,0.8468353,19.2,6.8,1.8,37.2,0.38388642966747283,0.8712962985038757,0.85147893,0.95476186,0.74375,0.89963543,0.7332964,0.8612245,0.85999984,23.8,8.2,2.2,46.6
5,0.01,0.0,0.0,0.1,506,0.40073776841163633,0.8615384697914124,0.8336609,0.96410257,0.7076923,0.89325505,0.71863425,0.846351,0.8545858,18.4,7.6,1.4,37.6,0.38622347712516786,0.8787037014961243,0.85444987,0.96700686,0.74375,0.9063921,0.7507898,0.8700587,0.8803805,23.8,8.2,1.6,47.2
6,0.01,0.2,0.0,0.01,506,0.3619462072849274,0.8738461613655091,0.8382657,0.97948724,0.71538466,0.9032342,0.7441355,0.8416174,0.8170036,18.6,7.4,0.8,38.2,0.3668878972530365,0.8711419820785522,0.85427284,0.95059526,0.75,0.8993684,0.73163164,0.8653406,0.8631662,24.0,8.0,2.4,46.4
7,0.01,0.4,0.2,0.001,506,0.35690338611602784,0.8646153926849365,0.8434695,0.95384616,0.7307693,0.89464676,0.7200618,0.8672584,0.8598794,19.0,7.0,1.8,37.2,0.33252562284469606,0.8836419820785523,0.8637253,0.9589286,0.76875,0.90870476,0.75787365,0.8832245,0.87698144,24.6,7.4,2.0,46.8
8,0.01,0.4,0.2,0.001,506,0.3946405053138733,0.8584615468978882,0.83820045,0.94871795,0.72307694,0.8896095,0.706388,0.84358966,0.8496712,18.8,7.2,2.0,37.0,0.3593449890613556,0.8861728429794311,0.85842323,0.9754251,0.75,0.9125999,0.76628727,0.87074167,0.8678006,24.0,8.0,1.2,47.6
9,0.01,0.4,0.0,0.001,506,0.3054234206676483,0.8892307758331299,0.86455715,0.96923083,0.7692307,0.9133688,0.7728971,0.90187377,0.89522475,20.0,6.0,1.2,37.8,0.36851980090141295,0.8713271617889404,0.84635127,0.9632653,0.73125,0.9004947,0.734934,0.8522228,0.83907044,23.4,8.6,1.8,47.0
