config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.01,0.4,0.0,0.1,506,0.3693335592746735,0.8838580131530762,0.8628575,0.9632653,0.7625,0.9099614,0.75788105,0.866199,0.86197746,24.4,7.6,1.8,47.0,0.4049383640289307,0.8627451062202454,0.8332819,0.96774185,0.7,0.895424,0.71619505,0.83725816,0.8407615,28.0,12.0,2.0,60.0
1,0.01,0.4,0.2,0.1,506,0.3786720812320709,0.8787345647811889,0.8532386,0.9672619,0.74375,0.90644205,0.7483931,0.8659625,0.86858785,23.8,8.2,1.6,47.2,0.3553276062011719,0.8980392098426819,0.8706832,0.9774194,0.775,0.9209577,0.78915185,0.85524195,0.8430395,31.0,9.0,1.4,60.6
2,0.01,0.2,0.4,0.001,506,0.35470527708530425,0.8712345957756042,0.84408826,0.9671769,0.725,0.90113926,0.73391306,0.8597218,0.8486773,23.2,8.8,1.6,47.2,0.294542533159256,0.9215686321258545,0.88571435,1.0,0.8,0.9393939,0.84176683,0.8797984,0.8721838,32.0,8.0,0.0,62.0
3,0.01,0.2,0.2,0.1,506,0.3552276372909546,0.8960185170173645,0.8670934,0.97933674,0.76875,0.9192928,0.7884089,0.8672048,0.87652016,24.6,7.4,1.0,47.8,0.43348268866539,0.8156862616539001,0.8121325,0.9064516,0.675,0.8566967,0.6078376,0.84588706,0.86806595,27.0,13.0,5.8,56.2
4,0.01,0.4,0.2,0.001,506,0.3434620529413223,0.8763888835906982,0.8495964,0.96734697,0.7375,0.90447587,0.744656,0.86631453,0.86907595,23.6,8.4,1.6,47.2,0.3749042093753815,0.8686274528503418,0.8648456,0.9290322,0.775,0.89575845,0.72227275,0.8597983,0.84447175,31.0,9.0,4.4,57.6
5,0.01,0.0,0.0,0.1,506,0.3817832350730896,0.8812345623970032,0.85341704,0.9713435,0.74375,0.9082306,0.75585425,0.8611062,0.8607564,23.8,8.2,1.4,47.4,0.3947128415107727,0.8686274409294128,0.8648575,0.9290322,0.775,0.89578485,0.72214466,0.8614114,0.8584976,31.0,9.0,4.4,57.6
6,0.01,0.2,0.0,0.01,506,0.3569532871246338,0.8812345623970032,0.8528802,0.9714286,0.74375,0.9081971,0.755103,0.8497794,0.8340824,23.8,8.2,1.4,47.4,0.35225036144256594,0.8725490093231201,0.85498667,0.95161295,0.75,0.90058345,0.73322594,0.87104833,0.88586867,30.0,10.0,3.0,59.0
7,0.01,0.4,0.2,0.001,506,0.3138705015182495,0.8885802507400513,0.8627294,0.9714286,0.7625,0.9134159,0.7712502,0.8809458,0.88543475,24.4,7.6,1.4,47.4,0.4686428129673004,0.8254902005195618,0.81480885,0.9225806,0.675,0.8653452,0.6299127,0.82915324,0.8479161,27.0,13.0,4.8,57.2
8,0.01,0.4,0.2,0.001,506,0.3305524468421936,0.8812037110328674,0.85321695,0.9713435,0.74375,0.9082483,0.755237,0.8811623,0.8816242,23.8,8.2,1.4,47.4,0.3639662802219391,0.8725490093231201,0.8550603,0.95161283,0.75,0.90073776,0.7323656,0.8514112,0.8406544,30.0,10.0,3.0,59.0
9,0.01,0.4,0.0,0.001,506,0.3526244044303894,0.8762345671653747,0.8453749,0.9753402,0.725,0.9053346,0.74641573,0.8480283,0.8421289,23.2,8.8,1.2,47.6,0.2758465349674225,0.9254901766777038,0.8930849,0.9967742,0.81500006,0.9420773,0.8485609,0.89947575,0.8887622,32.6,7.4,0.2,61.8
