config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.0,0.0,506,0.4411945164203644,0.8400000095367431,0.82362735,0.9333333,0.7,0.8749054,0.66593117,0.8371795,0.8439859,18.2,7.8,2.6,36.4,0.4404629349708557,0.8389197587966919,0.8293437,0.9261054,0.70625,0.87459934,0.66051203,0.85335886,0.8586315,22.6,9.4,3.6,45.2
1,0.001,0.2,0.0,506,0.4925359427928925,0.7907692432403565,0.77507246,0.95384616,0.54615384,0.85016316,0.5432321,0.787574,0.8260927,14.2,11.8,1.8,37.2,0.5202247202396393,0.7748456716537475,0.7456404,0.97950685,0.4625,0.84359664,0.5148327,0.74877363,0.7701755,14.8,17.2,1.0,47.8
2,0.01,0.0,0.0,506,0.4974114716053009,0.781538474559784,0.769187,0.9435898,0.5384615,0.8426601,0.52113646,0.7800789,0.8160946,14.0,12.0,2.2,36.8,0.49171596169471743,0.794753086566925,0.7851094,0.94659865,0.5625,0.8531213,0.5441475,0.7800741,0.8075584,18.0,14.0,2.6,46.2
3,0.001,0.0,0.0,506,0.450529009103775,0.7969230890274048,0.7868307,0.9435898,0.5769231,0.8530089,0.55248773,0.7835306,0.823129,15.0,11.0,2.2,36.8,0.47208290100097655,0.7996913671493531,0.7918941,0.94268703,0.58125,0.855513,0.5545632,0.79150456,0.82231236,18.6,13.4,2.8,46.0
4,0.01,0.0,0.0001,506,0.5068485677242279,0.7846153974533081,0.7641239,0.95384616,0.5307692,0.844995,0.5526815,0.7911242,0.8200905,13.8,12.2,1.8,37.2,0.5131988227367401,0.7723456740379333,0.7585234,0.9382653,0.51875,0.8355834,0.5051959,0.81670654,0.840696,16.6,15.4,3.0,45.8
5,0.01,0.2,0.0,506,0.5098397254943847,0.7753846287727356,0.7654266,0.9230769,0.5538462,0.8338092,0.5237483,0.77692306,0.80211985,14.4,11.6,3.0,36.0,0.4955713748931885,0.7798765540122986,0.7640238,0.9343538,0.54375,0.8387658,0.53294986,0.8230589,0.8398479,17.4,14.6,3.2,45.6
6,0.001,0.2,0.0,506,0.5132544934749603,0.7753846287727356,0.7469821,0.97435904,0.47692308,0.8426933,0.5144888,0.76213026,0.7832994,12.4,13.6,1.0,38.0,0.4951758742332458,0.7841975331306458,0.7640711,0.9632653,0.5125,0.8480409,0.5267075,0.8040444,0.8304532,16.4,15.6,1.8,47.0
7,0.01,0.0,0.0,506,0.4362682342529297,0.8400000095367431,0.82831204,0.92820513,0.7076923,0.8748329,0.6653181,0.83214986,0.8200301,18.4,7.6,2.8,36.2,0.4159421980381012,0.846574068069458,0.83269215,0.9345239,0.7125,0.8803851,0.67815137,0.8618994,0.86810243,22.8,9.2,3.2,45.6
8,0.01,0.0,0.0001,506,0.5065161645412445,0.7753846287727356,0.76150286,0.9435898,0.5230769,0.8385979,0.50727576,0.7745563,0.78688896,13.6,12.4,2.2,36.8,0.5106389939785003,0.7699074029922486,0.75416976,0.94659865,0.5,0.835894,0.4926026,0.7667743,0.8095108,16.0,16.0,2.6,46.2
9,0.01,0.0,0.0,506,0.3679741442203522,0.8615384697914124,0.84425193,0.9435898,0.73846155,0.89095193,0.71202433,0.8937869,0.8900835,19.2,6.8,2.2,36.8,0.43639990091323855,0.8292592763900757,0.8237484,0.91420066,0.7,0.8658314,0.6421372,0.84603655,0.8472166,22.4,9.6,4.2,44.6
