config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.01,0.2,0.0001,506,0.32597783505916594,0.8830769300460816,0.84950703,0.97948724,0.7384615,0.90953386,0.7636016,0.88076925,0.8967929,19.2,6.8,0.8,38.2,0.33680180311203,0.8761728525161743,0.854974,0.95901364,0.75,0.90354365,0.743575,0.8731186,0.8715752,24.0,8.0,2.0,46.8
1,0.01,0.0,0.0001,506,0.3331637650728226,0.8830769300460816,0.8536291,0.9743589,0.7461539,0.9095844,0.7608884,0.8798817,0.8834795,19.4,6.6,1.0,38.0,0.35616430044174197,0.878734576702118,0.85192984,0.9714286,0.7375,0.90638113,0.7548817,0.8608591,0.85792446,23.6,8.4,1.4,47.4
2,0.001,0.0,0.01,506,0.37389646768569945,0.8646153926849365,0.8395947,0.95897436,0.72307694,0.8947582,0.722122,0.8605522,0.8680397,18.8,7.2,1.6,37.4,0.3585502803325653,0.868950605392456,0.84574413,0.95909864,0.73125,0.8987277,0.72692657,0.87092507,0.8727797,23.4,8.6,2.0,46.8
3,0.0001,0.0,0.01,506,0.3224189043045044,0.8984615445137024,0.86247176,0.9897436,0.7615384,0.921416,0.79617965,0.8701183,0.85491264,19.8,6.2,0.4,38.6,0.33270915150642394,0.8936111092567444,0.8657352,0.9754251,0.76875,0.9172742,0.78063977,0.86904496,0.87552655,24.6,7.4,1.2,47.6
4,0.01,0.0,0.0001,506,0.3518537938594818,0.8646153926849365,0.8493377,0.94871795,0.7384616,0.8944933,0.7218625,0.860355,0.8641378,19.2,6.8,2.0,37.0,0.36358686685562136,0.8787345647811889,0.85327226,0.96709186,0.74375,0.906226,0.7497155,0.86007917,0.86247844,23.8,8.2,1.6,47.2
5,0.01,0.4,0.01,506,0.3808754444122314,0.8584615468978882,0.8327629,0.95897436,0.70769227,0.8907015,0.7098608,0.83826435,0.847439,18.4,7.6,1.6,37.4,0.36287572979927063,0.8811728358268738,0.8549212,0.9710884,0.74375,0.9084832,0.7565601,0.86635435,0.8725672,23.8,8.2,1.4,47.4
6,0.01,0.2,0.0001,506,0.35478289127349855,0.8738461613655091,0.8382656,0.97948724,0.7153846,0.9032342,0.74413544,0.84003943,0.8158429,18.6,7.4,0.8,38.2,0.3537401556968689,0.8761419773101806,0.8537466,0.9630102,0.74375,0.9041823,0.7453886,0.86648864,0.860355,23.8,8.2,1.8,47.0
7,0.01,0.2,0.0001,506,0.3530986249446869,0.8738461613655091,0.8458708,0.9692308,0.7307693,0.9025365,0.743318,0.85996056,0.85657823,19.0,7.0,1.2,37.8,0.3233832120895386,0.8911111116409302,0.8625662,0.9754251,0.7625,0.91548336,0.7757002,0.8758131,0.867846,24.4,7.6,1.2,47.6
8,0.01,0.4,0.01,506,0.3807997405529022,0.855384624004364,0.8375945,0.9435898,0.72307694,0.88702786,0.6988811,0.84733725,0.8501917,18.8,7.2,2.2,36.8,0.35401710867881775,0.8861728429794311,0.858284,0.9754251,0.75,0.91265565,0.7654778,0.87108976,0.8661839,24.0,8.0,1.2,47.6
9,0.001,0.2,0.001,506,0.3027916967868805,0.8953846216201782,0.8658559,0.97948724,0.7692308,0.91872346,0.7868297,0.8949704,0.8918621,20.0,6.0,0.8,38.2,0.3571353018283844,0.8737654328346253,0.84480536,0.9713435,0.725,0.9031873,0.7408171,0.85154784,0.8363458,23.2,8.8,1.4,47.4
