config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_outer_es_loss,average_outer_es_accuracy,average_outer_es_precision,average_outer_es_recall,average_outer_es_specificity,average_outer_es_f1_score,average_outer_es_mcc,average_outer_es_auroc,average_outer_es_auprc,average_outer_es_true_positives,average_outer_es_false_negatives,average_outer_es_false_positives,average_outer_es_true_negatives,average_test_loss,average_test_accuracy,average_test_precision,average_test_recall,average_test_specificity,average_test_f1_score,average_test_mcc,average_test_auroc,average_test_auprc,average_test_true_positives,average_test_false_negatives,average_test_false_positives,average_test_true_negatives
0,0.0001,0.4,0.001,506,0.3158669829368591,0.8912654399871827,0.8624902,0.97959185,0.75625,0.9166567,0.777698,0.87859267,0.8748785,24.2,7.8,1.0,47.8,0.3739877760410309,0.8666666626930237,0.83422136,0.9741936,0.7,0.8987463,0.7257364,0.8162096,0.8114983,28.0,12.0,1.6,60.4
1,0.001,0.0,0.01,506,0.3303156077861786,0.8787654280662537,0.84781533,0.97551024,0.73125,0.9070371,0.7506403,0.87573874,0.8806642,23.4,8.6,1.2,47.6,0.31608211398124697,0.9019607901573181,0.8714286,0.983871,0.775,0.9242424,0.7984905,0.85854834,0.8329898,31.0,9.0,1.0,61.0
2,0.001,0.0,0.01,506,0.3368225872516632,0.8836111307144165,0.8471101,0.98767006,0.725,0.91155005,0.7652396,0.85759056,0.85763776,23.2,8.8,0.6,48.2,0.29720478057861327,0.9196078419685364,0.885383,0.9967742,0.8,0.93777466,0.8370269,0.86245966,0.8402554,32.0,8.0,0.2,61.8
3,0.001,0.4,0.001,506,0.29159689247608184,0.9009876489639282,0.8656079,0.9916667,0.7625,0.9239209,0.80095625,0.88650227,0.8900763,24.4,7.6,0.4,48.4,0.45440526604652404,0.8313725471496582,0.8163637,0.932258,0.675,0.8704462,0.64364827,0.7976613,0.7836869,27.0,13.0,4.2,57.8
4,1e-05,0.2,0.01,506,0.34480601251125337,0.8813271760940552,0.85099125,0.97551024,0.7375,0.9087466,0.75667775,0.86517984,0.861187,23.6,8.4,1.2,47.6,0.35190874338150024,0.8666666746139526,0.86443853,0.9258064,0.775,0.8940385,0.7180206,0.8668145,0.8471435,31.0,9.0,4.6,57.4
5,0.001,0.0,0.001,506,0.331838858127594,0.8837036967277527,0.85385245,0.9754251,0.74375,0.9103662,0.76128376,0.86487424,0.8554808,23.8,8.2,1.2,47.6,0.33398197889328,0.8803921580314636,0.8609494,0.95806444,0.76000005,0.90683794,0.74976814,0.87770164,0.871593,30.4,9.6,2.6,59.4
6,0.0001,0.2,0.01,506,0.33591209053993226,0.8787654280662537,0.8519312,0.96734697,0.74375,0.9058943,0.7497801,0.8491152,0.8395772,23.8,8.2,1.6,47.2,0.32485337257385255,0.8941176414489747,0.85953504,0.9870968,0.75,0.91888475,0.78409654,0.85483867,0.835663,30.0,10.0,0.8,61.2
7,1e-05,0.2,0.001,506,0.31679489016532897,0.8935185194015502,0.8635527,0.97959185,0.7625,0.9175636,0.7827659,0.8830477,0.8836765,24.4,7.6,1.0,47.8,0.43859999179840087,0.8411764740943909,0.81893575,0.948387,0.675,0.8789137,0.6667455,0.81979835,0.82118785,27.0,13.0,3.2,58.8
8,1e-05,0.4,0.001,506,0.3215781509876251,0.8812037110328674,0.8504392,0.9754251,0.7375,0.90850717,0.75631064,0.88154763,0.8887758,23.6,8.4,1.2,47.6,0.3396695852279663,0.8882352828979492,0.85835016,0.9774194,0.75,0.9140123,0.76948357,0.84350806,0.8159542,30.0,10.0,1.4,60.6
9,0.001,0.2,0.001,506,0.32639701962471007,0.8837036967277527,0.84697753,0.9877551,0.725,0.91160333,0.76491463,0.83850974,0.82645893,23.2,8.8,0.6,48.2,0.2540047198534012,0.9235294103622437,0.89055043,0.9967742,0.81000006,0.9406417,0.84480685,0.8997177,0.88789207,32.4,7.6,0.2,61.8
