config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,689,0.31614094972610474,0.8648648858070374,0.852459,0.8965517,0.8301887,0.8739496,0.7295941,0.93233573,0.91260654,44.0,9.0,6.0,52.0,0.33065852522850037,0.8405796885490417,0.8378378,0.8611111,0.8181818,0.84931505,0.6804394,0.9328704,0.93749636,54.0,12.0,10.0,62.0
0,0.1,0.2,0.0,689,0.4520418047904968,0.8558558821678162,0.86206895,0.86206895,0.8490566,0.86206895,0.71112555,0.9456734,0.9526509,45.0,8.0,8.0,50.0,0.4872504472732544,0.8188405632972717,0.81333333,0.8472222,0.7878788,0.829932,0.636913,0.9074074,0.9170472,52.0,14.0,11.0,61.0
0,0.1,0.4,0.0,689,0.6920977234840393,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5442421,0.52122283,0.0,53.0,0.0,58.0,0.6921253204345703,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5317761,0.53287816,0.0,66.0,0.0,72.0
0,0.1,0.6,0.0,689,0.6917932629585266,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.6278464,0.58172953,0.0,53.0,0.0,58.0,0.6920002102851868,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5478746,0.572409,0.0,66.0,0.0,72.0
0,0.1,0.8,0.0,689,0.692132294178009,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922030448913574,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.01,0.0,0.0,689,0.29615676403045654,0.8918918967247009,0.8833333,0.9137931,0.8679245,0.89830506,0.78350383,0.94242024,0.92346257,46.0,7.0,5.0,53.0,0.2917950451374054,0.8840579986572266,0.85897434,0.9305556,0.8333333,0.8933333,0.76974255,0.9431819,0.9293073,55.0,11.0,5.0,67.0
0,0.01,0.2,0.0,689,0.2431706339120865,0.9189189076423645,0.90163934,0.94827586,0.8867925,0.92436975,0.8383474,0.95510745,0.9404179,47.0,6.0,3.0,55.0,0.3042408525943756,0.8623188138008118,0.84415585,0.9027778,0.8181818,0.8724832,0.7251684,0.94086695,0.9406669,54.0,12.0,7.0,65.0
0,0.01,0.4,0.0,689,0.21220743656158447,0.9279279112815857,0.9032258,0.9655172,0.8867925,0.93333334,0.8573447,0.969421,0.9676217,47.0,6.0,2.0,56.0,0.34025511145591736,0.8478260636329651,0.8148148,0.9166667,0.77272725,0.8627451,0.6994002,0.93287027,0.93738127,51.0,15.0,6.0,66.0
0,0.01,0.6,0.0,689,0.27465882897377014,0.9279279112815857,0.9032258,0.9655172,0.8867925,0.93333334,0.8573447,0.94632405,0.9068355,47.0,6.0,2.0,56.0,0.36950787901878357,0.8333333134651184,0.7882353,0.9305556,0.72727275,0.85350317,0.67562133,0.9122475,0.90827847,48.0,18.0,5.0,67.0
0,0.01,0.8,0.0,689,0.3270949423313141,0.8828828930854797,0.8358209,0.9655172,0.7924528,0.896,0.77399874,0.9372153,0.9222377,42.0,11.0,2.0,56.0,0.4391338527202606,0.782608687877655,0.7282609,0.9305556,0.6212121,0.81707317,0.58468455,0.8882575,0.888298,41.0,25.0,5.0,67.0
0,0.001,0.0,0.0,689,0.4147583246231079,0.8558558821678162,0.86206895,0.86206895,0.8490566,0.86206895,0.71112555,0.89882886,0.8426528,45.0,8.0,8.0,50.0,0.5026265978813171,0.7681159377098083,0.7702703,0.7916667,0.74242425,0.7808219,0.53499234,0.83333325,0.816388,49.0,17.0,15.0,57.0
0,0.001,0.2,0.0,689,0.3277992606163025,0.8468468189239502,0.8596491,0.8448276,0.8490566,0.8521739,0.69343317,0.9329864,0.87994945,45.0,8.0,9.0,49.0,0.4309469759464264,0.8115941882133484,0.7948718,0.8611111,0.75757575,0.82666665,0.62342787,0.8762626,0.8547414,50.0,16.0,10.0,62.0
0,0.001,0.4,0.0,689,0.35640424489974976,0.837837815284729,0.8448276,0.8448276,0.8301887,0.8448276,0.6750163,0.92225116,0.86444616,44.0,9.0,9.0,49.0,0.4662002921104431,0.804347813129425,0.7922078,0.8472222,0.75757575,0.8187919,0.60832864,0.85690236,0.841231,50.0,16.0,11.0,61.0
0,0.001,0.6,0.0,689,0.36194536089897156,0.837837815284729,0.8448276,0.8448276,0.8301887,0.8448276,0.6750163,0.91867274,0.86097705,44.0,9.0,9.0,49.0,0.4455980062484741,0.782608687877655,0.7692308,0.8333333,0.72727275,0.8,0.564902,0.8691077,0.85606235,48.0,18.0,12.0,60.0
0,0.001,0.8,0.0,689,0.692112922668457,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.7008784,0.628966,0.0,53.0,0.0,58.0,0.6921799182891846,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.6816077,0.6140653,0.0,66.0,0.0,72.0
