config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,689,0.6921322345733643,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922028064727783,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.1,0.2,0.0,689,0.6921322345733643,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922026872634888,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.1,0.4,0.0,689,0.692132294178009,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922030448913574,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.1,0.6,0.0,689,0.692132294178009,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922025680541992,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.1,0.8,0.0,689,0.692132294178009,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.6922025680541992,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.01,0.0,0.0,689,0.5925089716911316,0.6666666865348816,0.6666667,0.7241379,0.6037736,0.6942149,0.33061132,0.74495775,0.72878134,32.0,21.0,16.0,42.0,0.6465112566947937,0.6304348111152649,0.62650603,0.7222222,0.530303,0.67096776,0.25764555,0.678872,0.655742,35.0,31.0,20.0,52.0
0,0.01,0.2,0.0,689,0.6542671322822571,0.6216216087341309,0.6081081,0.7758621,0.4528302,0.6818182,0.24231857,0.7176317,0.6967975,24.0,29.0,13.0,45.0,0.6697461605072021,0.6231883764266968,0.6086956,0.7777778,0.45454547,0.68292683,0.24618298,0.6588805,0.6285975,30.0,36.0,16.0,56.0
0,0.01,0.4,0.0,689,0.6777287125587463,0.6756756901741028,0.6195652,0.98275864,0.33962265,0.76,0.42751464,0.7121015,0.696883,18.0,35.0,1.0,57.0,0.6834824085235596,0.6159420013427734,0.5855856,0.9027778,0.3030303,0.7103825,0.2591536,0.6502525,0.6228351,20.0,46.0,7.0,65.0
0,0.01,0.6,0.0,689,0.6918593645095825,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.69420946,0.6839853,0.0,53.0,0.0,58.0,0.6920358538627625,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.63846797,0.6187872,0.0,66.0,0.0,72.0
0,0.01,0.8,0.0,689,0.6921220421791077,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.65533507,0.65866846,0.0,53.0,0.0,58.0,0.692197322845459,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.6076389,0.5933657,0.0,66.0,0.0,72.0
0,0.001,0.0,0.0,689,0.6088201403617859,0.6756756901741028,0.7037037,0.6551724,0.6981132,0.6785714,0.35305598,0.73552376,0.71567017,37.0,16.0,20.0,38.0,0.6516839861869812,0.6376811861991882,0.6486486,0.6666667,0.6060606,0.65753424,0.27318758,0.66519356,0.63891834,40.0,26.0,24.0,48.0
0,0.001,0.2,0.0,689,0.6435027122497559,0.6216216087341309,0.6212121,0.70689654,0.5283019,0.66129035,0.23928095,0.70982426,0.69331497,28.0,25.0,17.0,41.0,0.6655073165893555,0.6231883764266968,0.61904764,0.7222222,0.5151515,0.6666667,0.24295975,0.648569,0.6290381,34.0,32.0,20.0,52.0
0,0.001,0.4,0.0,689,0.6547822952270508,0.6216216087341309,0.6142857,0.7413793,0.49056605,0.671875,0.24004719,0.72218615,0.701319,26.0,27.0,15.0,43.0,0.6703259944915771,0.6014492511749268,0.5955056,0.7361111,0.45454547,0.6583851,0.19902009,0.6576178,0.63509405,30.0,36.0,19.0,53.0
0,0.001,0.6,0.0,689,0.6728544235229492,0.6936936974525452,0.6395349,0.94827586,0.41509435,0.7638889,0.43449223,0.72153544,0.7018263,22.0,31.0,3.0,55.0,0.6806332468986511,0.6159420013427734,0.58715594,0.8888889,0.3181818,0.70718235,0.25388944,0.6529882,0.63008946,21.0,45.0,8.0,64.0
0,0.001,0.8,0.0,689,0.6918056011199951,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.66720885,0.6637243,0.0,53.0,0.0,58.0,0.6920143365859985,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.61847645,0.6033057,0.0,66.0,0.0,72.0
0,0.0001,0.0,0.0,689,0.5641169548034668,0.7117117047309875,0.7407407,0.6896552,0.7358491,0.71428573,0.42522764,0.7898504,0.75105983,39.0,14.0,18.0,40.0,0.620588481426239,0.6739130616188049,0.70149255,0.6527778,0.6969697,0.676259,0.3495636,0.71464646,0.68930733,46.0,20.0,25.0,47.0
0,0.0001,0.2,0.0,689,0.6635392904281616,0.6396396160125732,0.63235295,0.7413793,0.5283019,0.6825397,0.27651197,0.7098243,0.6981935,28.0,25.0,15.0,43.0,0.6755028963088989,0.6086956262588501,0.60227275,0.7361111,0.46969697,0.6625,0.21388203,0.6496211,0.6294219,31.0,35.0,19.0,53.0
0,0.0001,0.4,0.0,689,0.6794564127922058,0.6576576828956604,0.60638297,0.98275864,0.3018868,0.75,0.39479145,0.7091737,0.6972561,16.0,37.0,1.0,57.0,0.6845678091049194,0.6159420013427734,0.57983196,0.9583333,0.24242425,0.7225131,0.2910448,0.6492003,0.62884676,16.0,50.0,3.0,69.0
0,0.0001,0.6,0.0,689,0.6874333024024963,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.7101496,0.69824934,0.0,53.0,0.0,58.0,0.6893296241760254,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.6496212,0.62975496,0.0,66.0,0.0,72.0
0,0.0001,0.8,0.0,689,0.691996693611145,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.6673715,0.67227334,0.0,53.0,0.0,58.0,0.6921245455741882,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.6157408,0.6024132,0.0,66.0,0.0,72.0
0,1e-05,0.0,0.0,689,0.6900314688682556,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.6798959,0.6713674,0.0,53.0,0.0,58.0,0.6909629702568054,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.62563133,0.6094748,0.0,66.0,0.0,72.0
