config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.3994198441505432,0.8198198080062866,0.82758623,0.82758623,0.8113208,0.82758623,0.63890696,0.9027325,0.89277315,43.0,10.0,10.0,48.0,0.5159421563148499,0.739130437374115,0.75,0.75,0.72727275,0.75,0.47727272,0.8247054,0.8338175,48.0,18.0,18.0,54.0
0,0.1,0.2,0.0,506,0.18284648656845093,0.9369369149208069,0.9047619,0.98275864,0.8867925,0.94214875,0.87671036,0.9886142,0.9899969,47.0,6.0,1.0,57.0,0.36829718947410583,0.8333333134651184,0.82666665,0.8611111,0.8030303,0.8435374,0.66603625,0.90993273,0.9103073,53.0,13.0,10.0,62.0
0,0.1,0.4,0.0,506,0.2155616283416748,0.9279279112815857,0.9032258,0.9655172,0.8867925,0.93333334,0.8573447,0.9668185,0.96092546,47.0,6.0,2.0,56.0,0.3319952189922333,0.8840579986572266,0.8684211,0.9166667,0.8484849,0.8918919,0.7683924,0.93518513,0.9336774,56.0,10.0,6.0,66.0
0,0.1,0.6,0.0,506,0.3993302285671234,0.8198198080062866,0.8064516,0.86206895,0.7735849,0.8333333,0.639409,0.9255042,0.92992276,41.0,12.0,8.0,50.0,0.4575413167476654,0.7971014380455017,0.75581396,0.9027778,0.6818182,0.8227848,0.60261947,0.86300504,0.83555424,45.0,21.0,7.0,65.0
0,0.1,0.8,0.0,506,0.692132294178009,0.522522509098053,0.5225225,1.0,0.0,0.6863905,0.008559661,0.5,0.5225225,0.0,53.0,0.0,58.0,0.692203164100647,0.52173912525177,0.5217391,1.0,0.0,0.6857143,0.007409237,0.5,0.5217391,0.0,66.0,0.0,72.0
0,0.01,0.0,0.0,506,0.29437512159347534,0.8918918967247009,0.8833333,0.9137931,0.8679245,0.89830506,0.78350383,0.94144446,0.93431395,46.0,7.0,5.0,53.0,0.313154399394989,0.8550724387168884,0.8333333,0.9027778,0.8030303,0.8666667,0.7112167,0.93918353,0.9357631,53.0,13.0,7.0,65.0
0,0.01,0.2,0.0,506,0.2755996286869049,0.9009009003639221,0.8852459,0.9310345,0.8679245,0.90756303,0.80209625,0.9603123,0.9614966,46.0,7.0,4.0,54.0,0.27966436743736267,0.8840579986572266,0.9,0.875,0.8939394,0.8873239,0.768293,0.959596,0.96404445,59.0,7.0,9.0,63.0
0,0.01,0.4,0.0,506,0.2564241290092468,0.8828828930854797,0.8947368,0.87931037,0.8867925,0.8869565,0.7656048,0.9625895,0.9646992,47.0,6.0,7.0,51.0,0.24212107062339783,0.8840579986572266,0.9,0.875,0.8939394,0.8873239,0.768293,0.96233165,0.95952004,59.0,7.0,9.0,63.0
0,0.01,0.6,0.0,506,0.2448093444108963,0.9009009003639221,0.8730159,0.94827586,0.8490566,0.90909094,0.80389714,0.95966166,0.96050227,45.0,8.0,3.0,55.0,0.25201505422592163,0.8768116235733032,0.85714287,0.9166667,0.8333333,0.88590604,0.7543783,0.9570707,0.9547501,55.0,11.0,6.0,66.0
0,0.01,0.8,0.0,506,0.24671536684036255,0.8828828930854797,0.86885244,0.9137931,0.8490566,0.8907563,0.7658452,0.9586858,0.94418645,45.0,8.0,5.0,53.0,0.27178850769996643,0.9057971239089966,0.8933333,0.9305556,0.8787879,0.91156465,0.81165254,0.9488637,0.94296366,58.0,8.0,5.0,67.0
0,0.001,0.0,0.0,506,0.2605431377887726,0.837837815284729,0.8448276,0.8448276,0.8301887,0.8448276,0.6750163,0.9573846,0.96273005,44.0,9.0,9.0,49.0,0.2154797613620758,0.9202898740768433,0.91780823,0.9305556,0.90909094,0.92413795,0.84026563,0.9699074,0.9701007,60.0,6.0,5.0,67.0
0,0.001,0.2,0.0,506,0.2606968581676483,0.837837815284729,0.85714287,0.82758623,0.8490566,0.84210527,0.6759834,0.9583604,0.96390784,45.0,8.0,10.0,48.0,0.22128596901893616,0.9275362491607666,0.9189189,0.9444444,0.90909094,0.9315069,0.85497594,0.9690656,0.9679065,60.0,6.0,4.0,68.0
0,0.001,0.4,0.0,506,0.26609379053115845,0.8648648858070374,0.86440676,0.87931037,0.8490566,0.8717949,0.7290788,0.95966166,0.9642489,45.0,8.0,7.0,51.0,0.2034015655517578,0.9420289993286133,0.9444444,0.9444444,0.93939394,0.9444444,0.88383836,0.9739057,0.9741297,62.0,4.0,4.0,68.0
0,0.001,0.6,0.0,506,0.2597334384918213,0.8738738894462585,0.8666667,0.8965517,0.8490566,0.88135594,0.747312,0.9619389,0.9655181,45.0,8.0,6.0,52.0,0.2217453420162201,0.9202898740768433,0.92957747,0.9166667,0.92424244,0.9230769,0.84046704,0.9692762,0.97005725,61.0,5.0,6.0,66.0
