config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697210669517517,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697210669517517,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697221398353577,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.669722318649292,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697202920913696,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.3076116442680359,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.8852041,0.88312227,24.0,8.0,1.0,48.0,0.3363412320613861,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84697574,0.82566917,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0,506,0.3175491988658905,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8788265,0.90292126,24.0,8.0,0.0,49.0,0.32613444328308105,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8820565,0.88625985,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.31713739037513733,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8711735,0.8994407,24.0,8.0,0.0,49.0,0.31154656410217285,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8913306,0.894055,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0,506,0.30397194623947144,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8373724,0.8432109,24.0,8.0,0.0,49.0,0.29984503984451294,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8977823,0.89071804,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0,506,0.46602264046669006,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.87946427,0.90520114,24.0,8.0,0.0,49.0,0.4449142515659332,0.8725489974021912,0.82666665,1.0,0.675,0.90510947,0.74699396,0.89415324,0.8997667,27.0,13.0,0.0,62.0
0,0.001,0.0,0.0,506,0.31603944301605225,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.87436223,0.8659928,24.0,8.0,0.0,49.0,0.3363560438156128,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84697574,0.8184213,29.0,11.0,0.0,62.0
0,0.001,0.2,0.0,506,0.3197192847728729,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8737245,0.85787225,24.0,8.0,0.0,49.0,0.32938262820243835,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.87963706,0.87782884,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0,506,0.3478039801120758,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8839286,0.88840234,24.0,8.0,0.0,49.0,0.3610996901988983,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8747984,0.8752642,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0,506,0.36704540252685547,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8813776,0.90738803,24.0,8.0,0.0,49.0,0.3631454408168793,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.89576614,0.8988705,29.0,11.0,0.0,62.0
0,0.001,0.8,0.0,506,0.4849386215209961,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.875,0.89662755,24.0,8.0,0.0,49.0,0.47801581025123596,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.89536285,0.9030077,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.318007230758667,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.8813775,0.87412566,24.0,8.0,1.0,48.0,0.33550775051116943,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84092736,0.8280719,29.0,11.0,0.0,62.0
