config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697108149528503,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5080645,0.6141683,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.27043458819389343,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9221939,0.9368459,24.0,8.0,0.0,49.0,0.35063841938972473,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8360887,0.8482395,29.0,11.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697146892547607,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5080645,0.6141683,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.5653046369552612,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.8635204,0.86795515,0.0,32.0,0.0,49.0,0.5713901519775391,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.88084674,0.8800675,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697120070457458,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5080645,0.6141683,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.27623218297958374,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9126275,0.9211753,24.0,8.0,0.0,49.0,0.3484014868736267,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83125,0.83749896,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0,506,0.27172085642814636,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9190051,0.926996,24.0,8.0,0.0,49.0,0.35284096002578735,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83407253,0.84001714,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.27318426966667175,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91581637,0.9221741,24.0,8.0,0.0,49.0,0.3277510702610016,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.827621,0.83613265,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0,506,0.2759682834148407,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91709185,0.92363447,24.0,8.0,0.0,49.0,0.3365497291088104,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82681453,0.8328566,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0,506,0.5333659648895264,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.85331637,0.84144485,0.0,32.0,0.0,49.0,0.5339060425758362,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8715725,0.8493203,0.0,40.0,0.0,62.0
