config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.0001,0.8,0.01,506,0.6716663837432861,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5988521,0.6377962,0.0,32.0,0.0,49.0,0.6707907319068909,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49294353,0.60988843,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.01,506,0.6711854338645935,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6154337,0.6477261,0.0,32.0,0.0,49.0,0.6700949668884277,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5272177,0.63189507,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.01,506,0.6713522672653198,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5982143,0.63684386,0.0,32.0,0.0,49.0,0.6704387068748474,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49133062,0.6095755,0.0,40.0,0.0,62.0
0,1e-05,0.8,0.001,506,0.6712266206741333,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.53061223,0.6669723,0.0,32.0,0.0,49.0,0.6704042553901672,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49576613,0.64294076,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.01,506,0.6712790727615356,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5864158,0.6304866,0.0,32.0,0.0,49.0,0.6703463792800903,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.48004028,0.5909046,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.01,506,0.6712387204170227,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6020408,0.6368661,0.0,32.0,0.0,49.0,0.670280933380127,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.48971772,0.5991725,0.0,40.0,0.0,62.0
0,1e-05,0.2,0.001,506,0.6705425977706909,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6339286,0.68663085,0.0,32.0,0.0,49.0,0.6695959568023682,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5554435,0.67414665,0.0,40.0,0.0,62.0
0,0.001,0.8,0.01,506,0.6715487241744995,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.59183675,0.63799596,0.0,32.0,0.0,49.0,0.6707553267478943,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49616936,0.61261034,0.0,40.0,0.0,62.0
0,0.001,0.6,0.01,506,0.6710339784622192,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5899235,0.6371096,0.0,32.0,0.0,49.0,0.6701542139053345,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49415317,0.6127948,0.0,40.0,0.0,62.0
0,0.001,0.4,0.01,506,0.6709433794021606,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5899235,0.6378169,0.0,32.0,0.0,49.0,0.6700412631034851,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49415323,0.6128545,0.0,40.0,0.0,62.0
0,0.001,0.2,0.01,506,0.670882523059845,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5956633,0.6426742,0.0,32.0,0.0,49.0,0.6699685454368591,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49495965,0.61276776,0.0,40.0,0.0,62.0
