config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,1e-05,0.0,0.001,506,0.4970379173755646,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8577806,0.8645694,24.0,8.0,0.0,49.0,0.5243212580680847,0.8725489974021912,0.8450704,0.9677419,0.725,0.90225565,0.73533845,0.8086693,0.83678675,29.0,11.0,2.0,60.0
0,0.0001,0.8,0.001,506,0.6711632013320923,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6700456142425537,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,1e-05,0.6,0.0001,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697217226028442,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.001,506,0.6710491180419922,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6698912978172302,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.001,506,0.2854222059249878,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.875,0.8596491,24.0,8.0,0.0,49.0,0.3036837875843048,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8624999,0.84931505,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.001,506,0.4744073450565338,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91390306,0.9210814,24.0,8.0,0.0,49.0,0.533827006816864,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8397177,0.83345556,29.0,11.0,1.0,61.0
0,0.0001,0.2,0.001,506,0.6710243821144104,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.328125,0.60493827,0.0,32.0,0.0,49.0,0.6698548793792725,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.25,0.60784316,0.0,40.0,0.0,62.0
0,0.001,0.8,0.001,506,0.6711187958717346,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6699874997138977,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.001,0.6,0.001,506,0.6709993481636047,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6698153614997864,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.001,0.2,0.001,506,0.6709600687026978,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5353954,0.62824386,0.0,32.0,0.0,49.0,0.6697118878364563,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.507258,0.61163825,0.0,40.0,0.0,62.0
