config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697189211845398,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697198748588562,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697221398353577,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697221398353577,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697218418121338,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.3361324965953827,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8246173,0.82134384,24.0,8.0,0.0,49.0,0.34581702947616577,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8546371,0.8514496,29.0,11.0,1.0,61.0
0,0.01,0.2,0.0,506,0.293340802192688,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8616072,0.8576373,24.0,8.0,0.0,49.0,0.3203039765357971,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.85423386,0.8352991,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.3370669484138489,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.84247446,0.8292776,24.0,8.0,0.0,49.0,0.331085741519928,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.86592746,0.88011885,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0,506,0.3312491476535797,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.853954,0.86360174,24.0,8.0,0.0,49.0,0.32353392243385315,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8731855,0.89097583,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0,506,0.5643006563186646,0.8271604776382446,0.84313726,0.877551,0.75,0.86,0.63529634,0.88329077,0.9101894,24.0,8.0,6.0,43.0,0.538418710231781,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8949596,0.9035909,29.0,11.0,1.0,61.0
0,0.001,0.0,0.0,506,0.2982134521007538,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9005102,0.90884775,24.0,8.0,1.0,48.0,0.35137438774108887,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8550403,0.8542647,29.0,11.0,1.0,61.0
0,0.001,0.2,0.0,506,0.28876829147338867,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9145408,0.9255424,24.0,8.0,1.0,48.0,0.3437082767486572,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8368952,0.8156626,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0,506,0.28731873631477356,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9145409,0.9280486,24.0,8.0,1.0,48.0,0.3333089351654053,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83689517,0.81433195,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0,506,0.6696282029151917,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6658163,0.7051666,0.0,32.0,0.0,49.0,0.6686508059501648,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6082661,0.6797896,0.0,40.0,0.0,62.0
0,0.001,0.8,0.0,506,0.6727235913276672,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6632653,0.70440537,0.0,32.0,0.0,49.0,0.6722131371498108,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6002016,0.6742849,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.31202444434165955,0.8765432238578796,0.8545455,0.9591837,0.75,0.90384614,0.74261504,0.90497446,0.89082205,24.0,8.0,2.0,47.0,0.35073035955429077,0.8823529481887817,0.85714287,0.9677419,0.75,0.90909094,0.75521415,0.85947585,0.8634953,30.0,10.0,2.0,60.0
0,0.0001,0.2,0.0,506,0.3056093752384186,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9049745,0.91197485,24.0,8.0,1.0,48.0,0.34398603439331055,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8453629,0.83041096,29.0,11.0,1.0,61.0
0,0.0001,0.4,0.0,506,0.6697883009910583,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6779337,0.722252,0.0,32.0,0.0,49.0,0.6688352227210999,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6110887,0.67663634,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.0,506,0.6707666516304016,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6696428,0.7232887,0.0,32.0,0.0,49.0,0.6700943112373352,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.60705644,0.6766287,0.0,40.0,0.0,62.0
0,0.0001,0.8,0.0,506,0.6792969703674316,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6473214,0.7016897,0.0,32.0,0.0,49.0,0.6790400743484497,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6155242,0.6728239,0.0,40.0,0.0,62.0
0,1e-05,0.0,0.0,506,0.312991738319397,0.8765432238578796,0.8545455,0.9591837,0.75,0.90384614,0.74261504,0.89859694,0.88333535,24.0,8.0,2.0,47.0,0.34469321370124817,0.8921568393707275,0.85915494,0.983871,0.75,0.91729325,0.7789965,0.847379,0.8476423,30.0,10.0,1.0,61.0
0,1e-05,0.2,0.0,506,0.43591201305389404,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8737245,0.8664326,24.0,8.0,0.0,49.0,0.47028931975364685,0.8627451062202454,0.8243243,0.983871,0.675,0.89705884,0.7208275,0.84818554,0.84433526,27.0,13.0,1.0,61.0
0,1e-05,0.4,0.0,506,0.6705056428909302,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.68048465,0.7209171,0.0,32.0,0.0,49.0,0.6697698831558228,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.61189514,0.6797273,0.0,40.0,0.0,62.0
0,1e-05,0.6,0.0,506,0.6732552647590637,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6734693,0.71935,0.0,32.0,0.0,49.0,0.6727743744850159,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.604637,0.6745453,0.0,40.0,0.0,62.0
0,1e-05,0.8,0.0,506,0.6807610392570496,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.63775516,0.7043462,0.0,32.0,0.0,49.0,0.6805136203765869,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.60705644,0.66471153,0.0,40.0,0.0,62.0
0,0.1,0.0,0.0001,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697190999984741,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0001,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697196364402771,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0001,506,0.6708605289459229,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.62053573,0.6519954,0.0,32.0,0.0,49.0,0.6697431206703186,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5405242,0.64040685,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0001,506,0.6708285808563232,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.68080354,0.6865586,0.0,32.0,0.0,49.0,0.6696045994758606,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5969758,0.6944152,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0001,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697202324867249,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0001,506,0.3046090304851532,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.86479586,0.8713081,24.0,8.0,0.0,49.0,0.3215808570384979,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.86471766,0.8525313,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0001,506,0.32914090156555176,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.80803573,0.7853458,24.0,8.0,0.0,49.0,0.326305627822876,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.848992,0.81906974,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0001,506,0.3279801905155182,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8584184,0.8666134,24.0,8.0,0.0,49.0,0.3316379487514496,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8635081,0.8722801,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0001,506,0.2907771170139313,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8928571,0.915351,24.0,8.0,0.0,49.0,0.29606151580810547,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.90423393,0.9093483,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0001,506,0.4089401662349701,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8801021,0.9046219,24.0,8.0,0.0,49.0,0.3995313346385956,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8872984,0.8945243,29.0,11.0,0.0,62.0
0,0.001,0.0,0.0001,506,0.30235788226127625,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9049746,0.913852,24.0,8.0,1.0,48.0,0.3408374786376953,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8550404,0.84714764,29.0,11.0,0.0,62.0
0,0.001,0.2,0.0001,506,0.291691392660141,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.91326535,0.9252427,24.0,8.0,1.0,48.0,0.3444287180900574,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.840121,0.81833136,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0001,506,0.30483949184417725,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.90688777,0.91614175,24.0,8.0,1.0,48.0,0.3483728766441345,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84536296,0.8374158,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0001,506,0.6696286201477051,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6658163,0.7051666,0.0,32.0,0.0,49.0,0.6686512231826782,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6086694,0.6807671,0.0,40.0,0.0,62.0
0,0.001,0.8,0.0001,506,0.6727224588394165,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6632653,0.70440537,0.0,32.0,0.0,49.0,0.6722120642662048,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6002016,0.6742849,0.0,40.0,0.0,62.0
