config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.48668792843818665,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8686225,0.86901844,24.0,8.0,0.0,49.0,0.48544222116470337,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8832661,0.8945832,29.0,11.0,0.0,62.0
0,0.1,0.2,0.0,506,0.2875928282737732,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.875,0.8596491,24.0,8.0,0.0,49.0,0.3042650818824768,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8625,0.84931505,29.0,11.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6698402762413025,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.475,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.5830715894699097,0.395061731338501,0.0,0.0,1.0,0.0,-0.047701646,0.765625,0.765625,32.0,0.0,49.0,0.0,0.5958672761917114,0.3921568691730499,0.0,0.0,1.0,0.0,-0.04374181,0.7375,0.74698794,40.0,0.0,62.0,0.0
0,0.1,0.8,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6699960231781006,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.475,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.2787513732910156,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9056123,0.91009927,24.0,8.0,0.0,49.0,0.34282851219177246,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83326614,0.8437893,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0,506,0.27061256766319275,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.92155606,0.9261449,24.0,8.0,0.0,49.0,0.38191747665405273,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8243952,0.8344401,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.27792778611183167,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9145408,0.9189802,24.0,8.0,0.0,49.0,0.31999579071998596,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83487904,0.8350354,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0,506,0.3390733003616333,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.875,0.8596491,24.0,8.0,0.0,49.0,0.35083138942718506,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8624999,0.84931505,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0,506,0.36856845021247864,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.84821427,0.8304497,24.0,8.0,0.0,49.0,0.3828410804271698,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.859879,0.82993,29.0,11.0,0.0,62.0
0,0.001,0.0,0.0,506,0.2806379199028015,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8998725,0.90632343,24.0,8.0,0.0,49.0,0.3411193788051605,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8360887,0.84369147,29.0,11.0,0.0,62.0
0,0.001,0.2,0.0,506,0.2743925452232361,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9126276,0.9149372,24.0,8.0,0.0,49.0,0.3670869469642639,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.827621,0.8315698,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0,506,0.27142953872680664,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91709185,0.923404,24.0,8.0,0.0,49.0,0.3418102264404297,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8292339,0.8313296,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0,506,0.28313639760017395,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8883928,0.88455486,24.0,8.0,0.0,49.0,0.3124231994152069,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84334683,0.8369541,29.0,11.0,0.0,62.0
0,0.001,0.8,0.0,506,0.352117121219635,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.872449,0.857194,24.0,8.0,0.0,49.0,0.3633444607257843,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8624999,0.84931505,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.2836664021015167,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8896684,0.9005113,24.0,8.0,0.0,49.0,0.3398961126804352,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8316532,0.84309095,29.0,11.0,0.0,62.0
0,0.0001,0.2,0.0,506,0.2802372872829437,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8985969,0.90539837,24.0,8.0,0.0,49.0,0.3285903036594391,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8211693,0.8246727,29.0,11.0,0.0,62.0
0,0.0001,0.4,0.0,506,0.2830825746059418,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9030613,0.90338755,24.0,8.0,0.0,49.0,0.32546496391296387,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83205646,0.83077824,29.0,11.0,0.0,62.0
0,0.0001,0.6,0.0,506,0.28625956177711487,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8871173,0.89875126,24.0,8.0,0.0,49.0,0.30997878313064575,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84778225,0.84904355,29.0,11.0,0.0,62.0
0,0.0001,0.8,0.0,506,0.3129453957080841,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90051025,0.90364885,24.0,8.0,0.0,49.0,0.3302830457687378,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84375,0.8476871,29.0,11.0,0.0,62.0
0,1e-05,0.0,0.0,506,0.28153008222579956,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89540815,0.90393364,24.0,8.0,0.0,49.0,0.33816009759902954,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8235887,0.8414794,29.0,11.0,0.0,62.0
0,1e-05,0.2,0.0,506,0.283032089471817,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90051025,0.91006243,24.0,8.0,0.0,49.0,0.3222310543060303,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.81471777,0.8211761,29.0,11.0,0.0,62.0
0,1e-05,0.4,0.0,506,0.2894473969936371,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8628827,0.8599743,24.0,8.0,0.0,49.0,0.3139171600341797,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8239919,0.8240774,29.0,11.0,0.0,62.0
0,1e-05,0.6,0.0,506,0.2982437312602997,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8552296,0.8459386,24.0,8.0,0.0,49.0,0.31235265731811523,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84616935,0.84987104,29.0,11.0,0.0,62.0
0,1e-05,0.8,0.0,506,0.3555836081504822,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.85905606,0.8645439,24.0,8.0,0.0,49.0,0.3625970780849457,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8622983,0.8615186,29.0,11.0,0.0,62.0
0,0.1,0.0,0.0001,506,0.5797227025032043,0.6790123581886292,0.6533333,1.0,0.1875,0.7903226,0.35,0.84247446,0.8431677,6.0,26.0,0.0,49.0,0.5728200674057007,0.6764705777168274,0.6526316,1.0,0.175,0.7898089,0.3379505,0.8320564,0.8575953,7.0,33.0,0.0,62.0
0,0.1,0.2,0.0001,506,0.48094621300697327,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8718112,0.86872536,24.0,8.0,0.0,49.0,0.48263680934906006,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8804436,0.88596296,29.0,11.0,0.0,62.0
