config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.5715727210044861,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.86607146,0.8941852,0.0,32.0,0.0,49.0,0.5669865012168884,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8917339,0.8999764,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697210669517517,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.4324083626270294,0.8148148059844971,0.765625,1.0,0.53125,0.86725664,0.6377604,0.765625,0.765625,17.0,15.0,0.0,49.0,0.4606579542160034,0.7941176295280457,0.74698794,1.0,0.475,0.8551724,0.59566706,0.7375,0.74698794,19.0,21.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6651400923728943,0.7037037014961243,0.6712329,1.0,0.25,0.8032787,0.409644,0.56122446,0.58492464,8.0,24.0,0.0,49.0,0.6757494807243347,0.686274528503418,0.65957445,1.0,0.2,0.7948718,0.3632009,0.52116936,0.5666567,8.0,32.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697207689285278,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.2820985019207001,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8998724,0.9139133,24.0,8.0,0.0,49.0,0.3149785101413727,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8300403,0.8335509,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0,506,0.26956117153167725,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.92187494,0.9382993,24.0,8.0,0.0,49.0,0.3649301826953888,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8314516,0.83849186,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.2725551426410675,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9107143,0.9323342,24.0,8.0,0.0,49.0,0.3367253541946411,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83165324,0.8292196,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0,506,0.27720871567726135,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90625,0.9270537,24.0,8.0,0.0,49.0,0.3343444764614105,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8247984,0.826344,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0,506,0.5909061431884766,0.6296296119689941,0.62025315,1.0,0.0625,0.765625,0.19689038,0.88073975,0.8576463,2.0,30.0,0.0,49.0,0.6231623888015747,0.6372548937797546,0.6262626,1.0,0.075,0.77018636,0.21672495,0.83649194,0.80745286,3.0,37.0,0.0,62.0
0,0.001,0.0,0.0,506,0.2832012176513672,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8998724,0.91678995,24.0,8.0,0.0,49.0,0.3434603810310364,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8356855,0.83549327,29.0,11.0,0.0,62.0
0,0.001,0.2,0.0,506,0.2798038423061371,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90433675,0.9117508,24.0,8.0,0.0,49.0,0.3599189817905426,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8288306,0.8244869,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0,506,0.26920560002326965,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9215561,0.9415723,24.0,8.0,0.0,49.0,0.36872345209121704,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8219758,0.82229763,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0,506,0.27415668964385986,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9068878,0.9260906,24.0,8.0,0.0,49.0,0.34900224208831787,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82721776,0.8258154,29.0,11.0,0.0,62.0
0,0.001,0.8,0.0,506,0.3003251850605011,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8852041,0.8606732,24.0,8.0,0.0,49.0,0.31830909848213196,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.827621,0.84560317,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.29030096530914307,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89285713,0.8902875,24.0,8.0,0.0,49.0,0.3379146456718445,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8296371,0.8320413,29.0,11.0,0.0,62.0
0,0.0001,0.2,0.0,506,0.2879068851470947,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89540815,0.8967722,24.0,8.0,0.0,49.0,0.31928032636642456,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8377016,0.83740664,29.0,11.0,0.0,62.0
0,0.0001,0.4,0.0,506,0.2858585715293884,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8941327,0.8910445,24.0,8.0,0.0,49.0,0.32532402873039246,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83528227,0.8297403,29.0,11.0,0.0,62.0
0,0.0001,0.6,0.0,506,0.28767815232276917,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8947704,0.9037979,24.0,8.0,0.0,49.0,0.3225463032722473,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83447576,0.8144498,29.0,11.0,0.0,62.0
0,0.0001,0.8,0.0,506,0.33244502544403076,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.896046,0.8952318,24.0,8.0,0.0,49.0,0.3634464144706726,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8235886,0.825536,29.0,11.0,0.0,62.0
0,1e-05,0.0,0.0,506,0.2951219081878662,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8813776,0.87176126,24.0,8.0,0.0,49.0,0.3286292850971222,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8344758,0.83618474,29.0,11.0,0.0,62.0
0,1e-05,0.2,0.0,506,0.2921891510486603,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89158165,0.8828168,24.0,8.0,0.0,49.0,0.3159237802028656,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8514113,0.8491286,29.0,11.0,0.0,62.0
0,1e-05,0.4,0.0,506,0.290986031293869,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8960459,0.8784287,24.0,8.0,0.0,49.0,0.31735315918922424,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83649194,0.8219015,29.0,11.0,0.0,62.0
0,1e-05,0.6,0.0,506,0.2970368564128876,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8947704,0.8762171,24.0,8.0,0.0,49.0,0.3197721838951111,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83124995,0.8251851,29.0,11.0,0.0,62.0
0,1e-05,0.8,0.0,506,0.5215639472007751,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.88584185,0.86295104,24.0,8.0,0.0,49.0,0.5340390205383301,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82681453,0.795606,29.0,11.0,0.0,62.0
0,0.1,0.0,0.0001,506,0.48269879817962646,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8501275,0.8512089,24.0,8.0,0.0,49.0,0.4923371970653534,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.88729835,0.8918309,29.0,11.0,0.0,62.0
0,0.1,0.2,0.0001,506,0.4907732307910919,0.8024691343307495,0.75384617,1.0,0.5,0.8596491,0.6139406,0.765625,0.765625,16.0,16.0,0.0,49.0,0.5158966183662415,0.7941176295280457,0.74698794,1.0,0.475,0.8551724,0.59566706,0.7375,0.74698794,19.0,21.0,0.0,62.0
0,0.1,0.4,0.0001,506,0.2905685007572174,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.875,0.8596491,24.0,8.0,0.0,49.0,0.3064531683921814,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8602822,0.847256,29.0,11.0,0.0,62.0
0,0.1,0.6,0.0001,506,0.5856367349624634,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.8628826,0.88589185,0.0,32.0,0.0,49.0,0.5839581489562988,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8689516,0.86987984,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0001,506,0.49594661593437195,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.91135204,0.92896795,0.0,32.0,0.0,49.0,0.5077435374259949,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.84899193,0.8446197,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0001,506,0.28203898668289185,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90433675,0.924939,24.0,8.0,0.0,49.0,0.3415156602859497,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.84616935,0.8552774,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0001,506,0.2740676701068878,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8890306,0.8973944,24.0,8.0,0.0,49.0,0.36321839690208435,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8417338,0.85137,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0001,506,0.27056685090065,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9164541,0.9332598,24.0,8.0,0.0,49.0,0.3434375822544098,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82983863,0.828482,29.0,11.0,0.0,62.0
0,0.01,0.6,0.0001,506,0.27830928564071655,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90943885,0.91988814,24.0,8.0,0.0,49.0,0.31587865948677063,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8372984,0.83082736,29.0,11.0,0.0,62.0
0,0.01,0.8,0.0001,506,0.5438069701194763,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.8660714,0.8338874,24.0,8.0,1.0,48.0,0.5439114570617676,0.8725489974021912,0.8450704,0.9677419,0.725,0.90225565,0.73533845,0.8981855,0.90244746,29.0,11.0,2.0,60.0
0,0.001,0.0,0.0001,506,0.2813328802585602,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90433675,0.9199703,24.0,8.0,0.0,49.0,0.3546580374240875,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83165324,0.8365136,29.0,11.0,0.0,62.0
0,0.001,0.2,0.0001,506,0.2799605429172516,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9075255,0.9116589,24.0,8.0,0.0,49.0,0.3479039669036865,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8372984,0.8384587,29.0,11.0,0.0,62.0
0,0.001,0.4,0.0001,506,0.2735121548175812,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91326535,0.9315893,24.0,8.0,0.0,49.0,0.3922702670097351,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83044356,0.8311807,29.0,11.0,0.0,62.0
0,0.001,0.6,0.0001,506,0.2746950685977936,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8998725,0.9179918,24.0,8.0,0.0,49.0,0.32389870285987854,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82520163,0.83179975,29.0,11.0,0.0,62.0
0,0.001,0.8,0.0001,506,0.3228740096092224,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9030612,0.9091409,24.0,8.0,0.0,49.0,0.34638547897338867,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.838508,0.83780295,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.0001,506,0.2902734577655792,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89158165,0.8892102,24.0,8.0,0.0,49.0,0.33834517002105713,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82963705,0.83344483,29.0,11.0,0.0,62.0
0,0.0001,0.2,0.0001,506,0.28735271096229553,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8922194,0.8966383,24.0,8.0,0.0,49.0,0.32948797941207886,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8340726,0.8347393,29.0,11.0,0.0,62.0
0,0.0001,0.4,0.0001,506,0.2866174280643463,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8947704,0.8713185,24.0,8.0,0.0,49.0,0.3207527697086334,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8340726,0.8255588,29.0,11.0,0.0,62.0
0,0.0001,0.6,0.0001,506,0.2908058762550354,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8903062,0.8921001,24.0,8.0,0.0,49.0,0.3186508119106293,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.822379,0.8098966,29.0,11.0,0.0,62.0
0,0.0001,0.8,0.0001,506,0.3237878680229187,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89477044,0.89668524,24.0,8.0,0.0,49.0,0.3586505949497223,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82721776,0.82698125,29.0,11.0,0.0,62.0
0,1e-05,0.0,0.0001,506,0.29492324590682983,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.88201535,0.87365407,24.0,8.0,0.0,49.0,0.32792630791664124,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83487904,0.8354825,29.0,11.0,0.0,62.0
0,1e-05,0.2,0.0001,506,0.2921869158744812,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8903062,0.8817893,24.0,8.0,0.0,49.0,0.31582969427108765,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8514112,0.8484156,29.0,11.0,0.0,62.0
0,1e-05,0.4,0.0001,506,0.29099076986312866,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8947704,0.87645394,24.0,8.0,0.0,49.0,0.31737983226776123,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.836492,0.82489157,29.0,11.0,0.0,62.0
0,1e-05,0.6,0.0001,506,0.29717111587524414,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89540815,0.8766853,24.0,8.0,0.0,49.0,0.31977012753486633,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83165324,0.8255334,29.0,11.0,0.0,62.0
0,1e-05,0.8,0.0001,506,0.5211718082427979,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8852041,0.8625866,24.0,8.0,0.0,49.0,0.5337112545967102,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82681453,0.795606,29.0,11.0,0.0,62.0
0,0.1,0.0,0.001,506,0.28939545154571533,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9145408,0.8934377,24.0,8.0,0.0,49.0,0.3105289340019226,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.87520164,0.86156225,29.0,11.0,0.0,62.0
0,0.1,0.2,0.001,506,0.4296554625034332,0.8148148059844971,0.765625,1.0,0.53125,0.86725664,0.6377604,0.90369904,0.88935345,17.0,15.0,0.0,49.0,0.46968191862106323,0.7941176295280457,0.74698794,1.0,0.475,0.8551724,0.59566706,0.86653227,0.8465265,19.0,21.0,0.0,62.0
0,0.1,0.4,0.001,506,0.29435840249061584,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8852041,0.8866623,24.0,8.0,0.0,49.0,0.3067038655281067,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.87721777,0.892405,29.0,11.0,0.0,62.0
0,0.1,0.6,0.001,506,0.6066759824752808,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.82716835,0.8707955,0.0,32.0,0.0,49.0,0.6072613596916199,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8506048,0.8555098,0.0,40.0,0.0,62.0
0,0.1,0.8,0.001,506,0.5999849438667297,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.88966835,0.9024234,0.0,32.0,0.0,49.0,0.6061437129974365,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.85383064,0.86353856,0.0,40.0,0.0,62.0
0,0.01,0.0,0.001,506,0.2770693302154541,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9126276,0.92334646,24.0,8.0,0.0,49.0,0.3306928277015686,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.823992,0.8184087,29.0,11.0,0.0,62.0
0,0.01,0.2,0.001,506,0.28049197793006897,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.903699,0.917746,24.0,8.0,0.0,49.0,0.36339882016181946,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8433468,0.84669995,29.0,11.0,0.0,62.0
0,0.01,0.4,0.001,506,0.2700618803501129,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91964287,0.9363709,24.0,8.0,0.0,49.0,0.34372422099113464,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.822379,0.82108366,29.0,11.0,0.0,62.0
0,0.01,0.6,0.001,506,0.28289616107940674,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89540815,0.90505683,24.0,8.0,0.0,49.0,0.3067077398300171,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8497983,0.83997226,29.0,11.0,0.0,62.0
0,0.01,0.8,0.001,506,0.5821072459220886,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.86415815,0.850705,0.0,32.0,0.0,49.0,0.5849243402481079,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.86754036,0.84485126,0.0,40.0,0.0,62.0
0,0.001,0.0,0.001,506,0.2861484885215759,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8947704,0.91047865,24.0,8.0,0.0,49.0,0.34355807304382324,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8372984,0.8377301,29.0,11.0,0.0,62.0
0,0.001,0.2,0.001,506,0.2779220938682556,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.91007656,0.9205923,24.0,8.0,0.0,49.0,0.35710009932518005,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83286285,0.825506,29.0,11.0,0.0,62.0
0,0.001,0.4,0.001,506,0.2791828513145447,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89923465,0.9106899,24.0,8.0,0.0,49.0,0.3408013880252838,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.82721776,0.82545406,29.0,11.0,0.0,62.0
0,0.001,0.6,0.001,506,0.2785917818546295,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.90051025,0.9198933,24.0,8.0,0.0,49.0,0.33393654227256775,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8292339,0.830832,29.0,11.0,0.0,62.0
0,0.001,0.8,0.001,506,0.3151884078979492,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9005102,0.9141679,24.0,8.0,0.0,49.0,0.33512938022613525,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8497984,0.8411508,29.0,11.0,0.0,62.0
0,0.0001,0.0,0.001,506,0.289488285779953,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89349496,0.9012433,24.0,8.0,0.0,49.0,0.33962464332580566,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8288306,0.83261806,29.0,11.0,0.0,62.0
0,0.0001,0.2,0.001,506,0.2898739278316498,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.8915816,0.89409614,24.0,8.0,0.0,49.0,0.3211144208908081,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8465726,0.84147346,29.0,11.0,0.0,62.0
0,0.0001,0.4,0.001,506,0.2865090072154999,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.89285713,0.89557135,24.0,8.0,0.0,49.0,0.32457098364830017,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.83326614,0.828269,29.0,11.0,0.0,62.0
0,0.0001,0.6,0.001,506,0.28888362646102905,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.88839287,0.8752663,24.0,8.0,0.0,49.0,0.3221225440502167,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8292339,0.8185446,29.0,11.0,0.0,62.0
