config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6269416809082031,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.78156894,0.8139157,0.0,32.0,0.0,49.0,0.6190235018730164,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.81552416,0.81531686,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697052717208862,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5125,0.6138614,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697068810462952,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5125,0.6138614,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6676090359687805,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.86989796,0.889798,0.0,32.0,0.0,49.0,0.6669217348098755,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8328629,0.8354008,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709420084953308,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.515625,0.6125,0.0,32.0,0.0,49.0,0.6697030663490295,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5125,0.6138614,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.26476556062698364,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9457908,0.95124054,24.0,8.0,1.0,48.0,0.3656209707260132,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.82963705,0.838297,29.0,11.0,1.0,61.0
0,0.01,0.2,0.0,506,0.2642447054386139,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.93813777,0.94799364,24.0,8.0,0.0,49.0,0.3264888823032379,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8122983,0.8051324,29.0,11.0,0.0,62.0
0,0.01,0.4,0.0,506,0.4216291606426239,0.9012345671653748,0.8596491,1.0,0.75,0.9245283,0.80295503,0.9394133,0.95259494,24.0,8.0,0.0,49.0,0.5124146938323975,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.826008,0.8433896,29.0,11.0,1.0,61.0
0,0.01,0.6,0.0,506,0.6274224519729614,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.85522956,0.8324461,0.0,32.0,0.0,49.0,0.6264097094535828,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.87076616,0.8665085,0.0,40.0,0.0,62.0
0,0.01,0.8,0.0,506,0.6672622561454773,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.86926025,0.8503594,0.0,32.0,0.0,49.0,0.6696751117706299,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.79173386,0.7856664,0.0,40.0,0.0,62.0
