config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.0001,0.8,0.8,0.001,506,0.6715999841690063,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6696394085884094,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5096774,0.6340574,0.0,40.0,0.0,62.0
0,0.0001,0.8,0.4,0.001,506,0.6715839505195618,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6697221398353577,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6339453,0.0,40.0,0.0,62.0
0,0.0001,0.8,0.0,0.001,506,0.6715618968009949,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.669773280620575,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6339453,0.0,40.0,0.0,62.0
0,0.0001,0.8,0.2,0.001,506,0.6716054081916809,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6697718501091003,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6339453,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.8,0.001,506,0.6715987920761108,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6696414351463318,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5096774,0.6340574,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.0,0.001,506,0.6713847517967224,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.3938138,0.52593845,0.0,32.0,0.0,49.0,0.6697444319725037,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6339453,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.2,0.001,506,0.6714597344398499,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6697022914886475,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5092742,0.6339453,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.6,0.001,506,0.6709177494049072,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.60778064,0.7161354,0.0,32.0,0.0,49.0,0.6697542071342468,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6151049,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.4,0.001,506,0.6709159016609192,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.60809946,0.71707076,0.0,32.0,0.0,49.0,0.6697548031806946,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6151049,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.2,0.001,506,0.6709146499633789,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.60809946,0.71725935,0.0,32.0,0.0,49.0,0.6697549223899841,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6152326,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.8,0.001,506,0.6715964674949646,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.66963791847229,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5096774,0.6340574,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.0,0.001,506,0.6709258556365967,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6087373,0.7175096,0.0,32.0,0.0,49.0,0.6697537302970886,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49374998,0.6151049,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.6,0.001,506,0.6709504127502441,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.60937506,0.7175534,0.0,32.0,0.0,49.0,0.6697489619255066,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49475807,0.61568934,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.4,0.001,506,0.6709494590759277,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.609375,0.7183609,0.0,32.0,0.0,49.0,0.669748842716217,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49475807,0.61589503,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.2,0.001,506,0.6709487438201904,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.609375,0.7176983,0.0,32.0,0.0,49.0,0.6697491407394409,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49475807,0.61578506,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.8,0.001,506,0.6715947389602661,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6696382164955139,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5096774,0.6340574,0.0,40.0,0.0,62.0
0,0.0001,0.2,0.0,0.001,506,0.6709515452384949,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6106505,0.71890336,0.0,32.0,0.0,49.0,0.6697489619255066,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49637097,0.6165701,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.6,0.001,506,0.670951783657074,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6096939,0.71848875,0.0,32.0,0.0,49.0,0.6697604656219482,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49495965,0.6157993,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.4,0.001,506,0.6709510087966919,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6096939,0.71793,0.0,32.0,0.0,49.0,0.6697607040405273,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4949597,0.6156894,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.8,0.001,506,0.671592652797699,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.39317602,0.52576447,0.0,32.0,0.0,49.0,0.6696395874023438,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5096774,0.6340574,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.0,0.001,506,0.6709504723548889,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6096939,0.7178022,0.0,32.0,0.0,49.0,0.6697616577148438,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49495965,0.6157993,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.2,0.001,506,0.670950710773468,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6090561,0.71670204,0.0,32.0,0.0,49.0,0.6697614789009094,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49495965,0.6157993,0.0,40.0,0.0,62.0
0,0.001,0.8,0.8,0.001,506,0.670815110206604,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6074618,0.7161353,0.0,32.0,0.0,49.0,0.6697586178779602,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6151049,0.0,40.0,0.0,62.0
0,0.001,0.8,0.6,0.001,506,0.6708094477653503,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6074618,0.7161353,0.0,32.0,0.0,49.0,0.669761598110199,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6151049,0.0,40.0,0.0,62.0
0,0.001,0.8,0.4,0.001,506,0.670807421207428,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6074618,0.7161353,0.0,32.0,0.0,49.0,0.6697659492492676,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49314517,0.61487746,0.0,40.0,0.0,62.0
0,0.001,0.8,0.2,0.001,506,0.6708060503005981,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6074618,0.7161353,0.0,32.0,0.0,49.0,0.6697677969932556,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.49314517,0.61487746,0.0,40.0,0.0,62.0
0,0.001,0.8,0.0,0.001,506,0.6708330512046814,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.6074618,0.7161353,0.0,32.0,0.0,49.0,0.6697613596916199,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4935484,0.6151049,0.0,40.0,0.0,62.0
