config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6709109544754028,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.515625,0.6125,0.0,32.0,0.0,49.0,0.6697214245796204,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697215437889099,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697217226028442,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6651952862739563,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.877551,0.8507453,0.0,32.0,0.0,49.0,0.6644532680511475,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.85786295,0.84966385,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6697628498077393,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.87499994,0.89158267,0.0,32.0,0.0,49.0,0.6693193316459656,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.86431444,0.86049926,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.26888516545295715,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9419644,0.9421196,24.0,8.0,1.0,48.0,0.3318929970264435,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8356855,0.83477175,29.0,11.0,0.0,62.0
0,0.01,0.2,0.0,506,0.3519255220890045,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.94579077,0.95349544,24.0,8.0,1.0,48.0,0.4541938304901123,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8324597,0.8502743,29.0,11.0,1.0,61.0
0,0.01,0.4,0.0,506,0.35924792289733887,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.93176013,0.94487095,24.0,8.0,1.0,48.0,0.46544578671455383,0.8725489974021912,0.8450704,0.9677419,0.725,0.90225565,0.73533845,0.83205646,0.85304195,29.0,11.0,2.0,60.0
0,0.01,0.6,0.0,506,0.6709732413291931,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.484375,0.60493827,0.0,32.0,0.0,49.0,0.6697211265563965,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.8,0.0,506,0.6709436774253845,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.515625,0.6125,0.0,32.0,0.0,49.0,0.6697160601615906,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.001,0.0,0.0,506,0.2622299790382385,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9496174,0.9555299,24.0,8.0,1.0,48.0,0.36569154262542725,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8247983,0.83727,29.0,11.0,1.0,61.0
0,0.001,0.2,0.0,506,0.2650136947631836,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.940051,0.9446389,24.0,8.0,1.0,48.0,0.3506942689418793,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8211694,0.8251544,29.0,11.0,1.0,61.0
0,0.001,0.4,0.0,506,0.26464876532554626,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9426021,0.953828,24.0,8.0,1.0,48.0,0.37396904826164246,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8231855,0.8323053,29.0,11.0,1.0,61.0
0,0.001,0.6,0.0,506,0.27165576815605164,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.93750006,0.9486282,24.0,8.0,1.0,48.0,0.3574140667915344,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8243952,0.84272504,29.0,11.0,1.0,61.0
0,0.001,0.8,0.0,506,0.6652490496635437,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.68303573,0.7492966,0.0,32.0,0.0,49.0,0.6639428734779358,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.7195564,0.75781846,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.2716883420944214,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9419643,0.95205325,24.0,8.0,1.0,48.0,0.3698834180831909,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8179436,0.82517827,29.0,11.0,1.0,61.0
0,0.0001,0.2,0.0,506,0.27461931109428406,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.94068885,0.9520395,24.0,8.0,1.0,48.0,0.37377557158470154,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8187499,0.82408196,29.0,11.0,1.0,61.0
0,0.0001,0.4,0.0,506,0.2740749716758728,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.940051,0.94886947,24.0,8.0,1.0,48.0,0.3496662676334381,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8195564,0.822807,29.0,11.0,1.0,61.0
0,0.0001,0.6,0.0,506,0.27599403262138367,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.94260204,0.9502821,24.0,8.0,1.0,48.0,0.3430958688259125,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8203629,0.8276431,29.0,11.0,1.0,61.0
0,0.0001,0.8,0.0,506,0.39095762372016907,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9368623,0.9242213,24.0,8.0,1.0,48.0,0.4077497124671936,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8405241,0.85649896,29.0,11.0,0.0,62.0
0,1e-05,0.0,0.0,506,0.275623619556427,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9400511,0.951959,24.0,8.0,1.0,48.0,0.368793785572052,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.82157254,0.8320682,29.0,11.0,1.0,61.0
0,1e-05,0.2,0.0,506,0.2743496298789978,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.94451535,0.954128,24.0,8.0,1.0,48.0,0.3692760467529297,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.8243952,0.8349335,29.0,11.0,1.0,61.0
0,1e-05,0.4,0.0,506,0.29275551438331604,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.9355867,0.9238883,24.0,8.0,1.0,48.0,0.33058983087539673,0.8921568393707275,0.84931505,1.0,0.725,0.91851854,0.78469956,0.8336694,0.8366971,29.0,11.0,0.0,62.0
0,1e-05,0.6,0.0,506,0.3207242488861084,0.8765432238578796,0.8545455,0.9591837,0.75,0.90384614,0.74261504,0.9024235,0.88290644,24.0,8.0,2.0,47.0,0.3412841856479645,0.8725489974021912,0.8450704,0.9677419,0.725,0.90225565,0.73533845,0.8635081,0.8798279,29.0,11.0,2.0,60.0
0,1e-05,0.8,0.0,506,0.6734261512756348,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.79272956,0.84557354,0.0,32.0,0.0,49.0,0.6733648777008057,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.79858875,0.85383016,0.0,40.0,0.0,62.0
0,0.1,0.0,0.0001,506,0.6519242525100708,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.8271684,0.81020284,0.0,32.0,0.0,49.0,0.6507553458213806,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.890121,0.90605396,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0001,506,0.4902474284172058,0.8888888955116272,0.85714287,0.97959185,0.75,0.9142857,0.77212745,0.85267866,0.84713006,24.0,8.0,1.0,48.0,0.4346354007720947,0.8627451062202454,0.8243243,0.983871,0.675,0.89705884,0.7208275,0.85443544,0.84360564,27.0,13.0,1.0,61.0
0,0.1,0.4,0.0001,506,0.6414578557014465,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.8558674,0.8496724,0.0,32.0,0.0,49.0,0.6406050324440002,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.85443544,0.84357625,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0001,506,0.6682180762290955,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.88201535,0.872856,0.0,32.0,0.0,49.0,0.6670985221862793,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.8449597,0.83527124,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0001,506,0.6327353119850159,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.85841846,0.85161287,0.0,32.0,0.0,49.0,0.6323519945144653,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.877621,0.8549393,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0001,506,0.26446759700775146,0.8765432238578796,0.8545455,0.9591837,0.75,0.90384614,0.74261504,0.94323975,0.95454735,24.0,8.0,2.0,47.0,0.3850947618484497,0.8823529481887817,0.8472222,0.983871,0.725,0.9104478,0.75956714,0.83004034,0.84064937,29.0,11.0,1.0,61.0
