config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697219610214233,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.2,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697211861610413,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.4,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697218418121338,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.6,0.0,506,0.6709585189819336,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697222590446472,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.1,0.8,0.0,506,0.6709584593772888,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.5,0.60493827,0.0,32.0,0.0,49.0,0.6697218418121338,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5,0.60784316,0.0,40.0,0.0,62.0
0,0.01,0.0,0.0,506,0.4235334098339081,0.7654321193695068,0.7777778,0.85714287,0.625,0.815534,0.5,0.88329077,0.9114708,20.0,12.0,7.0,42.0,0.42904388904571533,0.8235294222831726,0.8235294,0.9032258,0.7,0.86153847,0.624758,0.8489919,0.8385293,28.0,12.0,6.0,56.0
0,0.01,0.2,0.0,506,0.5172880291938782,0.8024691343307495,0.7704918,0.9591837,0.5625,0.8545455,0.5914259,0.84757656,0.8577471,18.0,14.0,2.0,47.0,0.4800158739089966,0.8039215803146362,0.7625,0.983871,0.525,0.85915494,0.60405594,0.8449597,0.8480429,21.0,19.0,1.0,61.0
0,0.01,0.4,0.0,506,0.6709395051002502,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.69834185,0.7657531,0.0,32.0,0.0,49.0,0.6696949601173401,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6858871,0.7804971,0.0,40.0,0.0,62.0
0,0.01,0.6,0.0,506,0.6709266304969788,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.59502554,0.67880064,0.0,32.0,0.0,49.0,0.6696690320968628,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6012097,0.73788255,0.0,40.0,0.0,62.0
0,0.01,0.8,0.0,506,0.6709477305412292,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.54623723,0.663378,0.0,32.0,0.0,49.0,0.6696931719779968,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.57883066,0.7135812,0.0,40.0,0.0,62.0
0,0.001,0.0,0.0,506,0.4472227096557617,0.8271604776382446,0.8181818,0.9183673,0.6875,0.86538464,0.6344283,0.8622449,0.8707391,22.0,10.0,4.0,45.0,0.41361188888549805,0.8529411554336548,0.8309859,0.9516129,0.7,0.88721806,0.69168043,0.8578629,0.84939706,28.0,12.0,3.0,59.0
0,0.001,0.2,0.0,506,0.4909975528717041,0.790123462677002,0.76666665,0.93877554,0.5625,0.8440367,0.55919623,0.85267854,0.864674,18.0,14.0,3.0,46.0,0.46193522214889526,0.8235294222831726,0.7972973,0.9516129,0.625,0.86764705,0.63083434,0.8449596,0.834473,25.0,15.0,3.0,59.0
0,0.001,0.4,0.0,506,0.671086847782135,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.4617347,0.6303924,0.0,32.0,0.0,49.0,0.670169472694397,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43165323,0.5928166,0.0,40.0,0.0,62.0
0,0.001,0.6,0.0,506,0.6710919737815857,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.45790815,0.62896514,0.0,32.0,0.0,49.0,0.6701512336730957,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4264113,0.58838266,0.0,40.0,0.0,62.0
0,0.001,0.8,0.0,506,0.671475350856781,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.45184952,0.6241407,0.0,32.0,0.0,49.0,0.6706719994544983,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.42278224,0.5867578,0.0,40.0,0.0,62.0
0,0.0001,0.0,0.0,506,0.45086750388145447,0.8148148059844971,0.8035714,0.9183673,0.65625,0.85714287,0.6081178,0.8552296,0.8808881,21.0,11.0,4.0,45.0,0.42825430631637573,0.8529411554336548,0.82191783,0.9677419,0.675,0.8888889,0.69566804,0.8610887,0.85630274,27.0,13.0,2.0,60.0
0,0.0001,0.2,0.0,506,0.6710605025291443,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.46109697,0.6302041,0.0,32.0,0.0,49.0,0.6700688600540161,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43044353,0.5921563,0.0,40.0,0.0,62.0
0,0.0001,0.4,0.0,506,0.6710493564605713,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.46237245,0.6308284,0.0,32.0,0.0,49.0,0.6700503826141357,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43205643,0.59299827,0.0,40.0,0.0,62.0
0,0.0001,0.6,0.0,506,0.6711052656173706,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.46109694,0.630175,0.0,32.0,0.0,49.0,0.670168936252594,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.42883065,0.59019214,0.0,40.0,0.0,62.0
0,0.0001,0.8,0.0,506,0.6719638109207153,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.4540816,0.6253425,0.0,32.0,0.0,49.0,0.6712039113044739,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.42237902,0.5869076,0.0,40.0,0.0,62.0
0,1e-05,0.0,0.0,506,0.6702491044998169,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.59821427,0.7297528,0.0,32.0,0.0,49.0,0.6696339249610901,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.5425403,0.6398168,0.0,40.0,0.0,62.0
0,1e-05,0.2,0.0,506,0.6710484623908997,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.46301022,0.6318376,0.0,32.0,0.0,49.0,0.6700526475906372,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43366933,0.5936949,0.0,40.0,0.0,62.0
0,1e-05,0.4,0.0,506,0.6710509657859802,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.46301022,0.6318376,0.0,32.0,0.0,49.0,0.6700572371482849,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.43125,0.59242845,0.0,40.0,0.0,62.0
0,1e-05,0.6,0.0,506,0.671165406703949,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.45982146,0.62973166,0.0,32.0,0.0,49.0,0.6702448725700378,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.42681453,0.58842504,0.0,40.0,0.0,62.0
0,1e-05,0.8,0.0,506,0.6722592115402222,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.45535713,0.62582123,0.0,32.0,0.0,49.0,0.6715263724327087,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.4247984,0.59192026,0.0,40.0,0.0,62.0
0,0.1,0.0,0.0001,506,0.6655085682868958,0.604938268661499,0.60493827,1.0,0.0,0.75384617,0.047701646,0.65625,0.7361948,0.0,32.0,0.0,49.0,0.6622061729431152,0.6078431606292725,0.60784316,1.0,0.0,0.75609756,0.04374181,0.6352822,0.75662106,0.0,40.0,0.0,62.0
