config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,1e-05,0.4,0.0,0.001,689,0.6879177689552307,0.5,0.5,1.0,0.0,0.6666667,0.0,0.6760204,0.68728244,0.0,28.0,0.0,28.0,0.6898733973503113,0.49275362491607666,0.5,0.9714286,0.0,0.66019416,-0.119522855,0.5058824,0.48946977,0.0,34.0,1.0,34.0
0,1e-05,0.2,0.6,0.001,689,0.6856029629707336,0.5357142686843872,0.5192308,0.96428573,0.10714286,0.675,0.13867505,0.6760204,0.68728244,3.0,25.0,1.0,27.0,0.6888278722763062,0.49275362491607666,0.5,0.9714286,0.0,0.66019416,-0.119522855,0.5058824,0.48946977,0.0,34.0,1.0,34.0
0,1e-05,0.2,0.8,0.001,689,0.6919178366661072,0.5,0.5,1.0,0.0,0.6666667,0.0,0.6721939,0.68166226,0.0,28.0,0.0,28.0,0.6918538212776184,0.5072463750839233,0.5072464,1.0,0.0,0.6730769,0.0034898114,0.5067227,0.4897378,0.0,34.0,0.0,35.0
0,1e-05,0.2,0.4,0.001,689,0.6854714155197144,0.5357142686843872,0.5192308,0.96428573,0.10714286,0.675,0.13867505,0.6760204,0.68728244,3.0,25.0,1.0,27.0,0.6887710690498352,0.5072463750839233,0.5074627,0.9714286,0.029411765,0.6666667,0.0025042295,0.5058824,0.48946977,1.0,33.0,1.0,34.0
0,1e-05,0.2,0.2,0.001,689,0.685413658618927,0.5535714030265808,0.5294118,0.96428573,0.14285715,0.6835443,0.18786728,0.6760204,0.68728244,4.0,24.0,1.0,27.0,0.6887505650520325,0.5362318754196167,0.52307695,0.9714286,0.0882353,0.68,0.12764335,0.5058824,0.48946977,3.0,31.0,1.0,34.0
0,1e-05,0.2,0.0,0.001,689,0.6853598356246948,0.5714285969734192,0.54,0.96428573,0.17857143,0.6923077,0.2309401,0.6760204,0.68728244,5.0,23.0,1.0,27.0,0.6887304782867432,0.5362318754196167,0.52307695,0.9714286,0.0882353,0.68,0.12764335,0.5058824,0.48946977,3.0,31.0,1.0,34.0
0,1e-05,0.0,0.6,0.001,689,0.6699962615966797,0.625,0.5813953,0.89285713,0.35714287,0.70422536,0.29606846,0.6734694,0.6821659,10.0,18.0,3.0,25.0,0.6847553253173828,0.5507246255874634,0.54347825,0.71428573,0.38235295,0.61728394,0.10249,0.50756305,0.49019867,13.0,21.0,10.0,25.0
0,1e-05,0.0,0.8,0.001,689,0.6919352412223816,0.5,0.5,1.0,0.0,0.6666667,0.0,0.6721939,0.68166226,0.0,28.0,0.0,28.0,0.6918689608573914,0.5072463750839233,0.5072464,1.0,0.0,0.6730769,0.0034898114,0.5067227,0.4897378,0.0,34.0,0.0,35.0
0,1e-05,0.0,0.4,0.001,689,0.6694068908691406,0.5892857313156128,0.5609756,0.8214286,0.35714287,0.6666667,0.20161945,0.6734694,0.6821659,10.0,18.0,5.0,23.0,0.6846213340759277,0.5362318754196167,0.53488374,0.6571429,0.4117647,0.5897436,0.07109179,0.50756305,0.49019867,14.0,20.0,12.0,23.0
0,1e-05,0.0,0.2,0.001,689,0.6693049669265747,0.5714285969734192,0.55263156,0.75,0.39285713,0.6363636,0.15294382,0.6734694,0.6821659,11.0,17.0,7.0,21.0,0.6846683621406555,0.52173912525177,0.525,0.6,0.44117647,0.56,0.041705526,0.50756305,0.49019867,15.0,19.0,14.0,21.0
