config/train_loop_config/dataset_test_round,config/train_loop_config/learning_rate,config/train_loop_config/dropout_rate_normal,config/train_loop_config/dropout_rate_attention,config/train_loop_config/weight_decay,config/train_loop_config/batch_size,average_inner_es_loss,average_inner_es_accuracy,average_inner_es_precision,average_inner_es_recall,average_inner_es_specificity,average_inner_es_f1_score,average_inner_es_mcc,average_inner_es_auroc,average_inner_es_auprc,average_inner_es_true_positives,average_inner_es_false_negatives,average_inner_es_false_positives,average_inner_es_true_negatives,average_val_loss,average_val_accuracy,average_val_precision,average_val_recall,average_val_specificity,average_val_f1_score,average_val_mcc,average_val_auroc,average_val_auprc,average_val_true_positives,average_val_false_negatives,average_val_false_positives,average_val_true_negatives
0,0.1,0.0,0.8,0.01,689,0.7866578698158264,0.8571428656578064,0.8333333,0.89285713,0.8214286,0.86206895,0.7161149,0.92346936,0.9175421,23.0,5.0,3.0,25.0,0.7811594605445862,0.8115941882133484,0.7894737,0.85714287,0.7647059,0.82191783,0.625008,0.90840334,0.91150856,26.0,8.0,5.0,30.0
0,0.1,0.0,0.6,0.01,689,0.36208608746528625,0.8392857313156128,0.7714286,0.96428573,0.71428573,0.85714287,0.7008256,0.92474484,0.92053175,20.0,8.0,1.0,27.0,0.36673736572265625,0.7681159377098083,0.70212764,0.94285715,0.5882353,0.80487806,0.5697487,0.9445379,0.95523316,20.0,14.0,2.0,33.0
0,0.1,0.0,0.4,0.01,689,3.9318878650665283,0.6607142686843872,0.60465115,0.9285714,0.39285713,0.73239434,0.38065946,0.73341835,0.7007494,11.0,17.0,2.0,26.0,6.166881561279297,0.49275362491607666,0.5,0.62857145,0.3529412,0.556962,-0.019228831,0.50840336,0.49155855,12.0,22.0,13.0,22.0
0,0.1,0.0,0.0,0.01,689,0.3439461886882782,0.8392857313156128,0.7878788,0.9285714,0.75,0.852459,0.6896563,0.92857146,0.9326463,21.0,7.0,2.0,26.0,0.3722909688949585,0.8405796885490417,0.78571427,0.94285715,0.7352941,0.85714287,0.694694,0.912605,0.923903,25.0,9.0,2.0,33.0
0,1e-05,0.8,0.6,0.001,689,0.4043240547180176,0.875,0.8181818,0.96428573,0.78571427,0.8852459,0.7622517,0.90816325,0.8955858,22.0,6.0,1.0,27.0,0.4160943925380707,0.8550724387168884,0.82051283,0.9142857,0.7941176,0.8648649,0.7144324,0.93613446,0.9438432,27.0,7.0,3.0,32.0
0,1e-05,0.8,0.4,0.001,689,0.3763884902000427,0.8214285969734192,0.78125,0.89285713,0.75,0.8333333,0.649519,0.92091835,0.9184308,21.0,7.0,3.0,25.0,0.37720340490341187,0.8115941882133484,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9445378,0.9535787,25.0,9.0,4.0,31.0
0,1e-05,0.8,0.2,0.001,689,0.38034242391586304,0.8392857313156128,0.8064516,0.89285713,0.78571427,0.84745765,0.6825002,0.9196428,0.9143264,22.0,6.0,3.0,25.0,0.3837819993495941,0.8115941882133484,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9495798,0.957229,25.0,9.0,4.0,31.0
0,1e-05,0.8,0.0,0.001,689,0.36503273248672485,0.8214285969734192,0.78125,0.89285713,0.75,0.8333333,0.649519,0.929847,0.92963064,21.0,7.0,3.0,25.0,0.3615124821662903,0.8260869383811951,0.7804878,0.9142857,0.7352941,0.84210527,0.6613556,0.9411764,0.95050764,25.0,9.0,3.0,32.0
0,1e-05,0.6,0.8,0.001,689,0.3937447965145111,0.8392857313156128,0.7714286,0.96428573,0.71428573,0.85714287,0.7008256,0.9094388,0.89947915,20.0,8.0,1.0,27.0,0.4056902229785919,0.7536231875419617,0.68,0.9714286,0.5294118,0.8,0.5605456,0.9403361,0.9498648,18.0,16.0,1.0,34.0
0,1e-05,0.6,0.6,0.001,689,0.3674479126930237,0.8035714030265808,0.75757575,0.89285713,0.71428573,0.8196721,0.6170609,0.9272959,0.9266683,20.0,8.0,3.0,25.0,0.3628338873386383,0.8115941882133484,0.75,0.94285715,0.6764706,0.835443,0.6441658,0.93949574,0.9519516,23.0,11.0,2.0,33.0
0,1e-05,0.6,0.4,0.001,689,0.37109866738319397,0.8035714030265808,0.75757575,0.89285713,0.71428573,0.8196721,0.6170609,0.92346936,0.9227298,20.0,8.0,3.0,25.0,0.36997514963150024,0.8115941882133484,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9445379,0.9538061,25.0,9.0,4.0,31.0
0,1e-05,0.6,0.2,0.001,689,0.36994001269340515,0.8035714030265808,0.75757575,0.89285713,0.71428573,0.8196721,0.6170609,0.9260204,0.92706275,20.0,8.0,3.0,25.0,0.36917322874069214,0.8115941882133484,0.775,0.8857143,0.7352941,0.82666665,0.6289874,0.9453781,0.95390224,25.0,9.0,4.0,31.0
